Age,Gender,Occupations,Weight,Education,Choosed
83,male,singer,36,university,no
11,female,engineer,40,senior high,yes
21,male,singer,76,doctor,yes
19,male,neet,85,primary,no
69,third,engineer,40,master,no
69,third,programmer,86,doctor,no
36,female,student,48,master,no
17,third,scientest,99,university,no
50,male,student,81,junior high,no
5,male,engineer,72,primary,no
77,third,student,38,university,no
20,female,neet,67,primary,yes
18,female,chef,72,doctor,yes
83,female,neet,46,university,no
30,male,scientest,49,primary,no
63,female,teacher,81,master,no
56,third,salesman,72,doctor,no
20,third,student,38,senior high,no
10,male,chef,87,primary,no
97,male,chef,63,primary,no
13,male,student,53,senior high,no
50,male,student,95,senior high,no
87,male,programmer,56,doctor,no
52,male,programmer,56,junior high,no
79,female,engineer,80,junior high,no
90,female,singer,58,master,no
41,female,scientest,48,primary,no
59,male,singer,67,doctor,no
24,male,student,93,university,no
87,third,engineer,65,doctor,no
92,third,teacher,57,master,no
25,third,student,45,university,no
7,third,student,84,senior high,no
42,male,engineer,66,master,yes
11,female,salesman,39,primary,yes
15,male,programmer,93,master,no
74,third,teacher,53,junior high,no
89,female,teacher,88,senior high,no
90,third,teacher,68,master,no
98,third,engineer,99,master,no
8,female,student,35,junior high,no
54,female,scientest,89,university,no
71,third,engineer,42,university,no
35,third,singer,64,doctor,no
61,female,salesman,53,senior high,no
74,male,chef,39,doctor,no
24,third,chef,73,senior high,yes
80,male,programmer,46,primary,no
46,male,chef,59,master,yes
6,female,student,81,master,no
70,male,salesman,44,doctor,no
34,female,engineer,42,primary,no
75,female,teacher,52,university,no
2,third,scientest,36,junior high,no
63,male,teacher,77,senior high,no
32,female,singer,85,senior high,yes
38,female,singer,98,university,no
22,male,scientest,46,university,no
90,male,singer,37,primary,no
50,male,programmer,67,senior high,no
35,female,neet,36,junior high,no
97,female,salesman,60,senior high,no
58,female,neet,60,junior high,no
77,male,salesman,65,doctor,no
12,third,chef,77,university,no
66,female,student,98,doctor,no
85,female,scientest,96,senior high,no
58,third,neet,56,junior high,no
65,male,chef,98,primary,no
48,third,engineer,49,junior high,no
64,male,neet,77,senior high,no
91,female,engineer,86,doctor,no
10,female,student,59,doctor,no
71,male,neet,39,master,no
93,male,student,42,senior high,no
51,female,chef,46,doctor,no
79,male,salesman,89,master,no
1,third,programmer,68,junior high,no
43,male,student,96,junior high,no
14,female,salesman,59,senior high,no
49,female,singer,36,primary,no
63,third,singer,36,junior high,no
72,female,singer,96,junior high,no
48,male,singer,45,master,no
28,male,salesman,75,senior high,no
44,third,teacher,56,doctor,no
12,male,neet,37,doctor,yes
59,female,neet,86,senior high,no
36,third,engineer,77,master,yes
15,female,programmer,54,doctor,no
94,male,programmer,43,senior high,no
13,female,chef,78,senior high,no
50,female,programmer,81,university,no
96,third,student,39,primary,no
6,female,chef,88,university,no
30,male,programmer,87,senior high,no
34,female,neet,62,doctor,no
23,male,engineer,85,senior high,no
21,male,engineer,54,primary,yes
37,male,programmer,76,primary,no
91,female,salesman,80,junior high,no
78,male,singer,91,master,no
6,third,salesman,45,master,no
90,male,student,58,master,no
33,female,singer,83,junior high,no
32,female,singer,78,junior high,yes
69,third,engineer,74,junior high,no
45,male,neet,92,primary,no
28,male,student,60,senior high,no
83,third,scientest,56,university,no
94,female,neet,97,senior high,no
3,female,salesman,36,master,no
67,male,student,41,university,no
84,female,neet,87,junior high,no
14,third,programmer,63,university,no
31,third,programmer,79,master,yes
26,third,chef,84,doctor,yes
17,female,salesman,44,doctor,yes
60,male,programmer,67,junior high,no
39,third,engineer,35,doctor,yes
16,female,teacher,89,junior high,yes
68,third,salesman,50,senior high,no
39,third,engineer,82,senior high,no
16,female,salesman,41,primary,yes
49,female,programmer,94,senior high,no
55,third,salesman,85,senior high,no
72,male,scientest,75,doctor,no
55,male,programmer,85,master,no
43,third,student,49,master,no
24,female,salesman,38,doctor,no
9,female,singer,38,university,no
58,third,scientest,54,university,no
2,male,singer,94,university,no
27,female,engineer,43,doctor,yes
36,female,salesman,51,junior high,no
38,male,salesman,67,university,no
66,male,neet,55,senior high,no
54,female,scientest,73,senior high,no
31,male,chef,78,university,yes
86,male,student,92,doctor,no
53,male,teacher,67,junior high,no
86,female,teacher,61,doctor,no
43,male,teacher,65,primary,no
19,male,teacher,47,senior high,no
36,female,engineer,41,master,yes
54,third,scientest,72,primary,no
69,male,scientest,83,doctor,no
39,female,teacher,38,university,no
85,female,student,92,junior high,no
84,female,neet,41,senior high,no
24,third,scientest,48,junior high,no
11,male,salesman,78,primary,no
19,male,salesman,50,doctor,no
12,female,engineer,89,master,no
89,male,salesman,59,doctor,no
53,female,neet,52,primary,no
93,male,programmer,78,university,no
21,male,student,69,junior high,yes
31,third,singer,45,primary,no
7,male,teacher,76,primary,no
3,third,programmer,74,university,no
11,male,scientest,89,junior high,no
85,male,student,64,university,no
1,male,programmer,67,junior high,no
64,female,chef,78,primary,no
5,male,teacher,39,master,no
28,third,programmer,74,junior high,no
95,female,chef,72,university,no
98,male,chef,83,junior high,no
15,male,salesman,39,senior high,no
81,third,neet,79,junior high,no
83,third,teacher,99,university,no
56,female,singer,73,university,no
19,male,programmer,47,primary,no
4,third,neet,45,primary,no
88,female,engineer,57,junior high,no
8,female,teacher,62,senior high,no
54,male,neet,56,university,no
64,third,singer,43,primary,no
36,female,scientest,46,doctor,yes
75,female,scientest,89,university,no
54,male,salesman,64,doctor,no
49,male,engineer,54,primary,no
46,third,engineer,94,senior high,no
48,male,chef,61,senior high,yes
22,female,scientest,88,master,yes
46,third,engineer,63,master,yes
42,female,programmer,52,university,no
51,female,chef,72,doctor,no
77,female,singer,78,university,no
30,third,singer,48,university,no
72,male,student,74,junior high,no
59,third,student,86,primary,no
18,third,scientest,45,doctor,no
35,male,student,53,senior high,no
2,male,programmer,85,junior high,no
10,third,engineer,91,primary,no
41,female,teacher,97,university,no
33,third,programmer,42,junior high,no
34,male,teacher,61,master,yes
20,third,teacher,47,junior high,no
35,female,chef,89,university,yes
37,female,student,39,senior high,no
11,female,neet,87,university,no
77,female,teacher,62,primary,no
81,female,neet,89,senior high,no
36,female,singer,96,university,no
51,third,teacher,99,doctor,no
82,third,neet,79,junior high,no
29,female,scientest,97,university,no
35,third,singer,44,senior high,no
32,male,programmer,72,doctor,yes
86,male,teacher,40,master,no
58,third,neet,79,primary,no
70,female,scientest,81,junior high,no
2,third,teacher,76,master,no
62,third,singer,92,senior high,no
62,female,scientest,91,primary,no
13,female,chef,52,junior high,no
93,third,engineer,52,junior high,no
52,male,engineer,99,primary,no
66,female,student,90,junior high,no
75,female,neet,74,university,no
58,third,neet,44,doctor,no
90,third,teacher,89,primary,no
32,male,singer,59,junior high,no
87,male,engineer,98,university,no
22,female,programmer,38,junior high,yes
49,third,teacher,42,doctor,no
64,female,teacher,44,junior high,no
94,third,singer,64,primary,no
84,male,programmer,49,junior high,no
64,female,salesman,75,master,no
14,male,teacher,58,doctor,no
11,female,engineer,52,university,no
84,male,singer,36,university,no
39,male,student,66,primary,no
50,female,chef,41,junior high,yes
89,male,engineer,48,university,no
50,male,chef,51,junior high,yes
43,male,scientest,90,primary,no
12,third,scientest,84,master,no
15,female,engineer,70,university,no
43,male,salesman,91,university,no
61,male,teacher,76,junior high,no
39,male,teacher,78,university,no
69,third,programmer,91,junior high,no
35,female,scientest,86,master,yes
31,third,teacher,58,master,yes
82,male,programmer,70,junior high,no
81,female,student,87,senior high,no
33,third,student,79,doctor,yes
85,third,engineer,60,senior high,no
84,third,engineer,75,primary,no
73,female,singer,49,senior high,no
20,male,programmer,68,university,no
33,third,salesman,59,master,no
8,female,neet,52,doctor,no
96,third,scientest,75,master,no
41,male,student,61,senior high,no
80,male,salesman,99,university,no
50,female,programmer,37,primary,no
47,male,salesman,80,junior high,no
18,third,neet,94,senior high,no
57,male,student,63,doctor,no
77,third,programmer,43,doctor,no
43,male,singer,81,junior high,no
2,female,engineer,57,university,no
48,male,engineer,81,senior high,no
84,third,scientest,92,master,no
21,female,programmer,56,university,no
50,female,chef,49,junior high,yes
14,female,student,79,master,no
77,male,student,94,senior high,no
38,male,engineer,43,junior high,no
16,female,student,37,primary,yes
74,female,programmer,57,junior high,no
84,female,salesman,56,junior high,no
30,male,student,84,junior high,yes
43,female,student,38,master,no
88,female,scientest,85,doctor,no
28,female,neet,85,junior high,no
99,male,neet,66,primary,no
80,third,salesman,86,junior high,no
6,male,chef,55,junior high,no
80,male,engineer,62,primary,no
16,female,programmer,46,university,no
16,third,scientest,64,junior high,no
70,female,teacher,92,doctor,no
48,third,salesman,35,senior high,no
45,male,singer,61,master,no
58,third,salesman,88,junior high,no
49,male,scientest,86,senior high,no
15,third,teacher,70,doctor,no
44,third,scientest,78,doctor,yes
71,male,engineer,83,university,no
37,male,salesman,77,doctor,no
23,third,salesman,39,master,no
74,female,teacher,83,junior high,no
36,male,chef,42,doctor,yes
61,female,chef,67,master,no
19,male,neet,69,university,yes
76,female,teacher,73,senior high,no
36,male,programmer,81,junior high,no
88,male,teacher,61,senior high,no
44,male,student,52,doctor,no
31,third,programmer,81,university,yes
4,third,teacher,41,primary,no
33,female,teacher,77,junior high,no
69,male,teacher,85,senior high,no
6,female,chef,85,primary,no
70,female,chef,82,primary,no
65,female,programmer,76,doctor,no
4,male,singer,72,doctor,no
34,third,singer,98,junior high,no
99,male,scientest,69,primary,no
53,third,scientest,87,primary,no
78,male,chef,38,master,no
11,female,scientest,71,university,no
62,third,scientest,42,university,no
37,male,engineer,84,senior high,no
1,male,scientest,93,university,no
56,female,neet,66,master,no
0,male,student,68,university,no
65,third,engineer,70,primary,no
70,third,programmer,49,university,no
77,third,singer,65,primary,no
18,male,singer,43,junior high,no
48,female,programmer,76,master,yes
19,female,engineer,79,master,yes
86,male,engineer,79,senior high,no
35,male,neet,65,master,no
82,male,student,46,university,no
49,male,neet,89,doctor,no
38,female,chef,99,senior high,yes
75,third,singer,85,primary,no
88,male,chef,83,university,no
14,female,student,89,master,no
11,female,programmer,81,master,no
24,female,programmer,62,senior high,no
42,third,teacher,98,senior high,no
46,male,engineer,75,university,no
82,third,singer,81,university,no
52,female,scientest,35,university,no
21,male,singer,83,university,yes
67,male,neet,36,primary,no
61,female,teacher,78,master,no
74,third,student,62,primary,no
43,female,salesman,91,master,no
26,third,chef,90,senior high,yes
18,male,teacher,59,doctor,no
63,male,salesman,54,master,no
33,male,neet,78,university,no
40,male,scientest,81,university,no
67,third,salesman,51,primary,no
19,female,student,42,primary,no
74,female,singer,86,university,no
13,female,neet,73,senior high,no
67,third,scientest,86,senior high,no
60,male,chef,62,junior high,no
28,female,chef,96,university,yes
49,male,student,95,junior high,no
48,third,salesman,83,primary,no
87,male,neet,99,junior high,no
17,male,neet,43,senior high,no
87,male,teacher,80,doctor,no
31,female,student,90,primary,yes
44,male,singer,43,senior high,no
15,male,student,58,primary,no
29,male,singer,45,doctor,no
7,female,scientest,49,senior high,no
58,male,salesman,87,master,no
44,third,scientest,54,primary,no
82,third,engineer,96,doctor,no
22,male,neet,46,junior high,yes
44,female,neet,64,master,no
21,male,teacher,91,master,no
55,female,scientest,88,primary,no
61,third,student,76,senior high,no
13,third,singer,44,master,no
3,third,student,52,primary,no
29,third,salesman,71,senior high,no
19,female,neet,89,junior high,no
99,third,teacher,80,university,no
52,female,singer,43,master,no
56,female,salesman,42,senior high,no
50,male,engineer,55,doctor,yes
2,male,salesman,40,primary,no
20,female,chef,88,senior high,yes
19,female,scientest,88,university,no
70,male,chef,37,primary,no
19,male,engineer,49,primary,yes
16,male,engineer,57,primary,no
3,third,engineer,35,doctor,no
34,third,neet,83,university,no
92,male,chef,40,doctor,no
76,female,chef,64,junior high,no
89,third,student,60,junior high,no
26,male,teacher,96,primary,no
95,third,singer,73,junior high,no
25,third,scientest,69,doctor,yes
47,male,scientest,58,doctor,yes
75,third,scientest,74,university,no
76,third,singer,43,primary,no
50,male,engineer,73,senior high,no
48,male,salesman,95,master,no
34,female,salesman,43,doctor,no
74,male,salesman,90,senior high,no
71,third,scientest,93,master,no
74,female,student,97,master,no
28,third,student,53,senior high,no
91,female,neet,40,primary,no
32,male,engineer,54,university,no
0,third,engineer,42,master,no
76,male,chef,61,junior high,no
82,female,student,93,doctor,no
38,third,engineer,81,senior high,no
18,female,neet,59,university,no
48,male,chef,38,senior high,yes
18,male,chef,88,primary,yes
29,female,engineer,60,master,yes
19,male,singer,77,master,no
91,female,singer,89,primary,no
84,third,singer,63,master,no
95,male,scientest,53,senior high,no
55,male,neet,85,doctor,no
32,third,neet,82,senior high,yes
54,male,scientest,91,master,no
79,female,chef,84,junior high,no
87,male,teacher,69,junior high,no
70,female,neet,82,junior high,no
71,male,scientest,66,junior high,no
74,third,neet,59,junior high,no
13,female,neet,65,primary,no
19,female,neet,89,senior high,no
48,third,singer,88,senior high,no
56,third,engineer,49,master,no
65,third,singer,41,primary,no
91,male,neet,36,primary,no
1,third,teacher,70,junior high,no
92,third,student,98,master,no
63,female,neet,45,junior high,no
22,male,chef,93,university,yes
90,third,programmer,72,junior high,no
76,third,salesman,58,university,no
40,male,engineer,45,senior high,yes
6,male,teacher,63,university,no
57,third,engineer,88,junior high,no
86,male,engineer,45,doctor,no
9,third,teacher,85,master,no
97,male,neet,68,master,no
0,third,programmer,76,master,no
22,female,engineer,79,doctor,yes
59,third,student,48,doctor,no
51,female,teacher,64,master,no
66,female,student,49,primary,no
9,third,programmer,58,doctor,no
83,male,neet,67,senior high,no
7,third,salesman,83,master,no
21,third,programmer,86,master,no
71,male,student,55,junior high,no
22,male,chef,93,senior high,yes
67,female,neet,95,senior high,no
72,female,programmer,61,master,no
77,third,salesman,35,master,no
23,third,neet,78,senior high,no
34,third,singer,48,primary,no
2,female,engineer,99,primary,no
81,male,teacher,35,senior high,no
22,third,chef,39,master,yes
15,third,teacher,97,primary,no
6,male,salesman,89,university,no
65,female,scientest,91,primary,no
5,female,neet,63,doctor,no
30,third,neet,96,master,no
91,male,singer,98,doctor,no
73,male,scientest,80,master,no
34,male,neet,58,primary,no
47,male,engineer,87,primary,no
88,female,salesman,98,senior high,no
57,female,salesman,64,master,no
69,male,salesman,45,master,no
73,male,engineer,59,doctor,no
93,third,neet,70,master,no
87,third,neet,47,doctor,no
21,female,salesman,93,doctor,yes
0,female,scientest,42,master,no
7,female,salesman,42,master,no
75,male,salesman,69,doctor,no
83,female,salesman,36,master,no
38,third,scientest,37,master,yes
71,male,student,82,junior high,no
5,male,scientest,82,junior high,no
53,third,engineer,91,junior high,no
68,female,student,51,master,no
47,third,salesman,70,university,no
58,male,singer,66,doctor,no
17,male,salesman,62,master,yes
35,third,neet,75,master,yes
73,male,programmer,80,junior high,no
80,third,programmer,74,master,no
23,third,student,63,doctor,yes
57,female,teacher,53,university,no
68,male,scientest,57,university,no
35,male,salesman,56,doctor,yes
28,female,student,38,junior high,no
38,third,neet,89,junior high,no
53,third,chef,87,doctor,no
33,third,engineer,55,university,no
55,female,chef,51,doctor,no
14,third,programmer,69,junior high,no
65,male,student,73,doctor,no
32,female,teacher,85,primary,no
54,male,engineer,58,primary,no
91,third,neet,71,doctor,no
80,third,engineer,67,master,no
88,third,chef,75,junior high,no
32,third,scientest,78,doctor,yes
4,male,student,97,senior high,no
91,female,teacher,87,senior high,no
13,male,programmer,52,primary,no
43,third,programmer,87,primary,no
10,third,neet,68,master,no
76,female,engineer,96,senior high,no
28,female,engineer,50,senior high,no
76,third,salesman,65,senior high,no
66,male,neet,93,primary,no
67,female,programmer,92,senior high,no
37,third,student,38,doctor,no
51,third,teacher,53,primary,no
52,female,chef,58,junior high,no
82,female,teacher,76,doctor,no
51,female,chef,97,doctor,no
34,male,neet,86,junior high,yes
6,male,chef,41,senior high,no
51,third,neet,94,senior high,no
64,third,singer,48,senior high,no
94,male,teacher,91,doctor,no
44,third,scientest,84,doctor,yes
26,third,engineer,36,senior high,no
56,male,singer,94,university,no
61,male,teacher,83,master,no
0,male,salesman,36,primary,no
72,third,teacher,57,senior high,no
60,male,neet,78,university,no
77,female,chef,85,doctor,no
86,female,chef,35,doctor,no
16,female,singer,98,junior high,no
0,female,teacher,97,primary,no
9,male,programmer,90,doctor,no
3,female,neet,90,junior high,no
37,female,engineer,82,senior high,no
8,third,programmer,96,junior high,no
1,female,student,65,primary,no
14,female,chef,81,doctor,no
21,third,neet,75,junior high,yes
96,third,neet,76,senior high,no
97,male,engineer,47,master,no
62,female,salesman,35,master,no
35,third,scientest,85,master,yes
91,third,engineer,54,senior high,no
90,third,student,54,doctor,no
95,male,neet,78,senior high,no
24,third,scientest,98,senior high,no
6,male,engineer,53,doctor,no
80,female,student,87,senior high,no
48,female,neet,99,senior high,no
63,female,engineer,43,university,no
44,female,scientest,92,senior high,no
45,male,scientest,92,doctor,yes
57,male,singer,91,primary,no
33,third,teacher,75,master,no
60,male,chef,67,doctor,no
88,third,singer,85,master,no
69,female,singer,64,university,no
43,female,student,78,senior high,no
47,male,chef,71,university,yes
12,third,scientest,43,university,no
61,female,engineer,79,university,no
29,female,student,75,senior high,yes
36,male,salesman,50,university,no
14,male,scientest,48,junior high,no
94,male,student,66,senior high,no
33,third,teacher,53,university,no
5,male,student,73,university,no
53,third,student,99,primary,no
14,male,programmer,82,junior high,no
84,female,singer,51,master,no
8,female,salesman,93,university,no
82,male,salesman,54,senior high,no
14,third,chef,44,primary,no
3,female,salesman,54,primary,no
35,third,chef,37,junior high,yes
33,third,student,40,junior high,no
65,female,engineer,37,primary,no
21,female,student,86,master,no
18,female,teacher,62,senior high,no
24,third,salesman,70,senior high,no
71,male,scientest,73,master,no
17,female,programmer,89,doctor,no
50,third,singer,98,junior high,no
58,female,scientest,40,primary,no
64,female,student,75,senior high,no
50,third,student,47,junior high,no
11,female,chef,91,university,no
36,female,salesman,63,senior high,no
29,third,salesman,38,doctor,no
83,third,chef,80,primary,no
32,male,neet,80,doctor,yes
26,third,singer,94,primary,no
93,male,chef,87,master,no
89,female,programmer,84,primary,no
88,male,singer,84,master,no
19,third,scientest,83,university,yes
90,third,salesman,72,junior high,no
0,female,student,51,university,no
28,male,programmer,64,senior high,yes
13,third,teacher,57,doctor,no
36,female,teacher,79,primary,no
73,third,chef,98,junior high,no
87,third,neet,82,doctor,no
66,female,teacher,98,doctor,no
92,female,chef,77,university,no
59,female,salesman,47,doctor,no
80,male,neet,47,primary,no
38,third,salesman,83,master,yes
75,female,programmer,36,primary,no
12,male,student,80,master,no
82,female,programmer,88,doctor,no
94,third,chef,83,university,no
45,third,singer,86,university,no
67,female,programmer,51,master,no
68,third,teacher,79,senior high,no
39,male,student,99,primary,no
85,male,engineer,62,doctor,no
17,third,teacher,75,primary,yes
77,female,chef,84,primary,no
12,male,neet,89,junior high,no
54,male,scientest,54,primary,no
47,male,student,98,primary,no
89,male,neet,52,senior high,no
32,third,salesman,59,primary,no
2,female,programmer,75,junior high,no
72,female,chef,76,junior high,no
93,third,scientest,61,doctor,no
94,female,singer,64,senior high,no
94,female,chef,41,doctor,no
33,female,salesman,84,doctor,no
64,female,student,76,master,no
61,female,scientest,61,master,no
42,third,teacher,91,university,no
79,female,engineer,51,university,no
32,male,scientest,50,doctor,yes
57,third,neet,68,university,no
67,third,engineer,71,senior high,no
80,third,engineer,99,master,no
12,female,neet,67,master,no
37,third,programmer,66,primary,yes
75,female,singer,68,master,no
24,third,programmer,49,primary,no
96,third,neet,50,doctor,no
34,female,teacher,70,university,no
94,third,salesman,81,junior high,no
82,third,scientest,91,primary,no
33,male,scientest,83,junior high,no
39,female,singer,72,master,no
12,female,chef,59,university,no
21,male,singer,96,university,yes
72,third,teacher,51,master,no
53,female,teacher,40,university,no
0,third,salesman,67,senior high,no
11,male,student,71,doctor,no
51,female,engineer,98,doctor,no
25,male,engineer,91,master,yes
3,female,neet,68,university,no
44,third,neet,95,doctor,no
90,male,salesman,35,master,no
28,female,singer,41,doctor,yes
35,third,chef,93,primary,yes
45,female,engineer,56,doctor,yes
71,male,chef,42,senior high,no
77,female,neet,79,doctor,no
33,male,salesman,35,junior high,no
89,third,student,77,senior high,no
69,male,programmer,47,primary,no
51,female,chef,84,senior high,no
41,male,neet,83,master,no
2,male,student,44,junior high,no
19,male,programmer,70,doctor,no
82,male,engineer,48,junior high,no
47,male,scientest,72,doctor,yes
66,female,singer,96,university,no
45,female,student,96,senior high,no
37,male,engineer,82,junior high,no
44,female,engineer,82,senior high,no
43,female,engineer,64,doctor,yes
56,female,scientest,81,university,no
0,female,scientest,88,senior high,no
77,third,salesman,95,master,no
99,third,singer,78,senior high,no
33,male,engineer,64,junior high,no
6,female,chef,50,senior high,no
99,female,neet,88,primary,no
37,third,engineer,81,primary,no
3,third,salesman,53,senior high,no
45,male,student,65,university,no
97,male,singer,82,doctor,no
83,male,singer,63,primary,no
87,third,singer,80,master,no
37,female,salesman,43,primary,yes
21,female,neet,42,doctor,no
39,third,singer,75,junior high,yes
67,male,student,36,master,no
11,male,neet,35,primary,yes
63,female,programmer,82,master,no
56,female,teacher,71,university,no
10,third,salesman,71,master,no
27,male,salesman,54,primary,no
47,third,scientest,41,senior high,no
88,third,engineer,79,primary,no
16,female,teacher,60,master,no
17,female,teacher,98,doctor,no
55,female,chef,40,doctor,no
16,male,scientest,42,doctor,no
38,female,student,99,doctor,no
53,third,engineer,47,doctor,no
68,male,student,90,university,no
67,female,neet,52,primary,no
8,third,singer,52,primary,no
33,male,programmer,78,master,yes
32,male,salesman,99,master,no
90,third,chef,81,senior high,no
9,male,neet,36,doctor,yes
87,female,programmer,89,junior high,no
55,third,chef,48,university,no
34,third,teacher,52,university,no
0,female,scientest,52,primary,no
69,female,engineer,85,junior high,no
16,female,teacher,73,master,no
18,third,salesman,54,primary,no
54,male,student,64,junior high,no
34,third,programmer,40,master,yes
47,male,salesman,88,university,no
15,third,teacher,46,primary,no
33,female,singer,76,university,yes
70,male,engineer,68,doctor,no
71,female,singer,77,master,no
12,female,salesman,45,primary,yes
9,third,singer,69,senior high,no
98,female,singer,61,senior high,no
47,third,salesman,79,junior high,no
39,male,salesman,42,primary,yes
81,male,salesman,64,primary,no
55,third,scientest,58,master,no
53,female,programmer,85,university,no
28,female,engineer,67,senior high,no
93,third,chef,99,junior high,no
30,male,chef,74,junior high,yes
87,male,salesman,95,university,no
32,third,teacher,78,master,yes
33,male,neet,38,junior high,yes
65,third,scientest,40,master,no
6,female,student,66,master,no
31,female,salesman,41,primary,no
74,male,singer,49,junior high,no
46,female,singer,88,primary,no
88,male,scientest,57,master,no
17,female,student,41,primary,yes
76,third,scientest,39,primary,no
94,male,engineer,51,master,no
36,female,singer,98,doctor,no
56,third,singer,88,university,no
25,female,engineer,69,primary,no
9,male,salesman,56,doctor,no
65,third,neet,96,doctor,no
9,male,programmer,41,master,yes
36,female,neet,73,master,no
54,male,programmer,97,doctor,no
87,male,engineer,97,junior high,no
5,male,programmer,67,junior high,no
30,male,student,58,master,no
8,third,chef,58,master,no
1,third,neet,82,senior high,no
25,third,chef,84,junior high,yes
47,female,teacher,37,doctor,no
72,third,chef,75,university,no
44,female,programmer,88,junior high,no
89,third,programmer,38,primary,no
82,male,engineer,88,master,no
69,male,programmer,39,master,no
2,male,teacher,57,senior high,no
26,male,student,51,junior high,yes
97,third,salesman,60,junior high,no
49,female,scientest,78,doctor,yes
31,third,engineer,98,junior high,no
46,male,teacher,90,primary,no
19,female,engineer,66,junior high,no
18,female,engineer,40,doctor,yes
28,male,chef,94,master,yes
48,third,salesman,65,senior high,no
30,third,singer,51,senior high,yes
6,third,chef,52,university,no
39,third,salesman,87,master,no
47,male,scientest,57,doctor,yes
23,male,student,82,junior high,no
24,female,chef,97,doctor,yes
79,third,engineer,91,primary,no
68,third,student,57,senior high,no
7,male,teacher,96,master,no
13,female,scientest,73,master,no
44,female,student,84,doctor,no
28,female,programmer,95,senior high,no
11,female,engineer,75,master,no
88,female,salesman,72,junior high,no
11,female,neet,76,university,no
88,female,chef,41,university,no
41,female,singer,94,primary,no
73,female,scientest,69,senior high,no
78,third,singer,49,junior high,no
4,male,neet,78,doctor,no
43,female,teacher,39,junior high,no
53,third,teacher,88,senior high,no
3,male,singer,45,primary,no
6,male,salesman,54,university,no
68,male,singer,88,senior high,no
7,female,programmer,52,doctor,no
67,female,neet,76,doctor,no
36,third,student,55,master,no
72,male,singer,80,primary,no
6,female,salesman,43,junior high,no
74,male,engineer,35,primary,no
95,third,salesman,37,master,no
36,male,student,74,junior high,yes
41,male,engineer,70,master,yes
69,third,singer,59,university,no
25,third,salesman,41,doctor,no
27,male,student,81,senior high,no
46,third,programmer,42,university,no
93,third,student,56,junior high,no
20,third,programmer,39,senior high,yes
56,third,neet,86,master,no
2,female,teacher,72,university,no
29,male,chef,45,doctor,yes
7,third,chef,45,senior high,no
13,male,salesman,70,primary,no
65,female,teacher,66,university,no
6,third,engineer,94,primary,no
28,third,singer,66,master,no
72,third,salesman,94,master,no
68,female,chef,83,university,no
58,male,student,53,master,no
26,third,scientest,60,university,no
1,male,salesman,82,doctor,no
24,third,singer,52,master,no
42,female,chef,63,university,yes
73,third,salesman,41,master,no
49,third,singer,98,doctor,no
37,male,singer,54,junior high,no
28,female,student,92,senior high,yes
31,male,engineer,49,doctor,yes
45,female,engineer,64,senior high,no
70,third,programmer,40,senior high,no
27,female,programmer,39,senior high,no
50,third,engineer,82,doctor,yes
44,male,scientest,89,master,yes
70,male,neet,65,doctor,no
50,male,neet,73,junior high,no
76,female,scientest,94,doctor,no
6,female,student,55,senior high,no
51,third,engineer,90,junior high,no
47,male,chef,85,doctor,yes
52,third,engineer,40,doctor,no
60,third,chef,69,university,no
45,male,salesman,43,junior high,no
26,third,chef,92,senior high,yes
53,third,singer,91,senior high,no
3,female,chef,36,university,no
92,third,chef,50,junior high,no
34,female,chef,74,doctor,yes
81,male,singer,81,university,no
41,male,salesman,56,doctor,no
41,male,chef,68,junior high,yes
96,female,neet,52,master,no
13,third,salesman,75,master,no
34,female,student,94,junior high,yes
94,female,chef,79,university,no
7,female,neet,58,master,no
44,third,singer,54,junior high,no
6,female,teacher,68,university,no
86,female,salesman,48,primary,no
37,male,singer,77,master,no
94,male,student,86,junior high,no
80,male,programmer,47,junior high,no
96,third,student,61,senior high,no
55,third,teacher,74,junior high,no
93,male,scientest,89,doctor,no
70,male,scientest,65,junior high,no
75,female,engineer,47,doctor,no
98,male,programmer,36,doctor,no
20,third,singer,76,primary,no
22,third,neet,61,university,yes
51,female,chef,90,doctor,no
1,female,chef,71,university,no
73,female,teacher,51,junior high,no
0,female,salesman,79,university,no
57,female,student,86,senior high,no
17,female,scientest,82,junior high,yes
78,female,programmer,36,doctor,no
8,male,scientest,59,senior high,no
87,male,neet,63,junior high,no
70,third,neet,73,junior high,no
48,female,student,62,junior high,no
9,third,salesman,86,doctor,no
14,male,salesman,63,university,no
15,female,neet,74,junior high,no
29,third,programmer,94,senior high,no
42,third,singer,87,doctor,no
47,female,neet,73,university,no
36,third,programmer,55,primary,yes
38,third,salesman,81,master,no
86,male,salesman,96,doctor,no
76,male,scientest,71,junior high,no
14,female,teacher,88,doctor,no
18,male,chef,59,primary,yes
82,female,neet,95,senior high,no
42,female,programmer,96,university,no
29,male,engineer,55,junior high,no
96,third,singer,57,doctor,no
66,third,neet,41,primary,no
0,male,programmer,48,senior high,no
45,third,chef,66,junior high,yes
76,third,singer,54,university,no
60,male,teacher,55,university,no
62,female,scientest,72,university,no
92,third,chef,59,doctor,no
20,male,neet,72,university,yes
33,third,teacher,61,senior high,no
75,third,salesman,95,primary,no
84,third,scientest,40,doctor,no
62,third,salesman,40,primary,no
30,third,programmer,61,university,no
80,female,neet,62,junior high,no
69,male,chef,72,university,no
60,third,teacher,41,primary,no
68,female,scientest,53,primary,no
63,female,salesman,97,junior high,no
