Age,Gender,Occupations,Blood group,Weight,Education,Revenue,Choosed
84,third,engineer,B,75,primary,62,no
73,female,singer,O,49,senior high,6800,no
20,male,programmer,A,68,university,730,no
33,third,salesman,B,59,master,100,no
8,female,neet,O,52,doctor,87,no
96,third,scientest,A,75,master,3800,no
41,male,student,B,61,senior high,7,no
80,male,salesman,O,99,university,36,no
50,female,programmer,A,37,primary,7600,no
47,male,salesman,B,80,junior high,190,no
18,third,neet,AB,94,senior high,810,no
57,male,student,O,63,doctor,990,no
77,third,programmer,AB,43,doctor,950,no
43,male,singer,AB,81,junior high,42,no
2,female,engineer,B,57,university,630,no
48,male,engineer,O,81,senior high,8,no
84,third,scientest,O,92,master,2600,no
21,female,programmer,A,56,university,74,no
50,female,chef,A,49,junior high,71,yes
14,female,student,A,79,master,9000,no
77,male,student,AB,94,senior high,970,no
38,male,engineer,B,43,junior high,590,no
16,female,student,O,37,primary,40,yes
74,female,programmer,B,57,junior high,860,no
84,female,salesman,AB,56,junior high,50,no
30,male,student,O,84,junior high,25,yes
43,female,student,B,38,master,13,no
88,female,scientest,B,85,doctor,81,no
28,female,neet,A,85,junior high,57,no
99,male,neet,B,66,primary,840,no
80,third,salesman,B,86,junior high,570,no
6,male,chef,O,55,junior high,92,no
80,male,engineer,AB,62,primary,2200,no
16,female,programmer,B,46,university,2,no
16,third,scientest,B,64,junior high,6300,no
70,female,teacher,AB,92,doctor,720,no
48,third,salesman,B,35,senior high,9800,no
45,male,singer,AB,61,master,10,no
58,third,salesman,B,88,junior high,860,no
49,male,scientest,A,86,senior high,60,no
15,third,teacher,A,70,doctor,80,no
44,third,scientest,B,78,doctor,1200,yes
71,male,engineer,AB,83,university,9300,no
37,male,salesman,A,77,doctor,8800,no
23,third,salesman,A,39,master,19,no
74,female,teacher,AB,83,junior high,890,no
36,male,chef,O,42,doctor,59,yes
61,female,chef,AB,67,master,230,no
19,male,neet,O,69,university,190,yes
76,female,teacher,AB,73,senior high,6400,no
36,male,programmer,A,81,junior high,50,no
88,male,teacher,AB,61,senior high,12,no
44,male,student,AB,52,doctor,54,no
31,third,programmer,O,81,university,15,yes
4,third,teacher,B,41,primary,290,no
33,female,teacher,A,77,junior high,36,no
69,male,teacher,O,85,senior high,960,no
6,female,chef,O,85,primary,53,no
70,female,chef,O,82,primary,62,no
65,female,programmer,B,76,doctor,61,no
4,male,singer,AB,72,doctor,30,no
34,third,singer,A,98,junior high,1300,no
99,male,scientest,O,69,primary,640,no
53,third,scientest,A,87,primary,90,no
78,male,chef,B,38,master,290,no
11,female,scientest,AB,71,university,6500,no
62,third,scientest,A,42,university,610,no
37,male,engineer,AB,84,senior high,26,no
1,male,scientest,AB,93,university,930,no
56,female,neet,AB,66,master,5200,no
0,male,student,AB,68,university,680,no
65,third,engineer,A,70,primary,3400,no
70,third,programmer,B,49,university,88,no
77,third,singer,A,65,primary,2900,no
18,male,singer,AB,43,junior high,1000,no
48,female,programmer,AB,76,master,250,yes
19,female,engineer,O,79,master,800,yes
86,male,engineer,AB,79,senior high,5300,no
35,male,neet,B,65,master,3600,no
82,male,student,A,46,university,1700,no
49,male,neet,B,89,doctor,8000,no
38,female,chef,B,99,senior high,2000,yes
75,third,singer,AB,85,primary,8500,no
88,male,chef,A,83,university,5900,no
14,female,student,B,89,master,80,no
11,female,programmer,B,81,master,4000,no
24,female,programmer,A,62,senior high,6500,no
42,third,teacher,B,98,senior high,2800,no
46,male,engineer,B,75,university,1,no
82,third,singer,O,81,university,8000,no
52,female,scientest,O,35,university,23,no
21,male,singer,O,83,university,32,yes
67,male,neet,B,36,primary,10,no
61,female,teacher,AB,78,master,46,no
74,third,student,AB,62,primary,79,no
43,female,salesman,A,91,master,490,no
26,third,chef,A,90,senior high,470,yes
18,male,teacher,AB,59,doctor,680,no
63,male,salesman,B,54,master,550,no
33,male,neet,AB,78,university,27,no
40,male,scientest,AB,81,university,76,no
67,third,salesman,O,51,primary,860,no
19,female,student,AB,42,primary,40,no
74,female,singer,A,86,university,6600,no
13,female,neet,AB,73,senior high,5000,no
67,third,scientest,A,86,senior high,750,no
60,male,chef,B,62,junior high,36,no
28,female,chef,O,96,university,990,yes
49,male,student,AB,95,junior high,65,no
48,third,salesman,A,83,primary,290,no
87,male,neet,O,99,junior high,270,no
17,male,neet,AB,43,senior high,760,no
87,male,teacher,B,80,doctor,6400,no
31,female,student,O,90,primary,1500,yes
44,male,singer,AB,43,senior high,2600,no
15,male,student,B,58,primary,3300,no
29,male,singer,AB,45,doctor,8000,no
7,female,scientest,O,49,senior high,100,no
58,male,salesman,A,87,master,450,no
44,third,scientest,O,54,primary,700,no
82,third,engineer,A,96,doctor,77,no
22,male,neet,O,46,junior high,55,yes
44,female,neet,O,64,master,1600,no
21,male,teacher,A,91,master,5,no
55,female,scientest,A,88,primary,5800,no
61,third,student,O,76,senior high,8200,no
13,third,singer,O,44,master,28,no
3,third,student,A,52,primary,50,no
29,third,salesman,B,71,senior high,650,no
19,female,neet,B,89,junior high,4300,no
99,third,teacher,AB,80,university,31,no
52,female,singer,A,43,master,3500,no
56,female,salesman,A,42,senior high,710,no
50,male,engineer,AB,55,doctor,7100,yes
2,male,salesman,B,40,primary,760,no
20,female,chef,O,88,senior high,34,yes
19,female,scientest,A,88,university,51,no
70,male,chef,A,37,primary,72,no
19,male,engineer,O,49,primary,700,yes
16,male,engineer,A,57,primary,47,no
3,third,engineer,A,35,doctor,450,no
34,third,neet,B,83,university,200,no
92,male,chef,B,40,doctor,1800,no
76,female,chef,A,64,junior high,43,no
89,third,student,A,60,junior high,1700,no
26,male,teacher,A,96,primary,89,no
95,third,singer,B,73,junior high,47,no
25,third,scientest,AB,69,doctor,82,yes
47,male,scientest,A,58,doctor,260,yes
75,third,scientest,AB,74,university,100,no
76,third,singer,AB,43,primary,67,no
50,male,engineer,O,73,senior high,5800,no
48,male,salesman,B,95,master,86,no
34,female,salesman,A,43,doctor,5,no
74,male,salesman,AB,90,senior high,8100,no
71,third,scientest,A,93,master,49,no
74,female,student,AB,97,master,79,no
28,third,student,B,53,senior high,10000,no
91,female,neet,AB,40,primary,510,no
32,male,engineer,B,54,university,13,no
0,third,engineer,AB,42,master,990,no
76,male,chef,O,61,junior high,3700,no
82,female,student,AB,93,doctor,410,no
38,third,engineer,AB,81,senior high,630,no
18,female,neet,B,59,university,600,no
48,male,chef,B,38,senior high,17,yes
18,male,chef,O,88,primary,4,yes
29,female,engineer,O,60,master,6400,yes
19,male,singer,AB,77,master,100,no
91,female,singer,AB,89,primary,410,no
84,third,singer,AB,63,master,53,no
95,male,scientest,A,53,senior high,5300,no
55,male,neet,AB,85,doctor,38,no
32,third,neet,O,82,senior high,72,yes
54,male,scientest,O,91,master,11,no
79,female,chef,B,84,junior high,670,no
87,male,teacher,AB,69,junior high,6400,no
70,female,neet,O,82,junior high,310,no
71,male,scientest,B,66,junior high,76,no
74,third,neet,AB,59,junior high,31,no
13,female,neet,AB,65,primary,62,no
19,female,neet,A,89,senior high,6300,no
48,third,singer,O,88,senior high,35,no
56,third,engineer,AB,49,master,55,no
65,third,singer,A,41,primary,100,no
91,male,neet,AB,36,primary,70,no
1,third,teacher,B,70,junior high,270,no
92,third,student,A,98,master,1800,no
63,female,neet,A,45,junior high,6600,no
22,male,chef,B,93,university,860,yes
90,third,programmer,O,72,junior high,35,no
76,third,salesman,A,58,university,9400,no
40,male,engineer,O,45,senior high,77,yes
6,male,teacher,O,63,university,2300,no
57,third,engineer,O,88,junior high,99,no
86,male,engineer,B,45,doctor,340,no
9,third,teacher,O,85,master,500,no
97,male,neet,A,68,master,87,no
0,third,programmer,A,76,master,640,no
22,female,engineer,A,79,doctor,100,yes
59,third,student,AB,48,doctor,720,no
51,female,teacher,O,64,master,2300,no
66,female,student,A,49,primary,1200,no
9,third,programmer,A,58,doctor,90,no
83,male,neet,O,67,senior high,88,no
7,third,salesman,O,83,master,750,no
21,third,programmer,B,86,master,77,no
71,male,student,O,55,junior high,82,no
22,male,chef,AB,93,senior high,590,yes
67,female,neet,A,95,senior high,66,no
72,female,programmer,B,61,master,7600,no
77,third,salesman,O,35,master,720,no
23,third,neet,AB,78,senior high,28,no
34,third,singer,AB,48,primary,4500,no
2,female,engineer,B,99,primary,81,no
81,male,teacher,AB,35,senior high,68,no
22,third,chef,B,39,master,92,yes
15,third,teacher,B,97,primary,39,no
6,male,salesman,B,89,university,9900,no
65,female,scientest,B,91,primary,4600,no
5,female,neet,A,63,doctor,370,no
30,third,neet,AB,96,master,470,no
91,male,singer,AB,98,doctor,60,no
73,male,scientest,A,80,master,600,no
34,male,neet,AB,58,primary,5,no
47,male,engineer,B,87,primary,43,no
88,female,salesman,AB,98,senior high,4,no
57,female,salesman,B,64,master,310,no
69,male,salesman,AB,45,master,2400,no
73,male,engineer,B,59,doctor,6600,no
93,third,neet,B,70,master,81,no
87,third,neet,B,47,doctor,820,no
21,female,salesman,O,93,doctor,1700,yes
0,female,scientest,AB,42,master,220,no
7,female,salesman,A,42,master,4500,no
75,male,salesman,AB,69,doctor,64,no
83,female,salesman,AB,36,master,17,no
38,third,scientest,A,37,master,5500,yes
71,male,student,A,82,junior high,13,no
5,male,scientest,B,82,junior high,4100,no
53,third,engineer,B,91,junior high,970,no
68,female,student,B,51,master,75,no
47,third,salesman,AB,70,university,10,no
58,male,singer,A,66,doctor,3200,no
17,male,salesman,O,62,master,6500,yes
35,third,neet,O,75,master,550,yes
73,male,programmer,AB,80,junior high,21,no
80,third,programmer,AB,74,master,93,no
23,third,student,O,63,doctor,100,yes
57,female,teacher,AB,53,university,9900,no
68,male,scientest,AB,57,university,1000,no
35,male,salesman,O,56,doctor,520,yes
28,female,student,B,38,junior high,3900,no
38,third,neet,B,89,junior high,890,no
53,third,chef,AB,87,doctor,1000,no
33,third,engineer,B,55,university,10000,no
55,female,chef,B,51,doctor,600,no
14,third,programmer,O,69,junior high,84,no
65,male,student,A,73,doctor,130,no
32,female,teacher,B,85,primary,50,no
54,male,engineer,A,58,primary,9400,no
91,third,neet,A,71,doctor,21,no
80,third,engineer,O,67,master,620,no
88,third,chef,AB,75,junior high,28,no
32,third,scientest,A,78,doctor,3500,yes
4,male,student,A,97,senior high,870,no
91,female,teacher,O,87,senior high,3600,no
13,male,programmer,AB,52,primary,26,no
43,third,programmer,O,87,primary,980,no
10,third,neet,B,68,master,56,no
76,female,engineer,O,96,senior high,56,no
28,female,engineer,B,50,senior high,5200,no
76,third,salesman,A,65,senior high,680,no
66,male,neet,B,93,primary,5,no
67,female,programmer,A,92,senior high,800,no
37,third,student,A,38,doctor,56,no
51,third,teacher,A,53,primary,89,no
52,female,chef,B,58,junior high,590,no
82,female,teacher,B,76,doctor,1200,no
51,female,chef,AB,97,doctor,440,no
34,male,neet,O,86,junior high,76,yes
6,male,chef,AB,41,senior high,910,no
51,third,neet,A,94,senior high,4800,no
64,third,singer,AB,48,senior high,550,no
94,male,teacher,O,91,doctor,470,no
44,third,scientest,B,84,doctor,39,yes
26,third,engineer,A,36,senior high,61,no
56,male,singer,AB,94,university,49,no
61,male,teacher,A,83,master,860,no
0,male,salesman,B,36,primary,460,no
72,third,teacher,AB,57,senior high,69,no
60,male,neet,B,78,university,3500,no
77,female,chef,AB,85,doctor,1000,no
86,female,chef,O,35,doctor,92,no
16,female,singer,A,98,junior high,92,no
0,female,teacher,O,97,primary,87,no
9,male,programmer,O,90,doctor,130,no
3,female,neet,O,90,junior high,450,no
37,female,engineer,AB,82,senior high,70,no
8,third,programmer,O,96,junior high,88,no
1,female,student,AB,65,primary,5600,no
14,female,chef,B,81,doctor,580,no
21,third,neet,O,75,junior high,98,yes
96,third,neet,AB,76,senior high,4500,no
97,male,engineer,AB,47,master,740,no
62,female,salesman,O,35,master,700,no
35,third,scientest,AB,85,master,55,yes
91,third,engineer,O,54,senior high,4500,no
90,third,student,A,54,doctor,110,no
95,male,neet,B,78,senior high,690,no
24,third,scientest,AB,98,senior high,840,no
6,male,engineer,AB,53,doctor,23,no
80,female,student,B,87,senior high,830,no
48,female,neet,B,99,senior high,8900,no
63,female,engineer,A,43,university,89,no
44,female,scientest,AB,92,senior high,8900,no
45,male,scientest,O,92,doctor,55,yes
57,male,singer,AB,91,primary,6400,no
33,third,teacher,AB,75,master,140,no
60,male,chef,B,67,doctor,110,no
88,third,singer,AB,85,master,5400,no
69,female,singer,B,64,university,40,no
43,female,student,B,78,senior high,490,no
47,male,chef,B,71,university,80,yes
12,third,scientest,AB,43,university,400,no
61,female,engineer,O,79,university,1600,no
29,female,student,O,75,senior high,7800,yes
36,male,salesman,AB,50,university,91,no
14,male,scientest,AB,48,junior high,430,no
94,male,student,AB,66,senior high,42,no
33,third,teacher,AB,53,university,560,no
5,male,student,B,73,university,14,no
53,third,student,B,99,primary,7800,no
14,male,programmer,AB,82,junior high,54,no
84,female,singer,B,51,master,380,no
8,female,salesman,O,93,university,1900,no
82,male,salesman,AB,54,senior high,29,no
14,third,chef,O,44,primary,56,no
3,female,salesman,AB,54,primary,13,no
35,third,chef,O,37,junior high,4700,yes
33,third,student,B,40,junior high,9400,no
65,female,engineer,A,37,primary,600,no
21,female,student,B,86,master,550,no
18,female,teacher,B,62,senior high,66,no
24,third,salesman,AB,70,senior high,360,no
71,male,scientest,B,73,master,19,no
17,female,programmer,A,89,doctor,4400,no
50,third,singer,O,98,junior high,23,no
58,female,scientest,A,40,primary,8,no
64,female,student,AB,75,senior high,730,no
50,third,student,B,47,junior high,140,no
11,female,chef,A,91,university,500,no
36,female,salesman,AB,63,senior high,6800,no
29,third,salesman,A,38,doctor,5300,no
83,third,chef,AB,80,primary,60,no
32,male,neet,O,80,doctor,140,yes
26,third,singer,B,94,primary,6800,no
93,male,chef,A,87,master,170,no
89,female,programmer,AB,84,primary,230,no
88,male,singer,O,84,master,820,no
19,third,scientest,O,83,university,390,yes
90,third,salesman,O,72,junior high,9400,no
0,female,student,AB,51,university,82,no
28,male,programmer,O,64,senior high,7600,yes
13,third,teacher,O,57,doctor,30,no
36,female,teacher,A,79,primary,42,no
73,third,chef,B,98,junior high,63,no
87,third,neet,O,82,doctor,360,no
66,female,teacher,B,98,doctor,7500,no
92,female,chef,A,77,university,710,no
59,female,salesman,AB,47,doctor,1100,no
80,male,neet,O,47,primary,7,no
38,third,salesman,O,83,master,64,yes
75,female,programmer,O,36,primary,790,no
12,male,student,B,80,master,39,no
82,female,programmer,O,88,doctor,2700,no
94,third,chef,B,83,university,80,no
45,third,singer,O,86,university,170,no
67,female,programmer,B,51,master,4700,no
68,third,teacher,AB,79,senior high,87,no
39,male,student,B,99,primary,140,no
85,male,engineer,A,62,doctor,4800,no
17,third,teacher,O,75,primary,2300,yes
77,female,chef,O,84,primary,1000,no
12,male,neet,A,89,junior high,770,no
54,male,scientest,B,54,primary,5,no
47,male,student,AB,98,primary,90,no
89,male,neet,B,52,senior high,690,no
32,third,salesman,A,59,primary,81,no
2,female,programmer,A,75,junior high,990,no
72,female,chef,A,76,junior high,60,no
93,third,scientest,B,61,doctor,900,no
94,female,singer,B,64,senior high,130,no
94,female,chef,O,41,doctor,2100,no
33,female,salesman,A,84,doctor,3000,no
64,female,student,AB,76,master,8,no
61,female,scientest,A,61,master,82,no
42,third,teacher,B,91,university,960,no
79,female,engineer,AB,51,university,32,no
32,male,scientest,B,50,doctor,8900,yes
57,third,neet,AB,68,university,36,no
67,third,engineer,A,71,senior high,150,no
80,third,engineer,B,99,master,640,no
12,female,neet,AB,67,master,7200,no
37,third,programmer,O,66,primary,7100,yes
75,female,singer,B,68,master,880,no
24,third,programmer,A,49,primary,950,no
96,third,neet,A,50,doctor,42,no
34,female,teacher,B,70,university,81,no
94,third,salesman,AB,81,junior high,7900,no
82,third,scientest,AB,91,primary,20,no
33,male,scientest,B,83,junior high,35,no
39,female,singer,B,72,master,23,no
12,female,chef,B,59,university,630,no
21,male,singer,O,96,university,670,yes
72,third,teacher,AB,51,master,780,no
53,female,teacher,O,40,university,10,no
0,third,salesman,B,67,senior high,7900,no
11,male,student,A,71,doctor,40,no
51,female,engineer,B,98,doctor,78,no
25,male,engineer,AB,91,master,6000,yes
3,female,neet,O,68,university,11,no
44,third,neet,B,95,doctor,8500,no
90,male,salesman,AB,35,master,330,no
28,female,singer,O,41,doctor,53,yes
35,third,chef,O,93,primary,40,yes
45,female,engineer,A,56,doctor,70,yes
71,male,chef,A,42,senior high,34,no
77,female,neet,AB,79,doctor,49,no
33,male,salesman,A,35,junior high,100,no
89,third,student,O,77,senior high,810,no
69,male,programmer,A,47,primary,7200,no
51,female,chef,A,84,senior high,77,no
41,male,neet,O,83,master,8000,no
2,male,student,A,44,junior high,9300,no
19,male,programmer,B,70,doctor,69,no
82,male,engineer,AB,48,junior high,440,no
47,male,scientest,O,72,doctor,3100,yes
66,female,singer,A,96,university,23,no
45,female,student,AB,96,senior high,12,no
37,male,engineer,B,82,junior high,3800,no
44,female,engineer,A,82,senior high,500,no
43,female,engineer,A,64,doctor,4900,yes
56,female,scientest,A,81,university,7700,no
0,female,scientest,B,88,senior high,6800,no
77,third,salesman,AB,95,master,94,no
99,third,singer,O,78,senior high,9400,no
33,male,engineer,AB,64,junior high,180,no
6,female,chef,O,50,senior high,81,no
99,female,neet,B,88,primary,9400,no
37,third,engineer,AB,81,primary,43,no
3,third,salesman,AB,53,senior high,360,no
45,male,student,O,65,university,9600,no
97,male,singer,AB,82,doctor,4,no
83,male,singer,AB,63,primary,200,no
87,third,singer,A,80,master,220,no
37,female,salesman,O,43,primary,640,yes
21,female,neet,B,42,doctor,360,no
39,third,singer,O,75,junior high,8900,yes
67,male,student,A,36,master,420,no
11,male,neet,B,35,primary,28,yes
63,female,programmer,B,82,master,700,no
56,female,teacher,AB,71,university,250,no
10,third,salesman,O,71,master,380,no
27,male,salesman,B,54,primary,8200,no
47,third,scientest,O,41,senior high,270,no
88,third,engineer,O,79,primary,690,no
16,female,teacher,AB,60,master,74,no
17,female,teacher,B,98,doctor,670,no
55,female,chef,AB,40,doctor,240,no
16,male,scientest,AB,42,doctor,10,no
38,female,student,A,99,doctor,5400,no
53,third,engineer,AB,47,doctor,65,no
68,male,student,AB,90,university,870,no
67,female,neet,O,52,primary,630,no
8,third,singer,AB,52,primary,740,no
33,male,programmer,B,78,master,91,yes
32,male,salesman,A,99,master,9100,no
90,third,chef,O,81,senior high,4800,no
9,male,neet,A,36,doctor,800,yes
87,female,programmer,O,89,junior high,20,no
55,third,chef,O,48,university,910,no
34,third,teacher,AB,52,university,99,no
0,female,scientest,A,52,primary,320,no
69,female,engineer,AB,85,junior high,240,no
16,female,teacher,B,73,master,240,no
18,third,salesman,B,54,primary,27,no
54,male,student,A,64,junior high,760,no
34,third,programmer,A,40,master,69,yes
47,male,salesman,B,88,university,890,no
15,third,teacher,AB,46,primary,30,no
33,female,singer,O,76,university,56,yes
70,male,engineer,O,68,doctor,86,no
71,female,singer,B,77,master,73,no
12,female,salesman,A,45,primary,3100,yes
9,third,singer,B,69,senior high,4700,no
98,female,singer,AB,61,senior high,76,no
47,third,salesman,AB,79,junior high,43,no
39,male,salesman,O,42,primary,92,yes
81,male,salesman,A,64,primary,5600,no
55,third,scientest,O,58,master,970,no
53,female,programmer,B,85,university,5300,no
28,female,engineer,A,67,senior high,66,no
93,third,chef,O,99,junior high,380,no
30,male,chef,B,74,junior high,720,yes
87,male,salesman,A,95,university,7000,no
32,third,teacher,O,78,master,5300,yes
33,male,neet,O,38,junior high,880,yes
65,third,scientest,B,40,master,3900,no
6,female,student,O,66,master,270,no
31,female,salesman,B,41,primary,40,no
74,male,singer,B,49,junior high,43,no
46,female,singer,O,88,primary,880,no
88,male,scientest,B,57,master,88,no
17,female,student,O,41,primary,26,yes
76,third,scientest,B,39,primary,85,no
94,male,engineer,A,51,master,400,no
36,female,singer,A,98,doctor,65,no
56,third,singer,O,88,university,9400,no
25,female,engineer,A,69,primary,3500,no
9,male,salesman,O,56,doctor,2600,no
65,third,neet,B,96,doctor,7300,no
9,male,programmer,B,41,master,51,yes
36,female,neet,AB,73,master,70,no
54,male,programmer,O,97,doctor,90,no
87,male,engineer,AB,97,junior high,1600,no
5,male,programmer,AB,67,junior high,390,no
30,male,student,B,58,master,790,no
8,third,chef,AB,58,master,830,no
1,third,neet,B,82,senior high,130,no
25,third,chef,O,84,junior high,400,yes
47,female,teacher,A,37,doctor,60,no
72,third,chef,AB,75,university,99,no
44,female,programmer,O,88,junior high,60,no
89,third,programmer,AB,38,primary,620,no
82,male,engineer,O,88,master,30,no
69,male,programmer,O,39,master,6000,no
2,male,teacher,O,57,senior high,100,no
26,male,student,O,51,junior high,63,yes
97,third,salesman,AB,60,junior high,6500,no
49,female,scientest,AB,78,doctor,310,yes
31,third,engineer,AB,98,junior high,8300,no
46,male,teacher,A,90,primary,760,no
19,female,engineer,B,66,junior high,540,no
18,female,engineer,O,40,doctor,9,yes
28,male,chef,AB,94,master,60,yes
48,third,salesman,AB,65,senior high,82,no
30,third,singer,O,51,senior high,530,yes
6,third,chef,O,52,university,160,no
39,third,salesman,AB,87,master,4900,no
47,male,scientest,O,57,doctor,200,yes
23,male,student,AB,82,junior high,59,no
24,female,chef,O,97,doctor,990,yes
79,third,engineer,O,91,primary,990,no
68,third,student,A,57,senior high,200,no
7,male,teacher,AB,96,master,1900,no
13,female,scientest,O,73,master,970,no
44,female,student,AB,84,doctor,58,no
28,female,programmer,A,95,senior high,4900,no
11,female,engineer,A,75,master,8,no
88,female,salesman,B,72,junior high,3700,no
11,female,neet,AB,76,university,480,no
88,female,chef,A,41,university,210,no
41,female,singer,A,94,primary,19,no
73,female,scientest,AB,69,senior high,88,no
78,third,singer,A,49,junior high,700,no
4,male,neet,B,78,doctor,1500,no
43,female,teacher,O,39,junior high,7800,no
53,third,teacher,O,88,senior high,87,no
3,male,singer,O,45,primary,94,no
6,male,salesman,A,54,university,300,no
68,male,singer,B,88,senior high,85,no
7,female,programmer,O,52,doctor,420,no
67,female,neet,A,76,doctor,480,no
36,third,student,AB,55,master,960,no
72,male,singer,AB,80,primary,100,no
6,female,salesman,AB,43,junior high,950,no
74,male,engineer,B,35,primary,1600,no
95,third,salesman,AB,37,master,6000,no
36,male,student,O,74,junior high,570,yes
41,male,engineer,O,70,master,4500,yes
69,third,singer,B,59,university,96,no
25,third,salesman,AB,41,doctor,5700,no
27,male,student,B,81,senior high,850,no
46,third,programmer,AB,42,university,4200,no
93,third,student,B,56,junior high,98,no
20,third,programmer,O,39,senior high,280,yes
56,third,neet,A,86,master,7700,no
2,female,teacher,A,72,university,20,no
29,male,chef,O,45,doctor,670,yes
7,third,chef,AB,45,senior high,810,no
13,male,salesman,AB,70,primary,24,no
65,female,teacher,A,66,university,23,no
6,third,engineer,B,94,primary,760,no
28,third,singer,AB,66,master,4600,no
72,third,salesman,A,94,master,94,no
68,female,chef,O,83,university,70,no
58,male,student,O,53,master,2,no
26,third,scientest,AB,60,university,430,no
1,male,salesman,B,82,doctor,27,no
24,third,singer,A,52,master,980,no
42,female,chef,AB,63,university,200,yes
73,third,salesman,B,41,master,49,no
49,third,singer,O,98,doctor,820,no
37,male,singer,A,54,junior high,41,no
28,female,student,O,92,senior high,48,yes
31,male,engineer,AB,49,doctor,6100,yes
45,female,engineer,AB,64,senior high,590,no
70,third,programmer,O,40,senior high,100,no
27,female,programmer,A,39,senior high,9800,no
50,third,engineer,A,82,doctor,7500,yes
44,male,scientest,A,89,master,6900,yes
70,male,neet,O,65,doctor,60,no
50,male,neet,AB,73,junior high,4400,no
76,female,scientest,B,94,doctor,340,no
6,female,student,A,55,senior high,24,no
51,third,engineer,B,90,junior high,770,no
47,male,chef,O,85,doctor,670,yes
52,third,engineer,O,40,doctor,5000,no
60,third,chef,AB,69,university,19,no
45,male,salesman,A,43,junior high,10000,no
26,third,chef,AB,92,senior high,970,yes
53,third,singer,A,91,senior high,570,no
3,female,chef,O,36,university,30,no
92,third,chef,O,50,junior high,97,no
34,female,chef,B,74,doctor,1400,yes
81,male,singer,B,81,university,80,no
41,male,salesman,A,56,doctor,200,no
41,male,chef,AB,68,junior high,90,yes
96,female,neet,B,52,master,5400,no
13,third,salesman,A,75,master,2900,no
34,female,student,O,94,junior high,730,yes
94,female,chef,A,79,university,61,no
7,female,neet,AB,58,master,13,no
44,third,singer,B,54,junior high,240,no
6,female,teacher,AB,68,university,460,no
86,female,salesman,AB,48,primary,77,no
37,male,singer,A,77,master,4800,no
94,male,student,B,86,junior high,63,no
80,male,programmer,AB,47,junior high,720,no
96,third,student,A,61,senior high,370,no
55,third,teacher,A,74,junior high,92,no
93,male,scientest,O,89,doctor,7100,no
70,male,scientest,AB,65,junior high,2000,no
75,female,engineer,A,47,doctor,270,no
98,male,programmer,B,36,doctor,9100,no
20,third,singer,B,76,primary,9600,no
22,third,neet,O,61,university,740,yes
51,female,chef,O,90,doctor,9200,no
1,female,chef,O,71,university,58,no
73,female,teacher,A,51,junior high,73,no
0,female,salesman,O,79,university,81,no
57,female,student,B,86,senior high,650,no
17,female,scientest,O,82,junior high,830,yes
78,female,programmer,O,36,doctor,870,no
8,male,scientest,O,59,senior high,670,no
87,male,neet,AB,63,junior high,150,no
70,third,neet,A,73,junior high,700,no
48,female,student,O,62,junior high,15,no
9,third,salesman,B,86,doctor,250,no
14,male,salesman,A,63,university,4600,no
15,female,neet,AB,74,junior high,20,no
29,third,programmer,AB,94,senior high,900,no
42,third,singer,B,87,doctor,6800,no
47,female,neet,A,73,university,950,no
36,third,programmer,O,55,primary,430,yes
38,third,salesman,AB,81,master,210,no
86,male,salesman,O,96,doctor,26,no
76,male,scientest,AB,71,junior high,520,no
14,female,teacher,O,88,doctor,9800,no
18,male,chef,A,59,primary,12,yes
82,female,neet,AB,95,senior high,1,no
42,female,programmer,B,96,university,38,no
29,male,engineer,B,55,junior high,30,no
96,third,singer,AB,57,doctor,22,no
66,third,neet,AB,41,primary,61,no
0,male,programmer,O,48,senior high,6700,no
45,third,chef,B,66,junior high,36,yes
76,third,singer,AB,54,university,340,no
60,male,teacher,B,55,university,76,no
62,female,scientest,AB,72,university,570,no
92,third,chef,O,59,doctor,350,no
20,male,neet,O,72,university,380,yes
33,third,teacher,B,61,senior high,94,no
75,third,salesman,B,95,primary,9100,no
84,third,scientest,O,40,doctor,77,no
62,third,salesman,B,40,primary,180,no
30,third,programmer,A,61,university,320,no
80,female,neet,AB,62,junior high,160,no
69,male,chef,AB,72,university,50,no
60,third,teacher,A,41,primary,9500,no
68,female,scientest,B,53,primary,4800,no
63,female,salesman,B,97,junior high,71,no
9,male,chef,O,69,master,200,no
67,male,chef,A,61,junior high,90,no
51,female,programmer,B,45,university,1300,no
13,female,neet,AB,40,senior high,82,yes
13,female,teacher,AB,42,junior high,630,yes
73,female,student,O,50,master,54,no
59,male,student,B,45,senior high,19,no
65,female,neet,B,96,doctor,120,no
10,female,chef,O,65,primary,92,no
0,female,teacher,AB,47,primary,540,no
78,third,engineer,AB,71,master,61,no
38,third,scientest,A,68,master,12,yes
92,third,neet,AB,63,primary,5100,no
7,male,chef,A,89,senior high,6100,no
70,male,chef,AB,51,senior high,3600,no
61,third,chef,B,76,master,6200,no
72,third,neet,B,94,senior high,440,no
7,male,student,O,94,junior high,100,no
8,third,programmer,O,47,senior high,500,no
67,male,programmer,B,37,junior high,6400,no
32,male,neet,B,43,university,5100,no
34,male,chef,A,73,primary,7600,yes
25,male,chef,A,67,junior high,620,yes
25,male,student,A,66,primary,1100,no
96,third,engineer,AB,38,primary,62,no
50,male,programmer,O,75,junior high,98,no
33,female,scientest,O,92,primary,15,yes
88,third,scientest,B,36,primary,22,no
68,male,salesman,O,50,doctor,530,no
65,third,engineer,AB,56,doctor,1000,no
