Age,Gender,Blood group,Weight,Education,Choosed
14,female,B,59,senior high,no
49,female,AB,36,primary,no
63,third,A,36,junior high,no
72,female,AB,96,junior high,no
48,male,AB,45,master,no
28,male,AB,75,senior high,no
44,third,A,56,doctor,no
12,male,A,37,doctor,yes
59,female,O,86,senior high,no
36,third,B,77,master,yes
15,female,O,54,doctor,no
94,male,AB,43,senior high,no
13,female,AB,78,senior high,no
50,female,AB,81,university,no
96,third,AB,39,primary,no
6,female,O,88,university,no
30,male,AB,87,senior high,no
34,female,B,62,doctor,no
23,male,AB,85,senior high,no
21,male,O,54,primary,yes
37,male,B,76,primary,no
91,female,B,80,junior high,no
78,male,B,91,master,no
6,third,O,45,master,no
90,male,AB,58,master,no
33,female,A,83,junior high,no
32,female,O,78,junior high,yes
69,third,B,74,junior high,no
45,male,AB,92,primary,no
28,male,AB,60,senior high,no
83,third,A,56,university,no
94,female,A,97,senior high,no
3,female,AB,36,master,no
67,male,O,41,university,no
84,female,B,87,junior high,no
14,third,O,63,university,no
31,third,O,79,master,yes
26,third,A,84,doctor,yes
17,female,AB,44,doctor,yes
60,male,A,67,junior high,no
39,third,B,35,doctor,yes
16,female,O,89,junior high,yes
68,third,B,50,senior high,no
39,third,AB,82,senior high,no
16,female,B,41,primary,yes
49,female,AB,94,senior high,no
55,third,A,85,senior high,no
72,male,O,75,doctor,no
55,male,O,85,master,no
43,third,A,49,master,no
24,female,B,38,doctor,no
9,female,A,38,university,no
58,third,AB,54,university,no
2,male,B,94,university,no
27,female,AB,43,doctor,yes
36,female,AB,51,junior high,no
38,male,AB,67,university,no
66,male,AB,55,senior high,no
54,female,AB,73,senior high,no
31,male,AB,78,university,yes
86,male,B,92,doctor,no
53,male,B,67,junior high,no
86,female,A,61,doctor,no
43,male,AB,65,primary,no
19,male,B,47,senior high,no
36,female,A,41,master,yes
54,third,B,72,primary,no
69,male,B,83,doctor,no
39,female,AB,38,university,no
85,female,B,92,junior high,no
84,female,A,41,senior high,no
24,third,AB,48,junior high,no
11,male,AB,78,primary,no
19,male,A,50,doctor,no
12,female,B,89,master,no
89,male,B,59,doctor,no
53,female,B,52,primary,no
93,male,A,78,university,no
21,male,O,69,junior high,yes
31,third,AB,45,primary,no
7,male,A,76,primary,no
3,third,AB,74,university,no
11,male,AB,89,junior high,no
85,male,AB,64,university,no
1,male,A,67,junior high,no
64,female,AB,78,primary,no
5,male,A,39,master,no
28,third,A,74,junior high,no
95,female,A,72,university,no
98,male,A,83,junior high,no
15,male,B,39,senior high,no
81,third,A,79,junior high,no
83,third,B,99,university,no
56,female,AB,73,university,no
19,male,B,47,primary,no
4,third,O,45,primary,no
88,female,O,57,junior high,no
8,female,AB,62,senior high,no
54,male,A,56,university,no
64,third,O,43,primary,no
36,female,AB,46,doctor,yes
75,female,AB,89,university,no
54,male,AB,64,doctor,no
49,male,B,54,primary,no
46,third,AB,94,senior high,no
48,male,O,61,senior high,yes
22,female,AB,88,master,yes
46,third,AB,63,master,yes
42,female,AB,52,university,no
51,female,B,72,doctor,no
77,female,B,78,university,no
30,third,B,48,university,no
72,male,O,74,junior high,no
59,third,AB,86,primary,no
18,third,A,45,doctor,no
35,male,B,53,senior high,no
2,male,B,85,junior high,no
10,third,O,91,primary,no
41,female,B,97,university,no
33,third,AB,42,junior high,no
34,male,O,61,master,yes
20,third,AB,47,junior high,no
35,female,B,89,university,yes
37,female,A,39,senior high,no
11,female,A,87,university,no
77,female,O,62,primary,no
81,female,A,89,senior high,no
36,female,B,96,university,no
51,third,O,99,doctor,no
82,third,A,79,junior high,no
29,female,B,97,university,no
35,third,A,44,senior high,no
32,male,O,72,doctor,yes
86,male,B,40,master,no
58,third,AB,79,primary,no
70,female,O,81,junior high,no
2,third,O,76,master,no
62,third,O,92,senior high,no
62,female,AB,91,primary,no
13,female,A,52,junior high,no
93,third,A,52,junior high,no
52,male,O,99,primary,no
66,female,AB,90,junior high,no
75,female,B,74,university,no
58,third,B,44,doctor,no
90,third,O,89,primary,no
32,male,B,59,junior high,no
87,male,AB,98,university,no
22,female,O,38,junior high,yes
49,third,B,42,doctor,no
64,female,B,44,junior high,no
94,third,A,64,primary,no
84,male,A,49,junior high,no
64,female,AB,75,master,no
14,male,B,58,doctor,no
11,female,B,52,university,no
84,male,AB,36,university,no
39,male,B,66,primary,no
50,female,B,41,junior high,yes
89,male,O,48,university,no
50,male,B,51,junior high,yes
43,male,AB,90,primary,no
12,third,B,84,master,no
15,female,A,70,university,no
43,male,B,91,university,no
61,male,B,76,junior high,no
39,male,AB,78,university,no
69,third,O,91,junior high,no
35,female,AB,86,master,yes
31,third,O,58,master,yes
82,male,O,70,junior high,no
81,female,A,87,senior high,no
33,third,O,79,doctor,yes
85,third,O,60,senior high,no
84,third,B,75,primary,no
73,female,O,49,senior high,no
20,male,A,68,university,no
33,third,B,59,master,no
8,female,O,52,doctor,no
96,third,A,75,master,no
41,male,B,61,senior high,no
80,male,O,99,university,no
50,female,A,37,primary,no
47,male,B,80,junior high,no
18,third,AB,94,senior high,no
57,male,O,63,doctor,no
77,third,AB,43,doctor,no
43,male,AB,81,junior high,no
2,female,B,57,university,no
48,male,O,81,senior high,no
84,third,O,92,master,no
21,female,A,56,university,no
50,female,A,49,junior high,yes
14,female,A,79,master,no
77,male,AB,94,senior high,no
38,male,B,43,junior high,no
16,female,O,37,primary,yes
74,female,B,57,junior high,no
84,female,AB,56,junior high,no
30,male,O,84,junior high,yes
43,female,B,38,master,no
88,female,B,85,doctor,no
28,female,A,85,junior high,no
99,male,B,66,primary,no
80,third,B,86,junior high,no
6,male,O,55,junior high,no
80,male,AB,62,primary,no
16,female,B,46,university,no
16,third,B,64,junior high,no
70,female,AB,92,doctor,no
48,third,B,35,senior high,no
45,male,AB,61,master,no
58,third,B,88,junior high,no
49,male,A,86,senior high,no
15,third,A,70,doctor,no
44,third,B,78,doctor,yes
71,male,AB,83,university,no
37,male,A,77,doctor,no
23,third,A,39,master,no
74,female,AB,83,junior high,no
36,male,O,42,doctor,yes
61,female,AB,67,master,no
19,male,O,69,university,yes
76,female,AB,73,senior high,no
36,male,A,81,junior high,no
88,male,AB,61,senior high,no
44,male,AB,52,doctor,no
31,third,O,81,university,yes
4,third,B,41,primary,no
33,female,A,77,junior high,no
69,male,O,85,senior high,no
6,female,O,85,primary,no
70,female,O,82,primary,no
65,female,B,76,doctor,no
4,male,AB,72,doctor,no
34,third,A,98,junior high,no
99,male,O,69,primary,no
53,third,A,87,primary,no
78,male,B,38,master,no
11,female,AB,71,university,no
62,third,A,42,university,no
37,male,AB,84,senior high,no
1,male,AB,93,university,no
56,female,AB,66,master,no
0,male,AB,68,university,no
65,third,A,70,primary,no
70,third,B,49,university,no
77,third,A,65,primary,no
18,male,AB,43,junior high,no
48,female,AB,76,master,yes
19,female,O,79,master,yes
86,male,AB,79,senior high,no
35,male,B,65,master,no
82,male,A,46,university,no
49,male,B,89,doctor,no
38,female,B,99,senior high,yes
75,third,AB,85,primary,no
88,male,A,83,university,no
14,female,B,89,master,no
11,female,B,81,master,no
24,female,A,62,senior high,no
42,third,B,98,senior high,no
46,male,B,75,university,no
82,third,O,81,university,no
52,female,O,35,university,no
21,male,O,83,university,yes
67,male,B,36,primary,no
61,female,AB,78,master,no
74,third,AB,62,primary,no
43,female,A,91,master,no
26,third,A,90,senior high,yes
18,male,AB,59,doctor,no
63,male,B,54,master,no
33,male,AB,78,university,no
40,male,AB,81,university,no
67,third,O,51,primary,no
19,female,AB,42,primary,no
74,female,A,86,university,no
13,female,AB,73,senior high,no
67,third,A,86,senior high,no
60,male,B,62,junior high,no
28,female,O,96,university,yes
49,male,AB,95,junior high,no
48,third,A,83,primary,no
87,male,O,99,junior high,no
17,male,AB,43,senior high,no
87,male,B,80,doctor,no
31,female,O,90,primary,yes
44,male,AB,43,senior high,no
15,male,B,58,primary,no
29,male,AB,45,doctor,no
7,female,O,49,senior high,no
58,male,A,87,master,no
44,third,O,54,primary,no
82,third,A,96,doctor,no
22,male,O,46,junior high,yes
44,female,O,64,master,no
21,male,A,91,master,no
55,female,A,88,primary,no
61,third,O,76,senior high,no
13,third,O,44,master,no
3,third,A,52,primary,no
29,third,B,71,senior high,no
19,female,B,89,junior high,no
99,third,AB,80,university,no
52,female,A,43,master,no
56,female,A,42,senior high,no
50,male,AB,55,doctor,yes
2,male,B,40,primary,no
20,female,O,88,senior high,yes
19,female,A,88,university,no
70,male,A,37,primary,no
19,male,O,49,primary,yes
16,male,A,57,primary,no
3,third,A,35,doctor,no
34,third,B,83,university,no
92,male,B,40,doctor,no
76,female,A,64,junior high,no
89,third,A,60,junior high,no
26,male,A,96,primary,no
95,third,B,73,junior high,no
25,third,AB,69,doctor,yes
47,male,A,58,doctor,yes
75,third,AB,74,university,no
76,third,AB,43,primary,no
50,male,O,73,senior high,no
48,male,B,95,master,no
34,female,A,43,doctor,no
74,male,AB,90,senior high,no
71,third,A,93,master,no
74,female,AB,97,master,no
28,third,B,53,senior high,no
91,female,AB,40,primary,no
32,male,B,54,university,no
0,third,AB,42,master,no
76,male,O,61,junior high,no
82,female,AB,93,doctor,no
38,third,AB,81,senior high,no
18,female,B,59,university,no
48,male,B,38,senior high,yes
18,male,O,88,primary,yes
29,female,O,60,master,yes
19,male,AB,77,master,no
91,female,AB,89,primary,no
84,third,AB,63,master,no
95,male,A,53,senior high,no
55,male,AB,85,doctor,no
32,third,O,82,senior high,yes
54,male,O,91,master,no
79,female,B,84,junior high,no
87,male,AB,69,junior high,no
70,female,O,82,junior high,no
71,male,B,66,junior high,no
74,third,AB,59,junior high,no
13,female,AB,65,primary,no
19,female,A,89,senior high,no
48,third,O,88,senior high,no
56,third,AB,49,master,no
65,third,A,41,primary,no
91,male,AB,36,primary,no
1,third,B,70,junior high,no
92,third,A,98,master,no
63,female,A,45,junior high,no
22,male,B,93,university,yes
90,third,O,72,junior high,no
76,third,A,58,university,no
40,male,O,45,senior high,yes
6,male,O,63,university,no
57,third,O,88,junior high,no
86,male,B,45,doctor,no
9,third,O,85,master,no
97,male,A,68,master,no
0,third,A,76,master,no
22,female,A,79,doctor,yes
59,third,AB,48,doctor,no
51,female,O,64,master,no
66,female,A,49,primary,no
9,third,A,58,doctor,no
83,male,O,67,senior high,no
7,third,O,83,master,no
21,third,B,86,master,no
71,male,O,55,junior high,no
22,male,AB,93,senior high,yes
67,female,A,95,senior high,no
72,female,B,61,master,no
77,third,O,35,master,no
23,third,AB,78,senior high,no
34,third,AB,48,primary,no
2,female,B,99,primary,no
81,male,AB,35,senior high,no
22,third,B,39,master,yes
15,third,B,97,primary,no
6,male,B,89,university,no
65,female,B,91,primary,no
5,female,A,63,doctor,no
30,third,AB,96,master,no
91,male,AB,98,doctor,no
73,male,A,80,master,no
34,male,AB,58,primary,no
47,male,B,87,primary,no
88,female,AB,98,senior high,no
57,female,B,64,master,no
69,male,AB,45,master,no
73,male,B,59,doctor,no
93,third,B,70,master,no
87,third,B,47,doctor,no
21,female,O,93,doctor,yes
0,female,AB,42,master,no
7,female,A,42,master,no
75,male,AB,69,doctor,no
83,female,AB,36,master,no
38,third,A,37,master,yes
71,male,A,82,junior high,no
5,male,B,82,junior high,no
53,third,B,91,junior high,no
68,female,B,51,master,no
47,third,AB,70,university,no
58,male,A,66,doctor,no
17,male,O,62,master,yes
35,third,O,75,master,yes
73,male,AB,80,junior high,no
80,third,AB,74,master,no
23,third,O,63,doctor,yes
57,female,AB,53,university,no
68,male,AB,57,university,no
35,male,O,56,doctor,yes
28,female,B,38,junior high,no
38,third,B,89,junior high,no
53,third,AB,87,doctor,no
33,third,B,55,university,no
55,female,B,51,doctor,no
14,third,O,69,junior high,no
65,male,A,73,doctor,no
32,female,B,85,primary,no
54,male,A,58,primary,no
91,third,A,71,doctor,no
80,third,O,67,master,no
88,third,AB,75,junior high,no
32,third,A,78,doctor,yes
4,male,A,97,senior high,no
91,female,O,87,senior high,no
13,male,AB,52,primary,no
43,third,O,87,primary,no
10,third,B,68,master,no
76,female,O,96,senior high,no
28,female,B,50,senior high,no
76,third,A,65,senior high,no
66,male,B,93,primary,no
67,female,A,92,senior high,no
37,third,A,38,doctor,no
51,third,A,53,primary,no
52,female,B,58,junior high,no
82,female,B,76,doctor,no
51,female,AB,97,doctor,no
34,male,O,86,junior high,yes
6,male,AB,41,senior high,no
51,third,A,94,senior high,no
64,third,AB,48,senior high,no
94,male,O,91,doctor,no
44,third,B,84,doctor,yes
26,third,A,36,senior high,no
56,male,AB,94,university,no
61,male,A,83,master,no
0,male,B,36,primary,no
72,third,AB,57,senior high,no
60,male,B,78,university,no
77,female,AB,85,doctor,no
86,female,O,35,doctor,no
16,female,A,98,junior high,no
0,female,O,97,primary,no
9,male,O,90,doctor,no
3,female,O,90,junior high,no
37,female,AB,82,senior high,no
8,third,O,96,junior high,no
1,female,AB,65,primary,no
14,female,B,81,doctor,no
21,third,O,75,junior high,yes
96,third,AB,76,senior high,no
97,male,AB,47,master,no
62,female,O,35,master,no
35,third,AB,85,master,yes
91,third,O,54,senior high,no
90,third,A,54,doctor,no
95,male,B,78,senior high,no
24,third,AB,98,senior high,no
6,male,AB,53,doctor,no
80,female,B,87,senior high,no
48,female,B,99,senior high,no
63,female,A,43,university,no
44,female,AB,92,senior high,no
45,male,O,92,doctor,yes
57,male,AB,91,primary,no
33,third,AB,75,master,no
60,male,B,67,doctor,no
88,third,AB,85,master,no
69,female,B,64,university,no
43,female,B,78,senior high,no
47,male,B,71,university,yes
12,third,AB,43,university,no
61,female,O,79,university,no
29,female,O,75,senior high,yes
36,male,AB,50,university,no
14,male,AB,48,junior high,no
94,male,AB,66,senior high,no
33,third,AB,53,university,no
5,male,B,73,university,no
53,third,B,99,primary,no
14,male,AB,82,junior high,no
84,female,B,51,master,no
8,female,O,93,university,no
82,male,AB,54,senior high,no
14,third,O,44,primary,no
3,female,AB,54,primary,no
35,third,O,37,junior high,yes
33,third,B,40,junior high,no
65,female,A,37,primary,no
21,female,B,86,master,no
18,female,B,62,senior high,no
24,third,AB,70,senior high,no
71,male,B,73,master,no
17,female,A,89,doctor,no
50,third,O,98,junior high,no
58,female,A,40,primary,no
64,female,AB,75,senior high,no
50,third,B,47,junior high,no
11,female,A,91,university,no
36,female,AB,63,senior high,no
29,third,A,38,doctor,no
83,third,AB,80,primary,no
32,male,O,80,doctor,yes
26,third,B,94,primary,no
93,male,A,87,master,no
89,female,AB,84,primary,no
88,male,O,84,master,no
19,third,O,83,university,yes
90,third,O,72,junior high,no
0,female,AB,51,university,no
28,male,O,64,senior high,yes
13,third,O,57,doctor,no
36,female,A,79,primary,no
73,third,B,98,junior high,no
87,third,O,82,doctor,no
66,female,B,98,doctor,no
92,female,A,77,university,no
59,female,AB,47,doctor,no
80,male,O,47,primary,no
38,third,O,83,master,yes
75,female,O,36,primary,no
12,male,B,80,master,no
82,female,O,88,doctor,no
94,third,B,83,university,no
45,third,O,86,university,no
67,female,B,51,master,no
68,third,AB,79,senior high,no
39,male,B,99,primary,no
85,male,A,62,doctor,no
17,third,O,75,primary,yes
77,female,O,84,primary,no
12,male,A,89,junior high,no
54,male,B,54,primary,no
47,male,AB,98,primary,no
89,male,B,52,senior high,no
32,third,A,59,primary,no
2,female,A,75,junior high,no
72,female,A,76,junior high,no
93,third,B,61,doctor,no
94,female,B,64,senior high,no
94,female,O,41,doctor,no
33,female,A,84,doctor,no
64,female,AB,76,master,no
61,female,A,61,master,no
42,third,B,91,university,no
79,female,AB,51,university,no
32,male,B,50,doctor,yes
57,third,AB,68,university,no
67,third,A,71,senior high,no
80,third,B,99,master,no
12,female,AB,67,master,no
37,third,O,66,primary,yes
75,female,B,68,master,no
24,third,A,49,primary,no
96,third,A,50,doctor,no
34,female,B,70,university,no
94,third,AB,81,junior high,no
82,third,AB,91,primary,no
33,male,B,83,junior high,no
39,female,B,72,master,no
12,female,B,59,university,no
21,male,O,96,university,yes
72,third,AB,51,master,no
53,female,O,40,university,no
0,third,B,67,senior high,no
11,male,A,71,doctor,no
51,female,B,98,doctor,no
25,male,AB,91,master,yes
3,female,O,68,university,no
44,third,B,95,doctor,no
90,male,AB,35,master,no
28,female,O,41,doctor,yes
35,third,O,93,primary,yes
45,female,A,56,doctor,yes
71,male,A,42,senior high,no
77,female,AB,79,doctor,no
33,male,A,35,junior high,no
89,third,O,77,senior high,no
69,male,A,47,primary,no
51,female,A,84,senior high,no
41,male,O,83,master,no
2,male,A,44,junior high,no
19,male,B,70,doctor,no
82,male,AB,48,junior high,no
47,male,O,72,doctor,yes
66,female,A,96,university,no
45,female,AB,96,senior high,no
37,male,B,82,junior high,no
44,female,A,82,senior high,no
43,female,A,64,doctor,yes
56,female,A,81,university,no
0,female,B,88,senior high,no
77,third,AB,95,master,no
99,third,O,78,senior high,no
33,male,AB,64,junior high,no
6,female,O,50,senior high,no
99,female,B,88,primary,no
37,third,AB,81,primary,no
3,third,AB,53,senior high,no
45,male,O,65,university,no
97,male,AB,82,doctor,no
83,male,AB,63,primary,no
87,third,A,80,master,no
37,female,O,43,primary,yes
21,female,B,42,doctor,no
39,third,O,75,junior high,yes
67,male,A,36,master,no
11,male,B,35,primary,yes
63,female,B,82,master,no
56,female,AB,71,university,no
10,third,O,71,master,no
27,male,B,54,primary,no
47,third,O,41,senior high,no
88,third,O,79,primary,no
16,female,AB,60,master,no
17,female,B,98,doctor,no
55,female,AB,40,doctor,no
16,male,AB,42,doctor,no
38,female,A,99,doctor,no
53,third,AB,47,doctor,no
68,male,AB,90,university,no
67,female,O,52,primary,no
8,third,AB,52,primary,no
33,male,B,78,master,yes
32,male,A,99,master,no
90,third,O,81,senior high,no
9,male,A,36,doctor,yes
87,female,O,89,junior high,no
55,third,O,48,university,no
34,third,AB,52,university,no
0,female,A,52,primary,no
69,female,AB,85,junior high,no
16,female,B,73,master,no
18,third,B,54,primary,no
54,male,A,64,junior high,no
34,third,A,40,master,yes
47,male,B,88,university,no
15,third,AB,46,primary,no
33,female,O,76,university,yes
70,male,O,68,doctor,no
71,female,B,77,master,no
12,female,A,45,primary,yes
9,third,B,69,senior high,no
98,female,AB,61,senior high,no
47,third,AB,79,junior high,no
39,male,O,42,primary,yes
81,male,A,64,primary,no
55,third,O,58,master,no
53,female,B,85,university,no
28,female,A,67,senior high,no
93,third,O,99,junior high,no
30,male,B,74,junior high,yes
87,male,A,95,university,no
32,third,O,78,master,yes
33,male,O,38,junior high,yes
65,third,B,40,master,no
6,female,O,66,master,no
31,female,B,41,primary,no
74,male,B,49,junior high,no
46,female,O,88,primary,no
88,male,B,57,master,no
17,female,O,41,primary,yes
76,third,B,39,primary,no
94,male,A,51,master,no
36,female,A,98,doctor,no
56,third,O,88,university,no
25,female,A,69,primary,no
9,male,O,56,doctor,no
65,third,B,96,doctor,no
9,male,B,41,master,yes
36,female,AB,73,master,no
54,male,O,97,doctor,no
87,male,AB,97,junior high,no
5,male,AB,67,junior high,no
30,male,B,58,master,no
8,third,AB,58,master,no
1,third,B,82,senior high,no
25,third,O,84,junior high,yes
47,female,A,37,doctor,no
72,third,AB,75,university,no
44,female,O,88,junior high,no
89,third,AB,38,primary,no
82,male,O,88,master,no
69,male,O,39,master,no
2,male,O,57,senior high,no
26,male,O,51,junior high,yes
97,third,AB,60,junior high,no
49,female,AB,78,doctor,yes
31,third,AB,98,junior high,no
46,male,A,90,primary,no
19,female,B,66,junior high,no
18,female,O,40,doctor,yes
28,male,AB,94,master,yes
48,third,AB,65,senior high,no
30,third,O,51,senior high,yes
6,third,O,52,university,no
39,third,AB,87,master,no
47,male,O,57,doctor,yes
23,male,AB,82,junior high,no
24,female,O,97,doctor,yes
79,third,O,91,primary,no
68,third,A,57,senior high,no
7,male,AB,96,master,no
13,female,O,73,master,no
44,female,AB,84,doctor,no
28,female,A,95,senior high,no
11,female,A,75,master,no
88,female,B,72,junior high,no
11,female,AB,76,university,no
88,female,A,41,university,no
41,female,A,94,primary,no
73,female,AB,69,senior high,no
78,third,A,49,junior high,no
4,male,B,78,doctor,no
43,female,O,39,junior high,no
53,third,O,88,senior high,no
3,male,O,45,primary,no
6,male,A,54,university,no
68,male,B,88,senior high,no
7,female,O,52,doctor,no
67,female,A,76,doctor,no
36,third,AB,55,master,no
72,male,AB,80,primary,no
6,female,AB,43,junior high,no
74,male,B,35,primary,no
95,third,AB,37,master,no
36,male,O,74,junior high,yes
41,male,O,70,master,yes
69,third,B,59,university,no
25,third,AB,41,doctor,no
27,male,B,81,senior high,no
46,third,AB,42,university,no
93,third,B,56,junior high,no
20,third,O,39,senior high,yes
56,third,A,86,master,no
2,female,A,72,university,no
29,male,O,45,doctor,yes
7,third,AB,45,senior high,no
13,male,AB,70,primary,no
65,female,A,66,university,no
6,third,B,94,primary,no
28,third,AB,66,master,no
72,third,A,94,master,no
68,female,O,83,university,no
58,male,O,53,master,no
26,third,AB,60,university,no
1,male,B,82,doctor,no
24,third,A,52,master,no
42,female,AB,63,university,yes
73,third,B,41,master,no
49,third,O,98,doctor,no
37,male,A,54,junior high,no
28,female,O,92,senior high,yes
31,male,AB,49,doctor,yes
45,female,AB,64,senior high,no
70,third,O,40,senior high,no
27,female,A,39,senior high,no
50,third,A,82,doctor,yes
44,male,A,89,master,yes
70,male,O,65,doctor,no
50,male,AB,73,junior high,no
76,female,B,94,doctor,no
6,female,A,55,senior high,no
51,third,B,90,junior high,no
47,male,O,85,doctor,yes
52,third,O,40,doctor,no
60,third,AB,69,university,no
45,male,A,43,junior high,no
26,third,AB,92,senior high,yes
53,third,A,91,senior high,no
3,female,O,36,university,no
92,third,O,50,junior high,no
34,female,B,74,doctor,yes
81,male,B,81,university,no
41,male,A,56,doctor,no
41,male,AB,68,junior high,yes
96,female,B,52,master,no
13,third,A,75,master,no
34,female,O,94,junior high,yes
94,female,A,79,university,no
7,female,AB,58,master,no
44,third,B,54,junior high,no
6,female,AB,68,university,no
86,female,AB,48,primary,no
37,male,A,77,master,no
94,male,B,86,junior high,no
80,male,AB,47,junior high,no
96,third,A,61,senior high,no
55,third,A,74,junior high,no
93,male,O,89,doctor,no
70,male,AB,65,junior high,no
75,female,A,47,doctor,no
98,male,B,36,doctor,no
20,third,B,76,primary,no
22,third,O,61,university,yes
51,female,O,90,doctor,no
1,female,O,71,university,no
73,female,A,51,junior high,no
0,female,O,79,university,no
57,female,B,86,senior high,no
17,female,O,82,junior high,yes
78,female,O,36,doctor,no
8,male,O,59,senior high,no
87,male,AB,63,junior high,no
70,third,A,73,junior high,no
48,female,O,62,junior high,no
9,third,B,86,doctor,no
14,male,A,63,university,no
15,female,AB,74,junior high,no
29,third,AB,94,senior high,no
42,third,B,87,doctor,no
47,female,A,73,university,no
36,third,O,55,primary,yes
38,third,AB,81,master,no
86,male,O,96,doctor,no
76,male,AB,71,junior high,no
14,female,O,88,doctor,no
18,male,A,59,primary,yes
82,female,AB,95,senior high,no
42,female,B,96,university,no
29,male,B,55,junior high,no
96,third,AB,57,doctor,no
66,third,AB,41,primary,no
0,male,O,48,senior high,no
45,third,B,66,junior high,yes
76,third,AB,54,university,no
60,male,B,55,university,no
62,female,AB,72,university,no
92,third,O,59,doctor,no
20,male,O,72,university,yes
33,third,B,61,senior high,no
75,third,B,95,primary,no
84,third,O,40,doctor,no
62,third,B,40,primary,no
30,third,A,61,university,no
80,female,AB,62,junior high,no
69,male,AB,72,university,no
60,third,A,41,primary,no
68,female,B,53,primary,no
63,female,B,97,junior high,no
9,male,O,69,master,no
67,male,A,61,junior high,no
51,female,B,45,university,no
13,female,AB,40,senior high,yes
13,female,AB,42,junior high,yes
73,female,O,50,master,no
59,male,B,45,senior high,no
65,female,B,96,doctor,no
10,female,O,65,primary,no
0,female,AB,47,primary,no
78,third,AB,71,master,no
38,third,A,68,master,yes
92,third,AB,63,primary,no
7,male,A,89,senior high,no
70,male,AB,51,senior high,no
61,third,B,76,master,no
72,third,B,94,senior high,no
7,male,O,94,junior high,no
8,third,O,47,senior high,no
67,male,B,37,junior high,no
32,male,B,43,university,no
34,male,A,73,primary,yes
25,male,A,67,junior high,yes
25,male,A,66,primary,no
96,third,AB,38,primary,no
50,male,O,75,junior high,no
33,female,O,92,primary,yes
88,third,B,36,primary,no
68,male,O,50,doctor,no
65,third,AB,56,doctor,no
47,female,AB,43,university,no
29,male,O,76,primary,yes
51,male,B,88,primary,no
75,female,O,73,junior high,no
25,male,A,66,senior high,no
82,male,AB,43,junior high,no
33,female,O,79,primary,yes
53,female,O,49,junior high,no
5,female,O,57,doctor,no
1,third,O,36,senior high,no
76,third,B,47,master,no
46,male,O,73,senior high,no
50,female,AB,46,university,no
51,male,A,75,university,no
64,third,AB,90,senior high,no
34,third,B,95,senior high,no
6,third,O,39,doctor,no
62,male,B,82,junior high,no
11,third,O,52,primary,no
44,male,A,46,university,no
11,male,O,49,master,yes
27,female,O,49,university,yes
64,female,O,35,junior high,no
10,male,B,55,primary,no
2,male,O,88,primary,no
76,third,O,43,master,no
24,third,B,73,senior high,no
58,female,B,93,primary,no
58,third,AB,88,university,no
30,third,O,66,master,yes
86,third,AB,81,senior high,no
84,male,A,54,senior high,no
64,third,A,55,junior high,no
76,male,O,51,senior high,no
87,male,A,38,junior high,no
74,female,A,94,university,no
61,female,B,82,university,no
9,third,AB,60,university,no
36,third,AB,37,university,no
28,third,A,61,primary,no
30,third,A,89,senior high,yes
12,male,B,86,university,no
96,third,A,58,university,no
88,male,B,39,junior high,no
73,male,AB,88,primary,no
61,female,B,86,master,no
7,female,AB,68,master,no
58,female,A,64,master,no
72,third,AB,98,doctor,no
44,male,AB,61,senior high,no
89,female,A,44,master,no
35,third,AB,51,university,no
4,third,B,71,junior high,no
78,female,A,60,master,no
80,third,AB,39,senior high,no
7,male,O,66,junior high,no
29,male,AB,52,doctor,yes
4,male,AB,99,senior high,no
92,male,A,39,university,no
30,third,A,89,master,no
41,female,AB,50,doctor,yes
28,male,A,85,university,no
66,male,B,85,doctor,no
82,male,AB,37,senior high,no
73,male,A,51,primary,no
53,third,B,71,doctor,no
20,male,B,37,university,no
51,male,AB,86,primary,no
23,male,AB,57,junior high,no
65,female,O,72,master,no
45,male,O,89,junior high,no
35,male,AB,61,university,no
41,third,AB,77,senior high,no
67,third,B,54,university,no
18,female,AB,39,primary,no
9,third,B,64,junior high,no
70,male,AB,62,junior high,no
39,male,A,49,university,no
72,male,AB,70,university,no
31,male,O,39,university,yes
67,male,AB,65,junior high,no
62,female,B,43,university,no
56,third,AB,61,master,no
93,third,B,77,doctor,no
62,third,A,91,junior high,no
40,third,A,45,doctor,yes
72,female,A,81,master,no
97,female,O,58,senior high,no
69,female,O,71,master,no
39,third,B,72,junior high,no
90,third,B,79,junior high,no
73,female,B,63,junior high,no
45,female,O,68,master,no
17,male,A,80,primary,no
63,female,AB,97,junior high,no
43,male,O,54,primary,no
62,male,B,78,senior high,no
47,female,AB,52,junior high,no
72,female,A,94,primary,no
81,female,AB,44,senior high,no
94,female,A,57,junior high,no
69,third,A,44,doctor,no
20,female,B,39,master,no
90,male,O,90,senior high,no
85,third,AB,80,university,no
82,third,O,74,university,no
51,third,A,87,doctor,no
53,female,A,46,senior high,no
12,male,A,58,junior high,no
10,third,AB,61,junior high,no
10,third,A,64,primary,no
14,female,B,56,university,no
66,male,A,92,university,no
7,female,B,94,doctor,no
32,female,AB,86,primary,no
0,third,AB,36,junior high,no
34,female,AB,51,doctor,no
60,male,O,75,university,no
90,male,O,84,doctor,no
4,third,O,38,university,no
38,male,B,51,master,no
75,third,AB,75,doctor,no
54,third,B,48,master,no
58,female,A,71,doctor,no
82,female,AB,55,doctor,no
54,male,O,98,primary,no
92,female,A,80,senior high,no
34,third,B,55,primary,yes
26,male,B,61,university,no
6,male,O,35,doctor,no
