Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Cosplay

	40,	male,	scientest,	AB,	150,	67,	master,	35,	no

	35,	female,	scientest,	AB,	180,	44,	senior high,	8700,	no

	3,	female,	scientest,	B,	168,	35,	senior high,	440,	yes

	17,	male,	student,	O,	164,	55,	primary,	5700,	no

	51,	third,	neet,	A,	188,	84,	doctor,	430,	yes

	58,	female,	salesman,	B,	195,	99,	doctor,	76,	yes

	26,	third,	neet,	B,	178,	96,	university,	320,	no

	2,	third,	scientest,	AB,	166,	46,	junior high,	24,	no

	58,	male,	teacher,	AB,	175,	66,	senior high,	18,	yes

	72,	third,	student,	A,	176,	49,	senior high,	47,	yes

	59,	female,	student,	O,	198,	86,	doctor,	650,	yes

	95,	male,	singer,	AB,	152,	86,	master,	9200,	no

	76,	third,	programmer,	AB,	176,	55,	senior high,	7900,	yes

	81,	third,	chef,	B,	177,	71,	doctor,	56,	yes

	8,	female,	scientest,	AB,	193,	65,	doctor,	530,	yes

	99,	third,	scientest,	A,	168,	79,	master,	3500,	no

	83,	third,	engineer,	A,	179,	65,	primary,	7600,	no

	1,	third,	salesman,	B,	164,	68,	university,	1600,	yes

	89,	female,	neet,	B,	186,	89,	junior high,	66,	yes

	9,	third,	engineer,	AB,	170,	77,	master,	7800,	yes

	57,	male,	teacher,	B,	153,	68,	doctor,	6900,	no

	43,	male,	programmer,	B,	180,	65,	senior high,	61,	no

	0,	third,	scientest,	A,	167,	67,	junior high,	37,	no

	52,	male,	teacher,	O,	186,	57,	doctor,	120,	no

	11,	third,	singer,	B,	159,	84,	master,	4300,	no

	7,	male,	chef,	B,	155,	40,	junior high,	4,	yes

	81,	male,	neet,	A,	158,	53,	junior high,	4700,	yes

	41,	male,	teacher,	O,	185,	83,	university,	29,	yes

	55,	third,	singer,	B,	159,	91,	master,	8300,	yes

	10,	third,	programmer,	B,	181,	93,	primary,	130,	yes

	1,	third,	scientest,	O,	147,	66,	primary,	9600,	no

	71,	male,	neet,	O,	187,	68,	master,	9800,	no

	29,	female,	salesman,	A,	185,	57,	senior high,	560,	no

	1,	female,	teacher,	O,	188,	86,	senior high,	460,	yes

	9,	female,	neet,	A,	184,	49,	doctor,	320,	no

	73,	male,	salesman,	AB,	141,	69,	primary,	41,	no

	19,	female,	teacher,	A,	165,	90,	junior high,	690,	no

	51,	third,	programmer,	A,	159,	91,	master,	6,	yes

	64,	third,	neet,	A,	162,	77,	university,	490,	no

	0,	third,	salesman,	AB,	165,	49,	senior high,	43,	no

	88,	male,	scientest,	B,	173,	45,	university,	5300,	yes

	32,	female,	salesman,	O,	154,	47,	master,	1300,	yes

	14,	female,	student,	O,	179,	45,	primary,	98,	no

	21,	male,	student,	B,	150,	46,	doctor,	4100,	yes

	22,	third,	teacher,	B,	175,	38,	junior high,	6700,	yes

	60,	female,	chef,	B,	174,	54,	university,	1600,	no

	78,	female,	neet,	B,	191,	81,	primary,	6900,	no

	18,	third,	programmer,	A,	191,	80,	university,	700,	yes

	3,	third,	scientest,	O,	168,	78,	master,	420,	yes

	15,	female,	scientest,	AB,	145,	64,	university,	49,	no

	9,	female,	scientest,	A,	167,	47,	university,	31,	no

	40,	female,	singer,	AB,	141,	51,	master,	40,	yes

	65,	male,	teacher,	O,	140,	80,	master,	6300,	yes

	84,	male,	engineer,	B,	175,	35,	senior high,	860,	yes

	27,	male,	engineer,	O,	152,	71,	primary,	6900,	no

	65,	male,	student,	A,	143,	65,	master,	660,	yes

	33,	third,	student,	B,	189,	74,	junior high,	830,	no

	51,	female,	teacher,	O,	158,	85,	doctor,	410,	no

	8,	third,	student,	AB,	174,	77,	university,	25,	yes

	22,	male,	programmer,	B,	152,	37,	senior high,	5500,	no

	0,	third,	salesman,	A,	190,	57,	doctor,	300,	yes

	19,	third,	salesman,	B,	167,	84,	master,	6900,	no

	7,	male,	student,	AB,	173,	99,	master,	690,	yes

	31,	third,	engineer,	B,	196,	79,	primary,	84,	yes

	3,	third,	neet,	A,	184,	71,	junior high,	16,	no

	97,	male,	teacher,	B,	186,	92,	university,	23,	no

	90,	female,	student,	AB,	163,	91,	master,	5,	no

	84,	male,	student,	O,	149,	92,	master,	880,	no

	38,	third,	teacher,	AB,	161,	50,	university,	9600,	yes

	83,	female,	teacher,	O,	185,	85,	junior high,	600,	yes

	63,	female,	neet,	AB,	162,	93,	master,	49,	yes

	1,	male,	salesman,	A,	140,	46,	university,	65,	no

	46,	third,	salesman,	B,	186,	85,	master,	5400,	no

	84,	male,	scientest,	A,	147,	51,	senior high,	270,	yes

	50,	female,	salesman,	A,	173,	79,	master,	19,	no

	31,	third,	singer,	B,	143,	91,	primary,	80,	no

	98,	female,	programmer,	A,	181,	37,	master,	1300,	yes

	13,	female,	scientest,	O,	171,	97,	junior high,	66,	yes

	10,	female,	engineer,	A,	168,	47,	junior high,	1100,	yes

	15,	female,	singer,	B,	182,	58,	university,	5600,	no

	91,	female,	programmer,	A,	171,	47,	primary,	410,	no

	77,	third,	teacher,	O,	196,	99,	master,	3900,	no

	22,	female,	neet,	O,	145,	98,	primary,	330,	no

	37,	male,	salesman,	A,	148,	97,	primary,	480,	no

	80,	male,	neet,	AB,	188,	99,	master,	4900,	yes

	78,	third,	engineer,	O,	171,	90,	primary,	17,	no

	4,	female,	singer,	B,	154,	73,	master,	170,	no

	21,	male,	singer,	AB,	164,	73,	junior high,	2200,	no

	89,	third,	student,	B,	170,	44,	senior high,	320,	yes

	7,	third,	chef,	O,	174,	44,	university,	9700,	no

	3,	third,	teacher,	B,	160,	39,	primary,	250,	yes

	20,	male,	chef,	B,	170,	74,	master,	90,	yes

	91,	male,	teacher,	AB,	169,	53,	master,	860,	no

	35,	male,	teacher,	O,	158,	74,	primary,	77,	no

	81,	female,	programmer,	O,	199,	72,	university,	100,	yes

	36,	male,	scientest,	A,	196,	55,	university,	350,	yes

	27,	third,	chef,	O,	148,	40,	university,	5600,	no

	17,	male,	salesman,	O,	191,	51,	master,	490,	no

	48,	third,	engineer,	B,	158,	47,	master,	8800,	no

	19,	third,	student,	AB,	141,	85,	doctor,	7100,	no

	33,	male,	singer,	O,	192,	98,	master,	220,	no

	45,	third,	scientest,	O,	151,	97,	university,	3500,	yes

	16,	male,	programmer,	B,	175,	85,	senior high,	71,	no

	36,	third,	teacher,	B,	150,	94,	junior high,	790,	no

	44,	third,	student,	B,	167,	54,	primary,	780,	no

	94,	third,	salesman,	B,	182,	93,	senior high,	7,	no

	65,	female,	chef,	A,	166,	55,	senior high,	86,	no

	11,	third,	salesman,	A,	162,	54,	university,	35,	yes

	82,	female,	singer,	O,	173,	85,	senior high,	8700,	no

	77,	male,	chef,	AB,	197,	63,	doctor,	4200,	yes

	21,	female,	chef,	B,	152,	62,	primary,	400,	yes

	63,	third,	chef,	B,	171,	87,	junior high,	78,	yes

	51,	male,	scientest,	AB,	195,	51,	doctor,	690,	yes

	31,	male,	programmer,	A,	169,	83,	junior high,	540,	no

	19,	third,	engineer,	B,	190,	60,	university,	94,	no

	63,	female,	singer,	B,	198,	95,	senior high,	880,	yes

	58,	male,	student,	A,	146,	84,	university,	38,	yes

	68,	female,	teacher,	AB,	191,	40,	university,	10000,	no

	28,	third,	scientest,	A,	167,	64,	master,	31,	yes

	73,	female,	salesman,	AB,	170,	84,	doctor,	8,	yes

	24,	female,	student,	O,	160,	41,	master,	54,	yes

	73,	female,	engineer,	AB,	172,	93,	senior high,	3200,	yes

	9,	female,	scientest,	AB,	164,	70,	junior high,	5300,	yes

	70,	male,	scientest,	O,	160,	72,	primary,	86,	no

	64,	female,	salesman,	O,	161,	71,	university,	11,	yes

	63,	female,	singer,	AB,	185,	91,	primary,	920,	yes

	73,	male,	engineer,	A,	184,	93,	university,	5100,	yes

	44,	male,	salesman,	O,	140,	43,	doctor,	260,	no

	41,	third,	student,	AB,	145,	54,	doctor,	26,	yes

	21,	female,	student,	B,	163,	84,	master,	900,	yes

	87,	female,	engineer,	B,	187,	98,	master,	5200,	no

	45,	male,	programmer,	B,	182,	96,	university,	560,	no

	30,	female,	neet,	AB,	158,	55,	primary,	770,	no

	55,	male,	chef,	A,	145,	39,	junior high,	8,	no

	69,	male,	teacher,	A,	149,	59,	master,	31,	no

	32,	third,	engineer,	AB,	154,	59,	senior high,	640,	yes

	35,	third,	programmer,	AB,	173,	62,	doctor,	28,	no

	45,	male,	engineer,	O,	140,	73,	primary,	8300,	no

	19,	third,	neet,	AB,	148,	60,	doctor,	250,	yes

	46,	third,	singer,	B,	168,	65,	university,	810,	no

	10,	male,	scientest,	A,	143,	94,	senior high,	710,	yes

	22,	female,	engineer,	O,	144,	85,	university,	8600,	no

	87,	third,	neet,	AB,	161,	37,	junior high,	21,	yes

	41,	female,	singer,	A,	186,	60,	primary,	910,	no

	43,	male,	teacher,	B,	174,	86,	primary,	4,	yes

	7,	third,	programmer,	AB,	172,	82,	university,	9200,	no

	7,	male,	salesman,	B,	158,	53,	doctor,	8900,	no

	29,	third,	neet,	A,	170,	36,	junior high,	840,	yes

	82,	female,	chef,	B,	167,	43,	junior high,	4500,	yes

	39,	third,	student,	B,	166,	92,	master,	51,	yes

	75,	male,	programmer,	A,	160,	37,	university,	500,	no

	39,	male,	salesman,	O,	190,	74,	junior high,	880,	no

	57,	female,	chef,	A,	198,	73,	senior high,	58,	yes

	64,	male,	neet,	O,	187,	98,	master,	810,	no

	66,	third,	chef,	A,	182,	94,	senior high,	300,	yes

	75,	third,	salesman,	A,	159,	86,	university,	410,	no

	72,	female,	neet,	O,	152,	75,	senior high,	900,	no

	4,	male,	salesman,	A,	197,	66,	doctor,	9,	yes

	27,	male,	chef,	O,	195,	94,	senior high,	69,	no

	65,	male,	student,	O,	175,	73,	university,	240,	yes

	9,	female,	programmer,	O,	140,	63,	senior high,	29,	yes

	7,	female,	programmer,	A,	182,	35,	doctor,	240,	yes

	7,	female,	chef,	B,	193,	39,	junior high,	500,	no

	1,	third,	chef,	A,	164,	92,	junior high,	9500,	no

	19,	third,	scientest,	O,	178,	51,	junior high,	4400,	no

	93,	third,	programmer,	AB,	197,	42,	primary,	350,	no

	51,	female,	chef,	AB,	155,	65,	university,	8700,	yes

	55,	female,	salesman,	AB,	148,	79,	senior high,	700,	yes

	82,	female,	programmer,	AB,	180,	87,	senior high,	760,	yes

	66,	female,	singer,	B,	191,	68,	doctor,	6500,	no

	66,	third,	singer,	AB,	177,	74,	doctor,	9800,	yes

	97,	third,	chef,	A,	190,	40,	doctor,	800,	no

	79,	female,	teacher,	A,	167,	44,	primary,	1100,	yes

	96,	female,	chef,	O,	185,	77,	university,	78,	no

	92,	female,	salesman,	A,	158,	73,	master,	77,	yes

	14,	third,	neet,	B,	172,	66,	primary,	95,	no

	91,	male,	singer,	O,	155,	81,	university,	680,	yes

	95,	female,	singer,	O,	165,	67,	doctor,	65,	yes

	28,	female,	teacher,	A,	150,	89,	senior high,	9600,	no

	36,	male,	student,	B,	174,	81,	doctor,	3300,	no

	21,	female,	scientest,	O,	199,	50,	doctor,	3400,	no

	95,	female,	teacher,	B,	196,	95,	university,	5300,	yes

	83,	male,	teacher,	A,	152,	53,	university,	710,	yes

	22,	third,	chef,	B,	143,	65,	master,	6500,	yes

	95,	male,	student,	B,	144,	49,	university,	700,	no

	27,	female,	neet,	B,	192,	90,	master,	66,	no

	97,	male,	engineer,	B,	144,	95,	master,	27,	yes

	75,	male,	neet,	A,	175,	87,	junior high,	410,	no

	74,	male,	scientest,	AB,	154,	55,	master,	5300,	yes

	98,	female,	chef,	A,	188,	69,	university,	580,	yes

	6,	third,	chef,	B,	149,	35,	doctor,	300,	yes

	71,	female,	engineer,	O,	158,	59,	master,	3400,	no

	6,	third,	salesman,	B,	195,	87,	senior high,	5700,	yes

	36,	female,	engineer,	AB,	194,	43,	senior high,	230,	yes

	85,	third,	student,	O,	164,	89,	primary,	700,	no

	99,	third,	teacher,	A,	156,	79,	senior high,	2300,	no

	26,	third,	singer,	B,	194,	75,	doctor,	31,	yes

	27,	male,	teacher,	A,	182,	63,	primary,	71,	yes

	8,	male,	teacher,	AB,	194,	50,	junior high,	57,	yes

	49,	male,	salesman,	O,	187,	41,	junior high,	820,	no

	15,	third,	student,	A,	178,	53,	primary,	1600,	yes

	27,	male,	engineer,	AB,	158,	78,	junior high,	40,	no

	25,	third,	chef,	AB,	198,	58,	primary,	95,	no

	53,	male,	salesman,	O,	190,	79,	university,	4400,	yes

	98,	third,	chef,	A,	184,	81,	senior high,	2700,	yes

	4,	female,	programmer,	AB,	157,	70,	doctor,	630,	no

	61,	female,	teacher,	O,	153,	82,	junior high,	8,	yes

	80,	male,	engineer,	A,	154,	68,	junior high,	100,	yes

	39,	third,	engineer,	A,	198,	46,	junior high,	900,	no

	92,	third,	programmer,	O,	186,	37,	university,	89,	yes

	37,	male,	engineer,	AB,	171,	46,	master,	200,	yes

	72,	third,	scientest,	AB,	188,	91,	junior high,	3900,	yes

	30,	male,	neet,	O,	164,	35,	university,	7100,	no

	27,	third,	salesman,	AB,	140,	70,	doctor,	7100,	yes

	89,	third,	salesman,	B,	189,	98,	university,	4900,	yes

	4,	male,	chef,	AB,	190,	90,	junior high,	150,	yes

	42,	male,	programmer,	AB,	190,	86,	university,	24,	no

	84,	male,	salesman,	AB,	140,	56,	master,	30,	no

	96,	male,	salesman,	AB,	145,	51,	university,	2100,	no

	25,	female,	student,	A,	166,	37,	primary,	210,	yes

	63,	third,	salesman,	AB,	184,	56,	doctor,	18,	no

	4,	female,	engineer,	AB,	172,	49,	senior high,	10,	no

	6,	male,	programmer,	A,	180,	99,	doctor,	8300,	yes

	94,	third,	singer,	O,	193,	50,	senior high,	32,	yes

	62,	male,	singer,	B,	140,	39,	master,	410,	no

	13,	male,	programmer,	A,	196,	96,	university,	17,	yes

	51,	male,	scientest,	AB,	190,	73,	master,	710,	yes

	48,	third,	student,	A,	153,	42,	junior high,	68,	no

	94,	female,	programmer,	AB,	197,	71,	university,	800,	yes

	35,	female,	student,	B,	149,	55,	senior high,	64,	no

	36,	female,	salesman,	O,	171,	66,	senior high,	3,	no

	27,	male,	engineer,	B,	163,	51,	junior high,	3500,	yes

	77,	female,	singer,	B,	143,	78,	primary,	9200,	yes

	62,	male,	chef,	AB,	149,	85,	senior high,	17,	no

	21,	male,	scientest,	AB,	183,	54,	university,	4600,	no

	93,	female,	engineer,	B,	146,	49,	university,	68,	no

	48,	male,	singer,	O,	193,	74,	junior high,	90,	yes

	12,	female,	programmer,	O,	176,	94,	master,	7800,	no

	53,	male,	teacher,	A,	167,	93,	university,	74,	no

	64,	third,	chef,	B,	152,	97,	doctor,	110,	yes

	76,	female,	teacher,	O,	180,	40,	doctor,	4600,	yes

	27,	female,	singer,	AB,	151,	63,	primary,	45,	no

	60,	male,	student,	B,	162,	94,	primary,	92,	no

	28,	male,	programmer,	B,	190,	93,	master,	6100,	yes

	45,	male,	chef,	AB,	174,	44,	senior high,	100,	yes

	25,	third,	engineer,	O,	191,	39,	primary,	5900,	no

	58,	third,	chef,	AB,	161,	72,	master,	92,	no

	62,	female,	teacher,	O,	159,	35,	senior high,	500,	yes

	83,	female,	scientest,	B,	160,	82,	doctor,	6800,	yes

	67,	female,	engineer,	B,	177,	69,	junior high,	8700,	no

	57,	female,	teacher,	A,	166,	91,	primary,	6500,	yes

	94,	third,	teacher,	A,	177,	48,	doctor,	58,	no

	83,	female,	chef,	AB,	163,	62,	primary,	890,	no

	22,	third,	salesman,	O,	164,	77,	university,	3,	no

	35,	female,	singer,	B,	156,	78,	senior high,	640,	no

	52,	male,	engineer,	A,	181,	96,	senior high,	90,	yes

	79,	female,	scientest,	O,	163,	79,	junior high,	180,	no

	40,	female,	chef,	A,	193,	81,	master,	530,	yes

	79,	third,	singer,	O,	194,	65,	junior high,	9600,	yes

	51,	male,	engineer,	B,	147,	59,	junior high,	9700,	no

	16,	male,	teacher,	A,	175,	84,	doctor,	8300,	yes

	52,	third,	teacher,	A,	167,	63,	university,	970,	no

	7,	third,	teacher,	A,	180,	78,	university,	520,	no

	17,	third,	programmer,	O,	194,	69,	junior high,	2300,	yes

	1,	male,	engineer,	A,	156,	62,	master,	10,	no

	55,	male,	chef,	AB,	159,	92,	primary,	8100,	no

	13,	male,	scientest,	A,	190,	95,	university,	1400,	no

	21,	male,	neet,	AB,	157,	99,	junior high,	9100,	no

	89,	third,	chef,	O,	159,	93,	university,	9400,	yes

	37,	male,	chef,	B,	166,	60,	junior high,	51,	yes

	55,	female,	singer,	AB,	198,	41,	primary,	18,	yes

	74,	male,	singer,	AB,	176,	94,	junior high,	10,	yes

	48,	male,	programmer,	A,	172,	47,	doctor,	4400,	yes

	37,	male,	engineer,	O,	154,	49,	doctor,	4200,	no

	4,	female,	neet,	AB,	165,	61,	master,	400,	yes

	42,	third,	teacher,	B,	178,	83,	primary,	220,	yes

	13,	male,	student,	B,	196,	78,	master,	47,	no

	20,	third,	chef,	AB,	179,	46,	junior high,	70,	no

	0,	female,	programmer,	AB,	199,	62,	primary,	7400,	yes

	89,	male,	salesman,	B,	146,	87,	senior high,	910,	no

	76,	male,	engineer,	AB,	141,	76,	doctor,	9900,	yes

	9,	female,	salesman,	O,	150,	79,	primary,	38,	yes

	45,	female,	teacher,	A,	144,	49,	university,	60,	yes

	40,	third,	engineer,	AB,	194,	85,	master,	1000,	yes

	65,	female,	salesman,	AB,	184,	39,	doctor,	58,	no

	54,	third,	scientest,	B,	194,	88,	university,	20,	no

	42,	female,	engineer,	O,	198,	94,	junior high,	420,	no

	84,	third,	chef,	AB,	145,	57,	senior high,	170,	yes

	65,	female,	scientest,	B,	188,	47,	master,	590,	yes

	0,	male,	salesman,	A,	168,	84,	junior high,	240,	yes

	57,	male,	singer,	A,	164,	82,	junior high,	600,	no

	35,	female,	scientest,	AB,	199,	91,	junior high,	42,	no

	6,	female,	engineer,	A,	167,	61,	junior high,	850,	yes

	21,	third,	salesman,	A,	196,	69,	junior high,	39,	yes

	66,	third,	programmer,	A,	155,	71,	master,	270,	yes

	40,	third,	student,	O,	199,	61,	primary,	79,	yes

	13,	third,	student,	O,	196,	51,	senior high,	60,	yes

	61,	male,	singer,	O,	158,	35,	junior high,	300,	yes

	9,	male,	chef,	AB,	146,	63,	primary,	20,	no

	77,	male,	programmer,	O,	142,	80,	doctor,	950,	yes

	50,	male,	teacher,	A,	186,	75,	doctor,	5800,	no

	21,	female,	student,	A,	163,	63,	senior high,	840,	yes

	70,	third,	teacher,	B,	140,	66,	primary,	500,	no

	80,	male,	engineer,	O,	197,	57,	master,	49,	yes

	45,	male,	programmer,	B,	178,	93,	senior high,	2200,	no

	59,	male,	teacher,	B,	164,	99,	master,	340,	no

	93,	female,	teacher,	O,	144,	47,	doctor,	73,	yes

	43,	female,	singer,	A,	140,	48,	primary,	160,	yes

	27,	male,	neet,	O,	141,	61,	doctor,	7300,	yes

	69,	female,	teacher,	A,	195,	47,	junior high,	96,	no

	6,	third,	programmer,	AB,	182,	82,	master,	1900,	yes

	97,	third,	singer,	B,	195,	85,	doctor,	8700,	no

	13,	male,	teacher,	AB,	143,	41,	primary,	620,	yes

	34,	third,	teacher,	B,	163,	40,	doctor,	62,	no

	47,	female,	singer,	AB,	164,	57,	junior high,	220,	yes

	35,	male,	scientest,	A,	185,	37,	senior high,	8700,	yes

	92,	male,	salesman,	AB,	150,	81,	senior high,	4700,	no

	66,	male,	programmer,	AB,	180,	57,	junior high,	9,	no

	47,	third,	scientest,	O,	144,	36,	master,	5600,	yes

	49,	female,	chef,	B,	173,	63,	senior high,	850,	yes

	97,	male,	chef,	A,	179,	61,	master,	10,	no

	69,	third,	salesman,	AB,	152,	36,	university,	110,	no

	77,	female,	salesman,	O,	144,	35,	junior high,	12,	no

	16,	male,	singer,	B,	199,	92,	primary,	4400,	no

	17,	third,	singer,	A,	169,	37,	doctor,	86,	yes

	45,	third,	teacher,	A,	171,	97,	primary,	410,	yes

	12,	male,	singer,	O,	189,	37,	senior high,	290,	yes

	32,	female,	singer,	B,	180,	61,	doctor,	9200,	yes

	31,	male,	chef,	A,	195,	54,	master,	78,	yes

	71,	male,	student,	O,	154,	82,	junior high,	80,	yes

	39,	male,	engineer,	O,	174,	96,	university,	5700,	yes

	10,	male,	singer,	A,	195,	98,	university,	1300,	yes

	93,	female,	student,	B,	167,	43,	junior high,	8700,	yes

	30,	female,	engineer,	A,	151,	94,	doctor,	230,	no

	48,	male,	student,	O,	164,	47,	senior high,	6700,	yes

	43,	female,	teacher,	A,	169,	73,	senior high,	480,	no

	72,	third,	teacher,	O,	141,	85,	master,	460,	yes

	75,	female,	singer,	AB,	194,	56,	university,	23,	no

	31,	male,	programmer,	O,	149,	45,	doctor,	5300,	no

	63,	male,	student,	B,	156,	47,	doctor,	980,	no

	52,	female,	salesman,	B,	161,	52,	university,	320,	no

	12,	female,	scientest,	AB,	157,	99,	university,	980,	no

	87,	male,	teacher,	AB,	156,	65,	university,	60,	yes

	61,	third,	teacher,	O,	154,	48,	senior high,	17,	yes

	40,	male,	chef,	A,	198,	91,	master,	5200,	yes

	16,	third,	chef,	A,	199,	96,	doctor,	370,	no

	21,	male,	neet,	B,	166,	99,	senior high,	460,	yes

	43,	male,	chef,	B,	191,	53,	university,	820,	yes

	39,	female,	programmer,	AB,	188,	57,	master,	16,	no

	39,	male,	scientest,	AB,	196,	37,	primary,	48,	yes

	93,	female,	scientest,	AB,	173,	82,	university,	7600,	yes

	97,	male,	teacher,	A,	195,	39,	junior high,	850,	no

	53,	female,	programmer,	A,	152,	55,	primary,	45,	no

	48,	female,	singer,	B,	155,	97,	senior high,	630,	no

	19,	female,	chef,	AB,	186,	92,	senior high,	94,	no

	11,	male,	neet,	AB,	188,	65,	primary,	700,	yes

	51,	male,	salesman,	AB,	171,	41,	junior high,	74,	no

	0,	third,	chef,	A,	165,	95,	junior high,	6800,	yes

	54,	male,	singer,	B,	167,	38,	master,	80,	no

	78,	female,	salesman,	AB,	157,	73,	doctor,	310,	yes

	52,	female,	scientest,	O,	187,	63,	master,	400,	no

	43,	male,	chef,	AB,	178,	38,	junior high,	60,	no

	47,	third,	scientest,	B,	157,	56,	master,	18,	no

	85,	third,	programmer,	AB,	198,	72,	junior high,	34,	yes

	0,	female,	scientest,	O,	167,	48,	master,	68,	no

	17,	female,	scientest,	B,	166,	85,	university,	1800,	yes

	27,	male,	teacher,	B,	186,	35,	master,	570,	yes

	39,	third,	teacher,	B,	197,	38,	junior high,	4700,	no

	24,	female,	engineer,	O,	166,	85,	university,	6200,	yes

	11,	female,	neet,	O,	180,	82,	doctor,	140,	no

	51,	female,	singer,	O,	181,	94,	junior high,	200,	yes

	79,	third,	chef,	AB,	181,	63,	university,	14,	yes

	66,	third,	chef,	O,	197,	68,	doctor,	830,	yes

	64,	third,	engineer,	AB,	199,	79,	doctor,	8200,	yes

	11,	female,	scientest,	O,	144,	91,	university,	79,	no

	6,	female,	scientest,	AB,	185,	77,	primary,	55,	yes

	82,	third,	student,	B,	197,	99,	junior high,	7400,	no

	5,	female,	chef,	AB,	157,	75,	master,	22,	yes

	50,	third,	teacher,	A,	164,	42,	master,	480,	no

	75,	third,	student,	B,	169,	94,	doctor,	6600,	no

	32,	third,	neet,	B,	178,	70,	primary,	12,	no

	90,	male,	chef,	AB,	154,	77,	senior high,	36,	yes

	2,	male,	teacher,	O,	177,	81,	senior high,	950,	yes

	53,	female,	student,	O,	142,	36,	primary,	500,	no

	41,	third,	chef,	B,	196,	86,	senior high,	700,	no

	8,	female,	engineer,	AB,	163,	56,	senior high,	5,	no

	73,	third,	programmer,	A,	157,	85,	doctor,	9100,	no

	70,	third,	scientest,	A,	145,	50,	master,	1000,	no

	78,	male,	programmer,	A,	181,	35,	doctor,	670,	no

	81,	male,	salesman,	O,	144,	44,	doctor,	660,	yes

	53,	female,	singer,	AB,	182,	64,	senior high,	80,	no

	35,	female,	salesman,	O,	191,	87,	senior high,	2500,	yes

	58,	male,	teacher,	O,	194,	53,	university,	270,	yes

	39,	male,	programmer,	B,	147,	48,	junior high,	60,	no

	75,	third,	engineer,	B,	170,	61,	university,	930,	no

	53,	male,	scientest,	O,	143,	86,	primary,	66,	yes

	49,	male,	neet,	AB,	160,	89,	primary,	29,	yes

	19,	female,	salesman,	B,	150,	83,	primary,	68,	no

	71,	female,	engineer,	B,	167,	45,	junior high,	3100,	no

	86,	female,	scientest,	AB,	180,	82,	primary,	870,	yes

	87,	male,	salesman,	O,	197,	76,	senior high,	730,	yes

	62,	female,	engineer,	O,	140,	83,	primary,	970,	yes

	85,	male,	salesman,	B,	163,	49,	doctor,	62,	no

	17,	third,	teacher,	B,	163,	62,	primary,	47,	no

	76,	female,	chef,	A,	187,	98,	senior high,	30,	no

	14,	female,	neet,	AB,	183,	76,	senior high,	340,	yes

	51,	male,	salesman,	B,	143,	73,	junior high,	530,	yes

	47,	male,	chef,	B,	158,	84,	university,	45,	yes

	56,	third,	programmer,	O,	179,	55,	senior high,	43,	no

	9,	third,	engineer,	O,	158,	88,	primary,	770,	no

	64,	male,	salesman,	O,	147,	89,	university,	5,	no

	55,	male,	salesman,	O,	146,	78,	university,	9,	no

	60,	female,	chef,	AB,	151,	97,	primary,	8200,	no

	34,	male,	engineer,	AB,	194,	57,	master,	99,	yes

	58,	male,	scientest,	O,	169,	58,	doctor,	9600,	yes

	20,	male,	scientest,	AB,	170,	89,	senior high,	99,	no

	85,	male,	student,	A,	163,	70,	senior high,	6400,	yes

	58,	third,	salesman,	AB,	176,	61,	junior high,	60,	yes

	67,	third,	programmer,	AB,	186,	46,	university,	1800,	no

	78,	male,	programmer,	O,	156,	81,	junior high,	2200,	yes

	32,	third,	chef,	A,	149,	97,	doctor,	31,	no

	12,	male,	student,	A,	175,	96,	senior high,	730,	no

	65,	male,	teacher,	A,	188,	89,	university,	700,	no

	42,	third,	chef,	A,	197,	79,	master,	70,	yes

	68,	third,	teacher,	O,	186,	36,	primary,	3600,	yes

	4,	female,	scientest,	A,	193,	49,	university,	9900,	yes

	20,	male,	student,	AB,	180,	49,	master,	790,	yes

	81,	male,	engineer,	A,	157,	71,	primary,	330,	yes

	97,	female,	teacher,	AB,	191,	97,	junior high,	1400,	no

	38,	female,	teacher,	O,	195,	76,	primary,	410,	no

	18,	female,	student,	A,	192,	57,	junior high,	560,	no

	75,	female,	salesman,	B,	158,	56,	junior high,	1200,	no

	42,	female,	teacher,	AB,	186,	74,	senior high,	4700,	yes

	73,	third,	neet,	O,	156,	43,	doctor,	7700,	no

	55,	male,	salesman,	B,	144,	41,	junior high,	540,	yes

	91,	female,	chef,	A,	172,	94,	junior high,	410,	yes

	99,	male,	teacher,	AB,	190,	49,	primary,	490,	no

	93,	female,	neet,	AB,	155,	43,	primary,	10000,	no

	80,	third,	singer,	O,	197,	83,	primary,	920,	no

	85,	third,	programmer,	O,	184,	87,	university,	510,	yes

