Age,Gender,Occupations,Blood group,Height,Weight,Education,Choosed
37,male,engineer,AB,171,84,senior high,no
1,male,scientest,AB,191,93,university,no
56,female,neet,AB,187,66,master,no
0,male,student,AB,184,68,university,no
65,third,engineer,A,189,70,primary,no
70,third,programmer,B,162,49,university,no
77,third,singer,A,142,65,primary,no
18,male,singer,AB,167,43,junior high,no
48,female,programmer,AB,182,76,master,yes
19,female,engineer,O,168,79,master,yes
86,male,engineer,AB,191,79,senior high,no
35,male,neet,B,164,65,master,no
82,male,student,A,165,46,university,no
49,male,neet,B,187,89,doctor,no
38,female,chef,B,179,99,senior high,yes
75,third,singer,AB,185,85,primary,no
88,male,chef,A,162,83,university,no
14,female,student,B,191,89,master,no
11,female,programmer,B,162,81,master,no
24,female,programmer,A,156,62,senior high,no
42,third,teacher,B,190,98,senior high,no
46,male,engineer,B,153,75,university,no
82,third,singer,O,172,81,university,no
52,female,scientest,O,151,35,university,no
21,male,singer,O,155,83,university,yes
67,male,neet,B,194,36,primary,no
61,female,teacher,AB,153,78,master,no
74,third,student,AB,161,62,primary,no
43,female,salesman,A,174,91,master,no
26,third,chef,A,156,90,senior high,yes
18,male,teacher,AB,145,59,doctor,no
63,male,salesman,B,198,54,master,no
33,male,neet,AB,176,78,university,no
40,male,scientest,AB,169,81,university,no
67,third,salesman,O,169,51,primary,no
19,female,student,AB,145,42,primary,no
74,female,singer,A,161,86,university,no
13,female,neet,AB,143,73,senior high,no
67,third,scientest,A,145,86,senior high,no
60,male,chef,B,144,62,junior high,no
28,female,chef,O,193,96,university,yes
49,male,student,AB,160,95,junior high,no
48,third,salesman,A,149,83,primary,no
87,male,neet,O,151,99,junior high,no
17,male,neet,AB,151,43,senior high,no
87,male,teacher,B,154,80,doctor,no
31,female,student,O,196,90,primary,yes
44,male,singer,AB,166,43,senior high,no
15,male,student,B,140,58,primary,no
29,male,singer,AB,143,45,doctor,no
7,female,scientest,O,144,49,senior high,no
58,male,salesman,A,162,87,master,no
44,third,scientest,O,174,54,primary,no
82,third,engineer,A,199,96,doctor,no
22,male,neet,O,196,46,junior high,yes
44,female,neet,O,185,64,master,no
21,male,teacher,A,170,91,master,no
55,female,scientest,A,144,88,primary,no
61,third,student,O,186,76,senior high,no
13,third,singer,O,165,44,master,no
3,third,student,A,178,52,primary,no
29,third,salesman,B,198,71,senior high,no
19,female,neet,B,177,89,junior high,no
99,third,teacher,AB,181,80,university,no
52,female,singer,A,199,43,master,no
56,female,salesman,A,154,42,senior high,no
50,male,engineer,AB,172,55,doctor,yes
2,male,salesman,B,167,40,primary,no
20,female,chef,O,188,88,senior high,yes
19,female,scientest,A,164,88,university,no
70,male,chef,A,168,37,primary,no
19,male,engineer,O,192,49,primary,yes
16,male,engineer,A,159,57,primary,no
3,third,engineer,A,161,35,doctor,no
34,third,neet,B,169,83,university,no
92,male,chef,B,194,40,doctor,no
76,female,chef,A,189,64,junior high,no
89,third,student,A,190,60,junior high,no
26,male,teacher,A,145,96,primary,no
95,third,singer,B,197,73,junior high,no
25,third,scientest,AB,172,69,doctor,yes
47,male,scientest,A,196,58,doctor,yes
75,third,scientest,AB,174,74,university,no
76,third,singer,AB,170,43,primary,no
50,male,engineer,O,143,73,senior high,no
48,male,salesman,B,162,95,master,no
34,female,salesman,A,185,43,doctor,no
74,male,salesman,AB,161,90,senior high,no
71,third,scientest,A,162,93,master,no
74,female,student,AB,159,97,master,no
28,third,student,B,184,53,senior high,no
91,female,neet,AB,186,40,primary,no
32,male,engineer,B,183,54,university,no
0,third,engineer,AB,150,42,master,no
76,male,chef,O,174,61,junior high,no
82,female,student,AB,158,93,doctor,no
38,third,engineer,AB,163,81,senior high,no
18,female,neet,B,189,59,university,no
48,male,chef,B,185,38,senior high,yes
18,male,chef,O,191,88,primary,yes
29,female,engineer,O,199,60,master,yes
19,male,singer,AB,173,77,master,no
91,female,singer,AB,142,89,primary,no
84,third,singer,AB,147,63,master,no
95,male,scientest,A,141,53,senior high,no
55,male,neet,AB,185,85,doctor,no
32,third,neet,O,161,82,senior high,yes
54,male,scientest,O,184,91,master,no
79,female,chef,B,143,84,junior high,no
87,male,teacher,AB,151,69,junior high,no
70,female,neet,O,152,82,junior high,no
71,male,scientest,B,156,66,junior high,no
74,third,neet,AB,142,59,junior high,no
13,female,neet,AB,195,65,primary,no
19,female,neet,A,194,89,senior high,no
48,third,singer,O,191,88,senior high,no
56,third,engineer,AB,159,49,master,no
65,third,singer,A,153,41,primary,no
91,male,neet,AB,163,36,primary,no
1,third,teacher,B,170,70,junior high,no
92,third,student,A,198,98,master,no
63,female,neet,A,170,45,junior high,no
22,male,chef,B,146,93,university,yes
90,third,programmer,O,199,72,junior high,no
76,third,salesman,A,153,58,university,no
40,male,engineer,O,180,45,senior high,yes
6,male,teacher,O,188,63,university,no
57,third,engineer,O,191,88,junior high,no
86,male,engineer,B,175,45,doctor,no
9,third,teacher,O,186,85,master,no
97,male,neet,A,158,68,master,no
0,third,programmer,A,189,76,master,no
22,female,engineer,A,177,79,doctor,yes
59,third,student,AB,188,48,doctor,no
51,female,teacher,O,199,64,master,no
66,female,student,A,166,49,primary,no
9,third,programmer,A,145,58,doctor,no
83,male,neet,O,174,67,senior high,no
7,third,salesman,O,160,83,master,no
21,third,programmer,B,164,86,master,no
71,male,student,O,156,55,junior high,no
22,male,chef,AB,199,93,senior high,yes
67,female,neet,A,194,95,senior high,no
72,female,programmer,B,146,61,master,no
77,third,salesman,O,164,35,master,no
23,third,neet,AB,147,78,senior high,no
34,third,singer,AB,170,48,primary,no
2,female,engineer,B,163,99,primary,no
81,male,teacher,AB,168,35,senior high,no
22,third,chef,B,156,39,master,yes
15,third,teacher,B,162,97,primary,no
6,male,salesman,B,154,89,university,no
65,female,scientest,B,161,91,primary,no
5,female,neet,A,167,63,doctor,no
30,third,neet,AB,147,96,master,no
91,male,singer,AB,190,98,doctor,no
73,male,scientest,A,161,80,master,no
34,male,neet,AB,182,58,primary,no
47,male,engineer,B,158,87,primary,no
88,female,salesman,AB,153,98,senior high,no
57,female,salesman,B,168,64,master,no
69,male,salesman,AB,165,45,master,no
73,male,engineer,B,170,59,doctor,no
93,third,neet,B,180,70,master,no
87,third,neet,B,188,47,doctor,no
21,female,salesman,O,146,93,doctor,yes
0,female,scientest,AB,177,42,master,no
7,female,salesman,A,142,42,master,no
75,male,salesman,AB,191,69,doctor,no
83,female,salesman,AB,199,36,master,no
38,third,scientest,A,191,37,master,yes
71,male,student,A,142,82,junior high,no
5,male,scientest,B,188,82,junior high,no
53,third,engineer,B,184,91,junior high,no
68,female,student,B,184,51,master,no
47,third,salesman,AB,190,70,university,no
58,male,singer,A,153,66,doctor,no
17,male,salesman,O,156,62,master,yes
35,third,neet,O,164,75,master,yes
73,male,programmer,AB,193,80,junior high,no
80,third,programmer,AB,195,74,master,no
23,third,student,O,192,63,doctor,yes
57,female,teacher,AB,161,53,university,no
68,male,scientest,AB,165,57,university,no
35,male,salesman,O,153,56,doctor,yes
28,female,student,B,156,38,junior high,no
38,third,neet,B,162,89,junior high,no
53,third,chef,AB,181,87,doctor,no
33,third,engineer,B,180,55,university,no
55,female,chef,B,154,51,doctor,no
14,third,programmer,O,187,69,junior high,no
65,male,student,A,150,73,doctor,no
32,female,teacher,B,144,85,primary,no
54,male,engineer,A,162,58,primary,no
91,third,neet,A,192,71,doctor,no
80,third,engineer,O,184,67,master,no
88,third,chef,AB,142,75,junior high,no
32,third,scientest,A,163,78,doctor,yes
4,male,student,A,153,97,senior high,no
91,female,teacher,O,159,87,senior high,no
13,male,programmer,AB,174,52,primary,no
43,third,programmer,O,151,87,primary,no
10,third,neet,B,180,68,master,no
76,female,engineer,O,153,96,senior high,no
28,female,engineer,B,188,50,senior high,no
76,third,salesman,A,158,65,senior high,no
66,male,neet,B,150,93,primary,no
67,female,programmer,A,151,92,senior high,no
37,third,student,A,169,38,doctor,no
51,third,teacher,A,160,53,primary,no
52,female,chef,B,190,58,junior high,no
82,female,teacher,B,185,76,doctor,no
51,female,chef,AB,172,97,doctor,no
34,male,neet,O,152,86,junior high,yes
6,male,chef,AB,173,41,senior high,no
51,third,neet,A,173,94,senior high,no
64,third,singer,AB,198,48,senior high,no
94,male,teacher,O,188,91,doctor,no
44,third,scientest,B,153,84,doctor,yes
26,third,engineer,A,162,36,senior high,no
56,male,singer,AB,152,94,university,no
61,male,teacher,A,171,83,master,no
0,male,salesman,B,194,36,primary,no
72,third,teacher,AB,168,57,senior high,no
60,male,neet,B,169,78,university,no
77,female,chef,AB,141,85,doctor,no
86,female,chef,O,177,35,doctor,no
16,female,singer,A,161,98,junior high,no
0,female,teacher,O,170,97,primary,no
9,male,programmer,O,172,90,doctor,no
3,female,neet,O,150,90,junior high,no
37,female,engineer,AB,198,82,senior high,no
8,third,programmer,O,152,96,junior high,no
1,female,student,AB,144,65,primary,no
14,female,chef,B,175,81,doctor,no
21,third,neet,O,174,75,junior high,yes
96,third,neet,AB,191,76,senior high,no
97,male,engineer,AB,144,47,master,no
62,female,salesman,O,142,35,master,no
35,third,scientest,AB,174,85,master,yes
91,third,engineer,O,199,54,senior high,no
90,third,student,A,177,54,doctor,no
95,male,neet,B,172,78,senior high,no
24,third,scientest,AB,148,98,senior high,no
6,male,engineer,AB,140,53,doctor,no
80,female,student,B,146,87,senior high,no
48,female,neet,B,162,99,senior high,no
63,female,engineer,A,151,43,university,no
44,female,scientest,AB,145,92,senior high,no
45,male,scientest,O,147,92,doctor,yes
57,male,singer,AB,140,91,primary,no
33,third,teacher,AB,192,75,master,no
60,male,chef,B,194,67,doctor,no
88,third,singer,AB,184,85,master,no
69,female,singer,B,185,64,university,no
43,female,student,B,191,78,senior high,no
47,male,chef,B,176,71,university,yes
12,third,scientest,AB,190,43,university,no
61,female,engineer,O,178,79,university,no
29,female,student,O,197,75,senior high,yes
36,male,salesman,AB,159,50,university,no
14,male,scientest,AB,179,48,junior high,no
94,male,student,AB,147,66,senior high,no
33,third,teacher,AB,188,53,university,no
5,male,student,B,153,73,university,no
53,third,student,B,171,99,primary,no
14,male,programmer,AB,175,82,junior high,no
84,female,singer,B,183,51,master,no
8,female,salesman,O,165,93,university,no
82,male,salesman,AB,180,54,senior high,no
14,third,chef,O,157,44,primary,no
3,female,salesman,AB,153,54,primary,no
35,third,chef,O,154,37,junior high,yes
33,third,student,B,166,40,junior high,no
65,female,engineer,A,166,37,primary,no
21,female,student,B,188,86,master,no
18,female,teacher,B,193,62,senior high,no
24,third,salesman,AB,195,70,senior high,no
71,male,scientest,B,161,73,master,no
17,female,programmer,A,184,89,doctor,no
50,third,singer,O,188,98,junior high,no
58,female,scientest,A,160,40,primary,no
64,female,student,AB,149,75,senior high,no
50,third,student,B,177,47,junior high,no
11,female,chef,A,177,91,university,no
36,female,salesman,AB,169,63,senior high,no
29,third,salesman,A,179,38,doctor,no
83,third,chef,AB,173,80,primary,no
32,male,neet,O,159,80,doctor,yes
26,third,singer,B,159,94,primary,no
93,male,chef,A,198,87,master,no
89,female,programmer,AB,172,84,primary,no
88,male,singer,O,190,84,master,no
19,third,scientest,O,181,83,university,yes
90,third,salesman,O,142,72,junior high,no
0,female,student,AB,163,51,university,no
28,male,programmer,O,183,64,senior high,yes
13,third,teacher,O,185,57,doctor,no
36,female,teacher,A,176,79,primary,no
73,third,chef,B,180,98,junior high,no
87,third,neet,O,145,82,doctor,no
66,female,teacher,B,159,98,doctor,no
92,female,chef,A,154,77,university,no
59,female,salesman,AB,174,47,doctor,no
80,male,neet,O,185,47,primary,no
38,third,salesman,O,141,83,master,yes
75,female,programmer,O,169,36,primary,no
12,male,student,B,182,80,master,no
82,female,programmer,O,144,88,doctor,no
94,third,chef,B,198,83,university,no
45,third,singer,O,142,86,university,no
67,female,programmer,B,150,51,master,no
68,third,teacher,AB,164,79,senior high,no
39,male,student,B,144,99,primary,no
85,male,engineer,A,187,62,doctor,no
17,third,teacher,O,191,75,primary,yes
77,female,chef,O,168,84,primary,no
12,male,neet,A,176,89,junior high,no
54,male,scientest,B,162,54,primary,no
47,male,student,AB,172,98,primary,no
89,male,neet,B,173,52,senior high,no
32,third,salesman,A,185,59,primary,no
2,female,programmer,A,171,75,junior high,no
72,female,chef,A,169,76,junior high,no
93,third,scientest,B,192,61,doctor,no
94,female,singer,B,151,64,senior high,no
94,female,chef,O,173,41,doctor,no
33,female,salesman,A,158,84,doctor,no
64,female,student,AB,148,76,master,no
61,female,scientest,A,167,61,master,no
42,third,teacher,B,171,91,university,no
79,female,engineer,AB,147,51,university,no
32,male,scientest,B,194,50,doctor,yes
57,third,neet,AB,199,68,university,no
67,third,engineer,A,146,71,senior high,no
80,third,engineer,B,190,99,master,no
12,female,neet,AB,193,67,master,no
37,third,programmer,O,151,66,primary,yes
75,female,singer,B,180,68,master,no
24,third,programmer,A,187,49,primary,no
96,third,neet,A,165,50,doctor,no
34,female,teacher,B,175,70,university,no
94,third,salesman,AB,179,81,junior high,no
82,third,scientest,AB,187,91,primary,no
33,male,scientest,B,140,83,junior high,no
39,female,singer,B,190,72,master,no
12,female,chef,B,163,59,university,no
21,male,singer,O,178,96,university,yes
72,third,teacher,AB,174,51,master,no
53,female,teacher,O,140,40,university,no
0,third,salesman,B,177,67,senior high,no
11,male,student,A,147,71,doctor,no
51,female,engineer,B,148,98,doctor,no
25,male,engineer,AB,162,91,master,yes
3,female,neet,O,167,68,university,no
44,third,neet,B,198,95,doctor,no
90,male,salesman,AB,198,35,master,no
28,female,singer,O,155,41,doctor,yes
35,third,chef,O,145,93,primary,yes
45,female,engineer,A,158,56,doctor,yes
71,male,chef,A,180,42,senior high,no
77,female,neet,AB,158,79,doctor,no
33,male,salesman,A,167,35,junior high,no
89,third,student,O,182,77,senior high,no
69,male,programmer,A,167,47,primary,no
51,female,chef,A,150,84,senior high,no
41,male,neet,O,181,83,master,no
2,male,student,A,147,44,junior high,no
19,male,programmer,B,153,70,doctor,no
82,male,engineer,AB,154,48,junior high,no
47,male,scientest,O,145,72,doctor,yes
66,female,singer,A,142,96,university,no
45,female,student,AB,179,96,senior high,no
37,male,engineer,B,199,82,junior high,no
44,female,engineer,A,167,82,senior high,no
43,female,engineer,A,152,64,doctor,yes
56,female,scientest,A,191,81,university,no
0,female,scientest,B,197,88,senior high,no
77,third,salesman,AB,154,95,master,no
99,third,singer,O,147,78,senior high,no
33,male,engineer,AB,147,64,junior high,no
6,female,chef,O,153,50,senior high,no
99,female,neet,B,152,88,primary,no
37,third,engineer,AB,183,81,primary,no
3,third,salesman,AB,194,53,senior high,no
45,male,student,O,193,65,university,no
97,male,singer,AB,183,82,doctor,no
83,male,singer,AB,158,63,primary,no
87,third,singer,A,180,80,master,no
37,female,salesman,O,151,43,primary,yes
21,female,neet,B,184,42,doctor,no
39,third,singer,O,156,75,junior high,yes
67,male,student,A,142,36,master,no
11,male,neet,B,182,35,primary,yes
63,female,programmer,B,187,82,master,no
56,female,teacher,AB,146,71,university,no
10,third,salesman,O,177,71,master,no
27,male,salesman,B,148,54,primary,no
47,third,scientest,O,158,41,senior high,no
88,third,engineer,O,159,79,primary,no
16,female,teacher,AB,154,60,master,no
17,female,teacher,B,199,98,doctor,no
55,female,chef,AB,151,40,doctor,no
16,male,scientest,AB,171,42,doctor,no
38,female,student,A,154,99,doctor,no
53,third,engineer,AB,182,47,doctor,no
68,male,student,AB,174,90,university,no
67,female,neet,O,194,52,primary,no
8,third,singer,AB,172,52,primary,no
33,male,programmer,B,152,78,master,yes
32,male,salesman,A,189,99,master,no
90,third,chef,O,168,81,senior high,no
9,male,neet,A,155,36,doctor,yes
87,female,programmer,O,154,89,junior high,no
55,third,chef,O,186,48,university,no
34,third,teacher,AB,163,52,university,no
0,female,scientest,A,150,52,primary,no
69,female,engineer,AB,184,85,junior high,no
16,female,teacher,B,174,73,master,no
18,third,salesman,B,167,54,primary,no
54,male,student,A,156,64,junior high,no
34,third,programmer,A,172,40,master,yes
47,male,salesman,B,169,88,university,no
15,third,teacher,AB,159,46,primary,no
33,female,singer,O,188,76,university,yes
70,male,engineer,O,184,68,doctor,no
71,female,singer,B,190,77,master,no
12,female,salesman,A,190,45,primary,yes
9,third,singer,B,180,69,senior high,no
98,female,singer,AB,170,61,senior high,no
47,third,salesman,AB,199,79,junior high,no
39,male,salesman,O,173,42,primary,yes
81,male,salesman,A,156,64,primary,no
55,third,scientest,O,175,58,master,no
53,female,programmer,B,159,85,university,no
28,female,engineer,A,153,67,senior high,no
93,third,chef,O,199,99,junior high,no
30,male,chef,B,155,74,junior high,yes
87,male,salesman,A,141,95,university,no
32,third,teacher,O,187,78,master,yes
33,male,neet,O,189,38,junior high,yes
65,third,scientest,B,195,40,master,no
6,female,student,O,167,66,master,no
31,female,salesman,B,168,41,primary,no
74,male,singer,B,171,49,junior high,no
46,female,singer,O,186,88,primary,no
88,male,scientest,B,149,57,master,no
17,female,student,O,191,41,primary,yes
76,third,scientest,B,159,39,primary,no
94,male,engineer,A,184,51,master,no
36,female,singer,A,174,98,doctor,no
56,third,singer,O,144,88,university,no
25,female,engineer,A,199,69,primary,no
9,male,salesman,O,160,56,doctor,no
65,third,neet,B,167,96,doctor,no
9,male,programmer,B,174,41,master,yes
36,female,neet,AB,177,73,master,no
54,male,programmer,O,142,97,doctor,no
87,male,engineer,AB,191,97,junior high,no
5,male,programmer,AB,152,67,junior high,no
30,male,student,B,195,58,master,no
8,third,chef,AB,147,58,master,no
1,third,neet,B,184,82,senior high,no
25,third,chef,O,185,84,junior high,yes
47,female,teacher,A,143,37,doctor,no
72,third,chef,AB,155,75,university,no
44,female,programmer,O,175,88,junior high,no
89,third,programmer,AB,182,38,primary,no
82,male,engineer,O,180,88,master,no
69,male,programmer,O,175,39,master,no
2,male,teacher,O,172,57,senior high,no
26,male,student,O,149,51,junior high,yes
97,third,salesman,AB,163,60,junior high,no
49,female,scientest,AB,178,78,doctor,yes
31,third,engineer,AB,187,98,junior high,no
46,male,teacher,A,167,90,primary,no
19,female,engineer,B,180,66,junior high,no
18,female,engineer,O,143,40,doctor,yes
28,male,chef,AB,150,94,master,yes
48,third,salesman,AB,165,65,senior high,no
30,third,singer,O,167,51,senior high,yes
6,third,chef,O,179,52,university,no
39,third,salesman,AB,152,87,master,no
47,male,scientest,O,154,57,doctor,yes
23,male,student,AB,172,82,junior high,no
24,female,chef,O,164,97,doctor,yes
79,third,engineer,O,170,91,primary,no
68,third,student,A,198,57,senior high,no
7,male,teacher,AB,149,96,master,no
13,female,scientest,O,186,73,master,no
44,female,student,AB,170,84,doctor,no
28,female,programmer,A,144,95,senior high,no
11,female,engineer,A,141,75,master,no
88,female,salesman,B,158,72,junior high,no
11,female,neet,AB,142,76,university,no
88,female,chef,A,195,41,university,no
41,female,singer,A,172,94,primary,no
73,female,scientest,AB,192,69,senior high,no
78,third,singer,A,166,49,junior high,no
4,male,neet,B,159,78,doctor,no
43,female,teacher,O,141,39,junior high,no
53,third,teacher,O,145,88,senior high,no
3,male,singer,O,179,45,primary,no
6,male,salesman,A,183,54,university,no
68,male,singer,B,174,88,senior high,no
7,female,programmer,O,177,52,doctor,no
67,female,neet,A,175,76,doctor,no
36,third,student,AB,187,55,master,no
72,male,singer,AB,146,80,primary,no
6,female,salesman,AB,169,43,junior high,no
74,male,engineer,B,183,35,primary,no
95,third,salesman,AB,162,37,master,no
36,male,student,O,163,74,junior high,yes
41,male,engineer,O,178,70,master,yes
69,third,singer,B,189,59,university,no
25,third,salesman,AB,177,41,doctor,no
27,male,student,B,150,81,senior high,no
46,third,programmer,AB,177,42,university,no
93,third,student,B,186,56,junior high,no
20,third,programmer,O,148,39,senior high,yes
56,third,neet,A,184,86,master,no
2,female,teacher,A,154,72,university,no
29,male,chef,O,184,45,doctor,yes
7,third,chef,AB,146,45,senior high,no
13,male,salesman,AB,185,70,primary,no
65,female,teacher,A,197,66,university,no
6,third,engineer,B,142,94,primary,no
28,third,singer,AB,174,66,master,no
72,third,salesman,A,190,94,master,no
68,female,chef,O,196,83,university,no
58,male,student,O,161,53,master,no
26,third,scientest,AB,198,60,university,no
1,male,salesman,B,155,82,doctor,no
24,third,singer,A,195,52,master,no
42,female,chef,AB,164,63,university,yes
73,third,salesman,B,166,41,master,no
49,third,singer,O,170,98,doctor,no
37,male,singer,A,160,54,junior high,no
28,female,student,O,161,92,senior high,yes
31,male,engineer,AB,198,49,doctor,yes
45,female,engineer,AB,196,64,senior high,no
70,third,programmer,O,146,40,senior high,no
27,female,programmer,A,168,39,senior high,no
50,third,engineer,A,183,82,doctor,yes
44,male,scientest,A,153,89,master,yes
70,male,neet,O,164,65,doctor,no
50,male,neet,AB,189,73,junior high,no
76,female,scientest,B,148,94,doctor,no
6,female,student,A,186,55,senior high,no
51,third,engineer,B,192,90,junior high,no
47,male,chef,O,175,85,doctor,yes
52,third,engineer,O,186,40,doctor,no
60,third,chef,AB,152,69,university,no
45,male,salesman,A,141,43,junior high,no
26,third,chef,AB,169,92,senior high,yes
53,third,singer,A,196,91,senior high,no
3,female,chef,O,185,36,university,no
92,third,chef,O,163,50,junior high,no
34,female,chef,B,168,74,doctor,yes
81,male,singer,B,192,81,university,no
41,male,salesman,A,195,56,doctor,no
41,male,chef,AB,169,68,junior high,yes
96,female,neet,B,181,52,master,no
13,third,salesman,A,151,75,master,no
34,female,student,O,190,94,junior high,yes
94,female,chef,A,154,79,university,no
7,female,neet,AB,144,58,master,no
44,third,singer,B,164,54,junior high,no
6,female,teacher,AB,152,68,university,no
86,female,salesman,AB,175,48,primary,no
37,male,singer,A,168,77,master,no
94,male,student,B,153,86,junior high,no
80,male,programmer,AB,198,47,junior high,no
96,third,student,A,169,61,senior high,no
55,third,teacher,A,152,74,junior high,no
93,male,scientest,O,160,89,doctor,no
70,male,scientest,AB,183,65,junior high,no
75,female,engineer,A,157,47,doctor,no
98,male,programmer,B,181,36,doctor,no
20,third,singer,B,195,76,primary,no
22,third,neet,O,179,61,university,yes
51,female,chef,O,163,90,doctor,no
1,female,chef,O,180,71,university,no
73,female,teacher,A,160,51,junior high,no
0,female,salesman,O,153,79,university,no
57,female,student,B,167,86,senior high,no
17,female,scientest,O,186,82,junior high,yes
78,female,programmer,O,172,36,doctor,no
8,male,scientest,O,177,59,senior high,no
87,male,neet,AB,155,63,junior high,no
70,third,neet,A,167,73,junior high,no
48,female,student,O,149,62,junior high,no
9,third,salesman,B,198,86,doctor,no
14,male,salesman,A,159,63,university,no
15,female,neet,AB,166,74,junior high,no
29,third,programmer,AB,145,94,senior high,no
42,third,singer,B,193,87,doctor,no
47,female,neet,A,144,73,university,no
36,third,programmer,O,163,55,primary,yes
38,third,salesman,AB,176,81,master,no
86,male,salesman,O,186,96,doctor,no
76,male,scientest,AB,156,71,junior high,no
14,female,teacher,O,179,88,doctor,no
18,male,chef,A,194,59,primary,yes
82,female,neet,AB,164,95,senior high,no
42,female,programmer,B,156,96,university,no
29,male,engineer,B,156,55,junior high,no
96,third,singer,AB,153,57,doctor,no
66,third,neet,AB,155,41,primary,no
0,male,programmer,O,180,48,senior high,no
45,third,chef,B,152,66,junior high,yes
76,third,singer,AB,156,54,university,no
60,male,teacher,B,196,55,university,no
62,female,scientest,AB,191,72,university,no
92,third,chef,O,197,59,doctor,no
20,male,neet,O,156,72,university,yes
33,third,teacher,B,165,61,senior high,no
75,third,salesman,B,140,95,primary,no
84,third,scientest,O,144,40,doctor,no
62,third,salesman,B,199,40,primary,no
30,third,programmer,A,170,61,university,no
80,female,neet,AB,175,62,junior high,no
69,male,chef,AB,174,72,university,no
60,third,teacher,A,154,41,primary,no
68,female,scientest,B,163,53,primary,no
63,female,salesman,B,197,97,junior high,no
9,male,chef,O,176,69,master,no
67,male,chef,A,159,61,junior high,no
51,female,programmer,B,199,45,university,no
13,female,neet,AB,153,40,senior high,yes
13,female,teacher,AB,177,42,junior high,yes
73,female,student,O,149,50,master,no
59,male,student,B,155,45,senior high,no
65,female,neet,B,191,96,doctor,no
10,female,chef,O,157,65,primary,no
0,female,teacher,AB,144,47,primary,no
78,third,engineer,AB,140,71,master,no
38,third,scientest,A,169,68,master,yes
92,third,neet,AB,140,63,primary,no
7,male,chef,A,198,89,senior high,no
70,male,chef,AB,157,51,senior high,no
61,third,chef,B,180,76,master,no
72,third,neet,B,155,94,senior high,no
7,male,student,O,179,94,junior high,no
8,third,programmer,O,157,47,senior high,no
67,male,programmer,B,168,37,junior high,no
32,male,neet,B,163,43,university,no
34,male,chef,A,196,73,primary,yes
25,male,chef,A,170,67,junior high,yes
25,male,student,A,146,66,primary,no
96,third,engineer,AB,146,38,primary,no
50,male,programmer,O,181,75,junior high,no
33,female,scientest,O,175,92,primary,yes
88,third,scientest,B,151,36,primary,no
68,male,salesman,O,157,50,doctor,no
65,third,engineer,AB,163,56,doctor,no
47,female,programmer,AB,159,43,university,no
29,male,student,O,146,76,primary,yes
51,male,programmer,B,167,88,primary,no
75,female,salesman,O,142,73,junior high,no
25,male,singer,A,176,66,senior high,no
82,male,scientest,AB,169,43,junior high,no
33,female,singer,O,179,79,primary,yes
53,female,neet,O,163,49,junior high,no
5,female,teacher,O,177,57,doctor,no
1,third,engineer,O,156,36,senior high,no
76,third,student,B,199,47,master,no
46,male,salesman,O,152,73,senior high,no
50,female,neet,AB,169,46,university,no
51,male,programmer,A,188,75,university,no
64,third,neet,AB,140,90,senior high,no
34,third,singer,B,166,95,senior high,no
6,third,singer,O,144,39,doctor,no
62,male,engineer,B,171,82,junior high,no
11,third,teacher,O,172,52,primary,no
44,male,programmer,A,194,46,university,no
11,male,teacher,O,162,49,master,yes
27,female,student,O,154,49,university,yes
64,female,salesman,O,161,35,junior high,no
10,male,teacher,B,172,55,primary,no
2,male,scientest,O,144,88,primary,no
76,third,student,O,153,43,master,no
24,third,singer,B,167,73,senior high,no
58,female,student,B,185,93,primary,no
58,third,programmer,AB,176,88,university,no
30,third,programmer,O,142,66,master,yes
86,third,neet,AB,166,81,senior high,no
84,male,student,A,177,54,senior high,no
64,third,neet,A,179,55,junior high,no
76,male,singer,O,145,51,senior high,no
87,male,scientest,A,143,38,junior high,no
74,female,chef,A,185,94,university,no
61,female,programmer,B,141,82,university,no
9,third,teacher,AB,145,60,university,no
36,third,engineer,AB,148,37,university,no
28,third,singer,A,169,61,primary,no
30,third,chef,A,177,89,senior high,yes
12,male,engineer,B,147,86,university,no
96,third,teacher,A,145,58,university,no
88,male,singer,B,174,39,junior high,no
73,male,student,AB,163,88,primary,no
61,female,teacher,B,144,86,master,no
7,female,chef,AB,177,68,master,no
58,female,engineer,A,143,64,master,no
72,third,salesman,AB,159,98,doctor,no
44,male,programmer,AB,195,61,senior high,no
89,female,programmer,A,169,44,master,no
35,third,programmer,AB,186,51,university,no
4,third,programmer,B,173,71,junior high,no
78,female,chef,A,189,60,master,no
80,third,teacher,AB,175,39,senior high,no
7,male,teacher,O,193,66,junior high,no
29,male,programmer,AB,144,52,doctor,yes
4,male,scientest,AB,171,99,senior high,no
92,male,neet,A,140,39,university,no
30,third,student,A,182,89,master,no
41,female,scientest,AB,192,50,doctor,yes
28,male,salesman,A,197,85,university,no
66,male,programmer,B,148,85,doctor,no
82,male,salesman,AB,175,37,senior high,no
73,male,salesman,A,185,51,primary,no
53,third,salesman,B,179,71,doctor,no
20,male,engineer,B,188,37,university,no
51,male,chef,AB,187,86,primary,no
23,male,salesman,AB,170,57,junior high,no
65,female,programmer,O,163,72,master,no
45,male,student,O,146,89,junior high,no
35,male,salesman,AB,177,61,university,no
41,third,salesman,AB,181,77,senior high,no
67,third,engineer,B,177,54,university,no
18,female,teacher,AB,181,39,primary,no
9,third,salesman,B,185,64,junior high,no
70,male,chef,AB,177,62,junior high,no
39,male,neet,A,140,49,university,no
