Age,Gender,Occupations,Blood group,Education,Choosed
33,male,scientest,AB,doctor,yes
42,female,programmer,AB,university,no
69,third,singer,A,university,no
22,male,programmer,A,university,no
73,female,student,AB,master,no
32,male,chef,A,senior high,yes
33,third,engineer,A,primary,no
82,third,neet,O,senior high,no
90,third,student,O,senior high,no
72,male,engineer,O,senior high,no
8,third,salesman,AB,junior high,no
65,female,chef,B,university,no
98,female,neet,AB,junior high,no
36,female,scientest,A,university,no
24,third,chef,B,doctor,yes
77,female,student,O,senior high,no
79,female,singer,B,university,no
42,male,scientest,AB,primary,no
83,male,singer,A,university,no
11,female,engineer,B,senior high,yes
21,male,singer,O,doctor,yes
19,male,neet,A,primary,no
69,third,engineer,B,master,no
69,third,programmer,B,doctor,no
36,female,student,B,master,no
17,third,scientest,AB,university,no
50,male,student,O,junior high,no
5,male,engineer,O,primary,no
77,third,student,A,university,no
20,female,neet,O,primary,yes
18,female,chef,AB,doctor,yes
83,female,neet,B,university,no
30,male,scientest,B,primary,no
63,female,teacher,AB,master,no
56,third,salesman,O,doctor,no
20,third,student,A,senior high,no
10,male,chef,O,primary,no
97,male,chef,AB,primary,no
13,male,student,AB,senior high,no
50,male,student,AB,senior high,no
87,male,programmer,AB,doctor,no
52,male,programmer,B,junior high,no
79,female,engineer,AB,junior high,no
90,female,singer,B,master,no
41,female,scientest,AB,primary,no
59,male,singer,AB,doctor,no
24,male,student,AB,university,no
87,third,engineer,A,doctor,no
92,third,teacher,AB,master,no
25,third,student,A,university,no
7,third,student,B,senior high,no
42,male,engineer,AB,master,yes
11,female,salesman,B,primary,yes
15,male,programmer,A,master,no
74,third,teacher,A,junior high,no
89,female,teacher,B,senior high,no
90,third,teacher,AB,master,no
98,third,engineer,AB,master,no
8,female,student,O,junior high,no
54,female,scientest,A,university,no
71,third,engineer,B,university,no
35,third,singer,B,doctor,no
61,female,salesman,A,senior high,no
74,male,chef,A,doctor,no
24,third,chef,AB,senior high,yes
80,male,programmer,AB,primary,no
46,male,chef,AB,master,yes
6,female,student,O,master,no
70,male,salesman,O,doctor,no
34,female,engineer,A,primary,no
75,female,teacher,B,university,no
2,third,scientest,B,junior high,no
63,male,teacher,B,senior high,no
32,female,singer,O,senior high,yes
38,female,singer,B,university,no
22,male,scientest,AB,university,no
90,male,singer,AB,primary,no
50,male,programmer,B,senior high,no
35,female,neet,AB,junior high,no
97,female,salesman,AB,senior high,no
58,female,neet,B,junior high,no
77,male,salesman,AB,doctor,no
12,third,chef,O,university,no
66,female,student,O,doctor,no
85,female,scientest,AB,senior high,no
58,third,neet,AB,junior high,no
65,male,chef,A,primary,no
48,third,engineer,A,junior high,no
64,male,neet,A,senior high,no
91,female,engineer,B,doctor,no
10,female,student,O,doctor,no
71,male,neet,B,master,no
93,male,student,A,senior high,no
51,female,chef,A,doctor,no
79,male,salesman,O,master,no
1,third,programmer,B,junior high,no
43,male,student,B,junior high,no
14,female,salesman,B,senior high,no
49,female,singer,AB,primary,no
63,third,singer,A,junior high,no
72,female,singer,AB,junior high,no
48,male,singer,AB,master,no
28,male,salesman,AB,senior high,no
44,third,teacher,A,doctor,no
12,male,neet,A,doctor,yes
59,female,neet,O,senior high,no
36,third,engineer,B,master,yes
15,female,programmer,O,doctor,no
94,male,programmer,AB,senior high,no
13,female,chef,AB,senior high,no
50,female,programmer,AB,university,no
96,third,student,AB,primary,no
6,female,chef,O,university,no
30,male,programmer,AB,senior high,no
34,female,neet,B,doctor,no
23,male,engineer,AB,senior high,no
21,male,engineer,O,primary,yes
37,male,programmer,B,primary,no
91,female,salesman,B,junior high,no
78,male,singer,B,master,no
6,third,salesman,O,master,no
90,male,student,AB,master,no
33,female,singer,A,junior high,no
32,female,singer,O,junior high,yes
69,third,engineer,B,junior high,no
45,male,neet,AB,primary,no
28,male,student,AB,senior high,no
83,third,scientest,A,university,no
94,female,neet,A,senior high,no
3,female,salesman,AB,master,no
67,male,student,O,university,no
84,female,neet,B,junior high,no
14,third,programmer,O,university,no
31,third,programmer,O,master,yes
26,third,chef,A,doctor,yes
17,female,salesman,AB,doctor,yes
60,male,programmer,A,junior high,no
39,third,engineer,B,doctor,yes
16,female,teacher,O,junior high,yes
68,third,salesman,B,senior high,no
39,third,engineer,AB,senior high,no
16,female,salesman,B,primary,yes
49,female,programmer,AB,senior high,no
55,third,salesman,A,senior high,no
72,male,scientest,O,doctor,no
55,male,programmer,O,master,no
43,third,student,A,master,no
24,female,salesman,B,doctor,no
9,female,singer,A,university,no
58,third,scientest,AB,university,no
2,male,singer,B,university,no
27,female,engineer,AB,doctor,yes
36,female,salesman,AB,junior high,no
38,male,salesman,AB,university,no
66,male,neet,AB,senior high,no
54,female,scientest,AB,senior high,no
31,male,chef,AB,university,yes
86,male,student,B,doctor,no
53,male,teacher,B,junior high,no
86,female,teacher,A,doctor,no
43,male,teacher,AB,primary,no
19,male,teacher,B,senior high,no
36,female,engineer,A,master,yes
54,third,scientest,B,primary,no
69,male,scientest,B,doctor,no
39,female,teacher,AB,university,no
85,female,student,B,junior high,no
84,female,neet,A,senior high,no
24,third,scientest,AB,junior high,no
11,male,salesman,AB,primary,no
19,male,salesman,A,doctor,no
12,female,engineer,B,master,no
89,male,salesman,B,doctor,no
53,female,neet,B,primary,no
93,male,programmer,A,university,no
21,male,student,O,junior high,yes
31,third,singer,AB,primary,no
7,male,teacher,A,primary,no
3,third,programmer,AB,university,no
11,male,scientest,AB,junior high,no
85,male,student,AB,university,no
1,male,programmer,A,junior high,no
64,female,chef,AB,primary,no
5,male,teacher,A,master,no
28,third,programmer,A,junior high,no
95,female,chef,A,university,no
98,male,chef,A,junior high,no
15,male,salesman,B,senior high,no
81,third,neet,A,junior high,no
83,third,teacher,B,university,no
56,female,singer,AB,university,no
19,male,programmer,B,primary,no
4,third,neet,O,primary,no
88,female,engineer,O,junior high,no
8,female,teacher,AB,senior high,no
54,male,neet,A,university,no
64,third,singer,O,primary,no
36,female,scientest,AB,doctor,yes
75,female,scientest,AB,university,no
54,male,salesman,AB,doctor,no
49,male,engineer,B,primary,no
46,third,engineer,AB,senior high,no
48,male,chef,O,senior high,yes
22,female,scientest,AB,master,yes
46,third,engineer,AB,master,yes
42,female,programmer,AB,university,no
51,female,chef,B,doctor,no
77,female,singer,B,university,no
30,third,singer,B,university,no
72,male,student,O,junior high,no
59,third,student,AB,primary,no
18,third,scientest,A,doctor,no
35,male,student,B,senior high,no
2,male,programmer,B,junior high,no
10,third,engineer,O,primary,no
41,female,teacher,B,university,no
33,third,programmer,AB,junior high,no
34,male,teacher,O,master,yes
20,third,teacher,AB,junior high,no
35,female,chef,B,university,yes
37,female,student,A,senior high,no
11,female,neet,A,university,no
77,female,teacher,O,primary,no
81,female,neet,A,senior high,no
36,female,singer,B,university,no
51,third,teacher,O,doctor,no
82,third,neet,A,junior high,no
29,female,scientest,B,university,no
35,third,singer,A,senior high,no
32,male,programmer,O,doctor,yes
86,male,teacher,B,master,no
58,third,neet,AB,primary,no
70,female,scientest,O,junior high,no
2,third,teacher,O,master,no
62,third,singer,O,senior high,no
62,female,scientest,AB,primary,no
13,female,chef,A,junior high,no
93,third,engineer,A,junior high,no
52,male,engineer,O,primary,no
66,female,student,AB,junior high,no
75,female,neet,B,university,no
58,third,neet,B,doctor,no
90,third,teacher,O,primary,no
32,male,singer,B,junior high,no
87,male,engineer,AB,university,no
22,female,programmer,O,junior high,yes
49,third,teacher,B,doctor,no
64,female,teacher,B,junior high,no
94,third,singer,A,primary,no
84,male,programmer,A,junior high,no
64,female,salesman,AB,master,no
14,male,teacher,B,doctor,no
11,female,engineer,B,university,no
84,male,singer,AB,university,no
39,male,student,B,primary,no
50,female,chef,B,junior high,yes
89,male,engineer,O,university,no
50,male,chef,B,junior high,yes
43,male,scientest,AB,primary,no
12,third,scientest,B,master,no
15,female,engineer,A,university,no
43,male,salesman,B,university,no
61,male,teacher,B,junior high,no
39,male,teacher,AB,university,no
69,third,programmer,O,junior high,no
35,female,scientest,AB,master,yes
31,third,teacher,O,master,yes
82,male,programmer,O,junior high,no
81,female,student,A,senior high,no
33,third,student,O,doctor,yes
85,third,engineer,O,senior high,no
84,third,engineer,B,primary,no
73,female,singer,O,senior high,no
20,male,programmer,A,university,no
33,third,salesman,B,master,no
8,female,neet,O,doctor,no
96,third,scientest,A,master,no
41,male,student,B,senior high,no
80,male,salesman,O,university,no
50,female,programmer,A,primary,no
47,male,salesman,B,junior high,no
18,third,neet,AB,senior high,no
57,male,student,O,doctor,no
77,third,programmer,AB,doctor,no
43,male,singer,AB,junior high,no
2,female,engineer,B,university,no
48,male,engineer,O,senior high,no
84,third,scientest,O,master,no
21,female,programmer,A,university,no
50,female,chef,A,junior high,yes
14,female,student,A,master,no
77,male,student,AB,senior high,no
38,male,engineer,B,junior high,no
16,female,student,O,primary,yes
74,female,programmer,B,junior high,no
84,female,salesman,AB,junior high,no
30,male,student,O,junior high,yes
43,female,student,B,master,no
88,female,scientest,B,doctor,no
28,female,neet,A,junior high,no
99,male,neet,B,primary,no
80,third,salesman,B,junior high,no
6,male,chef,O,junior high,no
80,male,engineer,AB,primary,no
16,female,programmer,B,university,no
16,third,scientest,B,junior high,no
70,female,teacher,AB,doctor,no
48,third,salesman,B,senior high,no
45,male,singer,AB,master,no
58,third,salesman,B,junior high,no
49,male,scientest,A,senior high,no
15,third,teacher,A,doctor,no
44,third,scientest,B,doctor,yes
71,male,engineer,AB,university,no
37,male,salesman,A,doctor,no
23,third,salesman,A,master,no
74,female,teacher,AB,junior high,no
36,male,chef,O,doctor,yes
61,female,chef,AB,master,no
19,male,neet,O,university,yes
76,female,teacher,AB,senior high,no
36,male,programmer,A,junior high,no
88,male,teacher,AB,senior high,no
44,male,student,AB,doctor,no
31,third,programmer,O,university,yes
4,third,teacher,B,primary,no
33,female,teacher,A,junior high,no
69,male,teacher,O,senior high,no
6,female,chef,O,primary,no
70,female,chef,O,primary,no
65,female,programmer,B,doctor,no
4,male,singer,AB,doctor,no
34,third,singer,A,junior high,no
99,male,scientest,O,primary,no
53,third,scientest,A,primary,no
78,male,chef,B,master,no
11,female,scientest,AB,university,no
62,third,scientest,A,university,no
37,male,engineer,AB,senior high,no
1,male,scientest,AB,university,no
56,female,neet,AB,master,no
0,male,student,AB,university,no
65,third,engineer,A,primary,no
70,third,programmer,B,university,no
77,third,singer,A,primary,no
18,male,singer,AB,junior high,no
48,female,programmer,AB,master,yes
19,female,engineer,O,master,yes
86,male,engineer,AB,senior high,no
35,male,neet,B,master,no
82,male,student,A,university,no
49,male,neet,B,doctor,no
38,female,chef,B,senior high,yes
75,third,singer,AB,primary,no
88,male,chef,A,university,no
14,female,student,B,master,no
11,female,programmer,B,master,no
24,female,programmer,A,senior high,no
42,third,teacher,B,senior high,no
46,male,engineer,B,university,no
82,third,singer,O,university,no
52,female,scientest,O,university,no
21,male,singer,O,university,yes
67,male,neet,B,primary,no
61,female,teacher,AB,master,no
74,third,student,AB,primary,no
43,female,salesman,A,master,no
26,third,chef,A,senior high,yes
18,male,teacher,AB,doctor,no
63,male,salesman,B,master,no
33,male,neet,AB,university,no
40,male,scientest,AB,university,no
67,third,salesman,O,primary,no
19,female,student,AB,primary,no
74,female,singer,A,university,no
13,female,neet,AB,senior high,no
67,third,scientest,A,senior high,no
60,male,chef,B,junior high,no
28,female,chef,O,university,yes
49,male,student,AB,junior high,no
48,third,salesman,A,primary,no
87,male,neet,O,junior high,no
17,male,neet,AB,senior high,no
87,male,teacher,B,doctor,no
31,female,student,O,primary,yes
44,male,singer,AB,senior high,no
15,male,student,B,primary,no
29,male,singer,AB,doctor,no
7,female,scientest,O,senior high,no
58,male,salesman,A,master,no
44,third,scientest,O,primary,no
82,third,engineer,A,doctor,no
22,male,neet,O,junior high,yes
44,female,neet,O,master,no
21,male,teacher,A,master,no
55,female,scientest,A,primary,no
61,third,student,O,senior high,no
13,third,singer,O,master,no
3,third,student,A,primary,no
29,third,salesman,B,senior high,no
19,female,neet,B,junior high,no
99,third,teacher,AB,university,no
52,female,singer,A,master,no
56,female,salesman,A,senior high,no
50,male,engineer,AB,doctor,yes
2,male,salesman,B,primary,no
20,female,chef,O,senior high,yes
19,female,scientest,A,university,no
70,male,chef,A,primary,no
19,male,engineer,O,primary,yes
16,male,engineer,A,primary,no
3,third,engineer,A,doctor,no
34,third,neet,B,university,no
92,male,chef,B,doctor,no
76,female,chef,A,junior high,no
89,third,student,A,junior high,no
26,male,teacher,A,primary,no
95,third,singer,B,junior high,no
25,third,scientest,AB,doctor,yes
47,male,scientest,A,doctor,yes
75,third,scientest,AB,university,no
76,third,singer,AB,primary,no
50,male,engineer,O,senior high,no
48,male,salesman,B,master,no
34,female,salesman,A,doctor,no
74,male,salesman,AB,senior high,no
71,third,scientest,A,master,no
74,female,student,AB,master,no
28,third,student,B,senior high,no
91,female,neet,AB,primary,no
32,male,engineer,B,university,no
0,third,engineer,AB,master,no
76,male,chef,O,junior high,no
82,female,student,AB,doctor,no
38,third,engineer,AB,senior high,no
18,female,neet,B,university,no
48,male,chef,B,senior high,yes
18,male,chef,O,primary,yes
29,female,engineer,O,master,yes
19,male,singer,AB,master,no
91,female,singer,AB,primary,no
84,third,singer,AB,master,no
95,male,scientest,A,senior high,no
55,male,neet,AB,doctor,no
32,third,neet,O,senior high,yes
54,male,scientest,O,master,no
79,female,chef,B,junior high,no
87,male,teacher,AB,junior high,no
70,female,neet,O,junior high,no
71,male,scientest,B,junior high,no
74,third,neet,AB,junior high,no
13,female,neet,AB,primary,no
19,female,neet,A,senior high,no
48,third,singer,O,senior high,no
56,third,engineer,AB,master,no
65,third,singer,A,primary,no
91,male,neet,AB,primary,no
1,third,teacher,B,junior high,no
92,third,student,A,master,no
63,female,neet,A,junior high,no
22,male,chef,B,university,yes
90,third,programmer,O,junior high,no
76,third,salesman,A,university,no
40,male,engineer,O,senior high,yes
6,male,teacher,O,university,no
57,third,engineer,O,junior high,no
86,male,engineer,B,doctor,no
9,third,teacher,O,master,no
97,male,neet,A,master,no
0,third,programmer,A,master,no
22,female,engineer,A,doctor,yes
59,third,student,AB,doctor,no
51,female,teacher,O,master,no
66,female,student,A,primary,no
9,third,programmer,A,doctor,no
83,male,neet,O,senior high,no
7,third,salesman,O,master,no
21,third,programmer,B,master,no
71,male,student,O,junior high,no
22,male,chef,AB,senior high,yes
67,female,neet,A,senior high,no
72,female,programmer,B,master,no
77,third,salesman,O,master,no
23,third,neet,AB,senior high,no
34,third,singer,AB,primary,no
2,female,engineer,B,primary,no
81,male,teacher,AB,senior high,no
22,third,chef,B,master,yes
15,third,teacher,B,primary,no
6,male,salesman,B,university,no
65,female,scientest,B,primary,no
5,female,neet,A,doctor,no
30,third,neet,AB,master,no
91,male,singer,AB,doctor,no
73,male,scientest,A,master,no
34,male,neet,AB,primary,no
47,male,engineer,B,primary,no
88,female,salesman,AB,senior high,no
57,female,salesman,B,master,no
69,male,salesman,AB,master,no
73,male,engineer,B,doctor,no
93,third,neet,B,master,no
87,third,neet,B,doctor,no
21,female,salesman,O,doctor,yes
0,female,scientest,AB,master,no
7,female,salesman,A,master,no
75,male,salesman,AB,doctor,no
83,female,salesman,AB,master,no
38,third,scientest,A,master,yes
71,male,student,A,junior high,no
5,male,scientest,B,junior high,no
53,third,engineer,B,junior high,no
68,female,student,B,master,no
47,third,salesman,AB,university,no
58,male,singer,A,doctor,no
17,male,salesman,O,master,yes
35,third,neet,O,master,yes
73,male,programmer,AB,junior high,no
80,third,programmer,AB,master,no
23,third,student,O,doctor,yes
57,female,teacher,AB,university,no
68,male,scientest,AB,university,no
35,male,salesman,O,doctor,yes
28,female,student,B,junior high,no
38,third,neet,B,junior high,no
53,third,chef,AB,doctor,no
33,third,engineer,B,university,no
55,female,chef,B,doctor,no
14,third,programmer,O,junior high,no
65,male,student,A,doctor,no
32,female,teacher,B,primary,no
54,male,engineer,A,primary,no
91,third,neet,A,doctor,no
80,third,engineer,O,master,no
88,third,chef,AB,junior high,no
32,third,scientest,A,doctor,yes
4,male,student,A,senior high,no
91,female,teacher,O,senior high,no
13,male,programmer,AB,primary,no
43,third,programmer,O,primary,no
10,third,neet,B,master,no
76,female,engineer,O,senior high,no
28,female,engineer,B,senior high,no
76,third,salesman,A,senior high,no
66,male,neet,B,primary,no
67,female,programmer,A,senior high,no
37,third,student,A,doctor,no
51,third,teacher,A,primary,no
52,female,chef,B,junior high,no
82,female,teacher,B,doctor,no
51,female,chef,AB,doctor,no
34,male,neet,O,junior high,yes
6,male,chef,AB,senior high,no
51,third,neet,A,senior high,no
64,third,singer,AB,senior high,no
94,male,teacher,O,doctor,no
44,third,scientest,B,doctor,yes
26,third,engineer,A,senior high,no
56,male,singer,AB,university,no
61,male,teacher,A,master,no
0,male,salesman,B,primary,no
72,third,teacher,AB,senior high,no
60,male,neet,B,university,no
77,female,chef,AB,doctor,no
86,female,chef,O,doctor,no
16,female,singer,A,junior high,no
0,female,teacher,O,primary,no
9,male,programmer,O,doctor,no
3,female,neet,O,junior high,no
37,female,engineer,AB,senior high,no
8,third,programmer,O,junior high,no
1,female,student,AB,primary,no
14,female,chef,B,doctor,no
21,third,neet,O,junior high,yes
96,third,neet,AB,senior high,no
97,male,engineer,AB,master,no
62,female,salesman,O,master,no
35,third,scientest,AB,master,yes
91,third,engineer,O,senior high,no
90,third,student,A,doctor,no
95,male,neet,B,senior high,no
24,third,scientest,AB,senior high,no
6,male,engineer,AB,doctor,no
80,female,student,B,senior high,no
48,female,neet,B,senior high,no
63,female,engineer,A,university,no
44,female,scientest,AB,senior high,no
45,male,scientest,O,doctor,yes
57,male,singer,AB,primary,no
33,third,teacher,AB,master,no
60,male,chef,B,doctor,no
88,third,singer,AB,master,no
69,female,singer,B,university,no
43,female,student,B,senior high,no
47,male,chef,B,university,yes
12,third,scientest,AB,university,no
61,female,engineer,O,university,no
29,female,student,O,senior high,yes
36,male,salesman,AB,university,no
14,male,scientest,AB,junior high,no
94,male,student,AB,senior high,no
33,third,teacher,AB,university,no
5,male,student,B,university,no
53,third,student,B,primary,no
14,male,programmer,AB,junior high,no
84,female,singer,B,master,no
8,female,salesman,O,university,no
82,male,salesman,AB,senior high,no
14,third,chef,O,primary,no
3,female,salesman,AB,primary,no
35,third,chef,O,junior high,yes
33,third,student,B,junior high,no
65,female,engineer,A,primary,no
21,female,student,B,master,no
18,female,teacher,B,senior high,no
24,third,salesman,AB,senior high,no
71,male,scientest,B,master,no
17,female,programmer,A,doctor,no
50,third,singer,O,junior high,no
58,female,scientest,A,primary,no
64,female,student,AB,senior high,no
50,third,student,B,junior high,no
11,female,chef,A,university,no
36,female,salesman,AB,senior high,no
29,third,salesman,A,doctor,no
83,third,chef,AB,primary,no
32,male,neet,O,doctor,yes
26,third,singer,B,primary,no
93,male,chef,A,master,no
89,female,programmer,AB,primary,no
88,male,singer,O,master,no
19,third,scientest,O,university,yes
90,third,salesman,O,junior high,no
0,female,student,AB,university,no
28,male,programmer,O,senior high,yes
13,third,teacher,O,doctor,no
36,female,teacher,A,primary,no
73,third,chef,B,junior high,no
87,third,neet,O,doctor,no
66,female,teacher,B,doctor,no
92,female,chef,A,university,no
59,female,salesman,AB,doctor,no
80,male,neet,O,primary,no
38,third,salesman,O,master,yes
75,female,programmer,O,primary,no
12,male,student,B,master,no
82,female,programmer,O,doctor,no
94,third,chef,B,university,no
45,third,singer,O,university,no
67,female,programmer,B,master,no
68,third,teacher,AB,senior high,no
39,male,student,B,primary,no
85,male,engineer,A,doctor,no
17,third,teacher,O,primary,yes
77,female,chef,O,primary,no
12,male,neet,A,junior high,no
54,male,scientest,B,primary,no
47,male,student,AB,primary,no
89,male,neet,B,senior high,no
32,third,salesman,A,primary,no
2,female,programmer,A,junior high,no
72,female,chef,A,junior high,no
93,third,scientest,B,doctor,no
94,female,singer,B,senior high,no
94,female,chef,O,doctor,no
33,female,salesman,A,doctor,no
64,female,student,AB,master,no
61,female,scientest,A,master,no
42,third,teacher,B,university,no
79,female,engineer,AB,university,no
32,male,scientest,B,doctor,yes
57,third,neet,AB,university,no
67,third,engineer,A,senior high,no
80,third,engineer,B,master,no
12,female,neet,AB,master,no
37,third,programmer,O,primary,yes
75,female,singer,B,master,no
24,third,programmer,A,primary,no
96,third,neet,A,doctor,no
34,female,teacher,B,university,no
94,third,salesman,AB,junior high,no
82,third,scientest,AB,primary,no
33,male,scientest,B,junior high,no
39,female,singer,B,master,no
12,female,chef,B,university,no
21,male,singer,O,university,yes
72,third,teacher,AB,master,no
53,female,teacher,O,university,no
0,third,salesman,B,senior high,no
11,male,student,A,doctor,no
51,female,engineer,B,doctor,no
25,male,engineer,AB,master,yes
3,female,neet,O,university,no
44,third,neet,B,doctor,no
90,male,salesman,AB,master,no
28,female,singer,O,doctor,yes
35,third,chef,O,primary,yes
45,female,engineer,A,doctor,yes
71,male,chef,A,senior high,no
77,female,neet,AB,doctor,no
33,male,salesman,A,junior high,no
89,third,student,O,senior high,no
69,male,programmer,A,primary,no
51,female,chef,A,senior high,no
41,male,neet,O,master,no
2,male,student,A,junior high,no
19,male,programmer,B,doctor,no
82,male,engineer,AB,junior high,no
47,male,scientest,O,doctor,yes
66,female,singer,A,university,no
45,female,student,AB,senior high,no
37,male,engineer,B,junior high,no
44,female,engineer,A,senior high,no
43,female,engineer,A,doctor,yes
56,female,scientest,A,university,no
0,female,scientest,B,senior high,no
77,third,salesman,AB,master,no
99,third,singer,O,senior high,no
33,male,engineer,AB,junior high,no
6,female,chef,O,senior high,no
99,female,neet,B,primary,no
37,third,engineer,AB,primary,no
3,third,salesman,AB,senior high,no
45,male,student,O,university,no
97,male,singer,AB,doctor,no
83,male,singer,AB,primary,no
87,third,singer,A,master,no
37,female,salesman,O,primary,yes
21,female,neet,B,doctor,no
39,third,singer,O,junior high,yes
67,male,student,A,master,no
11,male,neet,B,primary,yes
63,female,programmer,B,master,no
56,female,teacher,AB,university,no
10,third,salesman,O,master,no
27,male,salesman,B,primary,no
47,third,scientest,O,senior high,no
88,third,engineer,O,primary,no
16,female,teacher,AB,master,no
17,female,teacher,B,doctor,no
55,female,chef,AB,doctor,no
16,male,scientest,AB,doctor,no
38,female,student,A,doctor,no
53,third,engineer,AB,doctor,no
68,male,student,AB,university,no
67,female,neet,O,primary,no
8,third,singer,AB,primary,no
33,male,programmer,B,master,yes
32,male,salesman,A,master,no
90,third,chef,O,senior high,no
9,male,neet,A,doctor,yes
87,female,programmer,O,junior high,no
55,third,chef,O,university,no
34,third,teacher,AB,university,no
0,female,scientest,A,primary,no
69,female,engineer,AB,junior high,no
16,female,teacher,B,master,no
18,third,salesman,B,primary,no
54,male,student,A,junior high,no
34,third,programmer,A,master,yes
47,male,salesman,B,university,no
15,third,teacher,AB,primary,no
33,female,singer,O,university,yes
70,male,engineer,O,doctor,no
71,female,singer,B,master,no
12,female,salesman,A,primary,yes
9,third,singer,B,senior high,no
98,female,singer,AB,senior high,no
47,third,salesman,AB,junior high,no
39,male,salesman,O,primary,yes
81,male,salesman,A,primary,no
55,third,scientest,O,master,no
53,female,programmer,B,university,no
28,female,engineer,A,senior high,no
93,third,chef,O,junior high,no
30,male,chef,B,junior high,yes
87,male,salesman,A,university,no
32,third,teacher,O,master,yes
33,male,neet,O,junior high,yes
65,third,scientest,B,master,no
6,female,student,O,master,no
31,female,salesman,B,primary,no
74,male,singer,B,junior high,no
46,female,singer,O,primary,no
88,male,scientest,B,master,no
17,female,student,O,primary,yes
76,third,scientest,B,primary,no
94,male,engineer,A,master,no
36,female,singer,A,doctor,no
56,third,singer,O,university,no
25,female,engineer,A,primary,no
9,male,salesman,O,doctor,no
65,third,neet,B,doctor,no
9,male,programmer,B,master,yes
36,female,neet,AB,master,no
54,male,programmer,O,doctor,no
87,male,engineer,AB,junior high,no
5,male,programmer,AB,junior high,no
30,male,student,B,master,no
8,third,chef,AB,master,no
1,third,neet,B,senior high,no
25,third,chef,O,junior high,yes
47,female,teacher,A,doctor,no
72,third,chef,AB,university,no
44,female,programmer,O,junior high,no
89,third,programmer,AB,primary,no
82,male,engineer,O,master,no
69,male,programmer,O,master,no
2,male,teacher,O,senior high,no
26,male,student,O,junior high,yes
97,third,salesman,AB,junior high,no
49,female,scientest,AB,doctor,yes
31,third,engineer,AB,junior high,no
46,male,teacher,A,primary,no
19,female,engineer,B,junior high,no
18,female,engineer,O,doctor,yes
28,male,chef,AB,master,yes
48,third,salesman,AB,senior high,no
30,third,singer,O,senior high,yes
6,third,chef,O,university,no
39,third,salesman,AB,master,no
47,male,scientest,O,doctor,yes
23,male,student,AB,junior high,no
24,female,chef,O,doctor,yes
79,third,engineer,O,primary,no
68,third,student,A,senior high,no
7,male,teacher,AB,master,no
13,female,scientest,O,master,no
44,female,student,AB,doctor,no
28,female,programmer,A,senior high,no
11,female,engineer,A,master,no
88,female,salesman,B,junior high,no
11,female,neet,AB,university,no
88,female,chef,A,university,no
41,female,singer,A,primary,no
73,female,scientest,AB,senior high,no
78,third,singer,A,junior high,no
4,male,neet,B,doctor,no
43,female,teacher,O,junior high,no
53,third,teacher,O,senior high,no
3,male,singer,O,primary,no
6,male,salesman,A,university,no
68,male,singer,B,senior high,no
7,female,programmer,O,doctor,no
67,female,neet,A,doctor,no
36,third,student,AB,master,no
72,male,singer,AB,primary,no
6,female,salesman,AB,junior high,no
74,male,engineer,B,primary,no
95,third,salesman,AB,master,no
36,male,student,O,junior high,yes
41,male,engineer,O,master,yes
69,third,singer,B,university,no
25,third,salesman,AB,doctor,no
27,male,student,B,senior high,no
46,third,programmer,AB,university,no
93,third,student,B,junior high,no
20,third,programmer,O,senior high,yes
56,third,neet,A,master,no
2,female,teacher,A,university,no
29,male,chef,O,doctor,yes
7,third,chef,AB,senior high,no
13,male,salesman,AB,primary,no
65,female,teacher,A,university,no
6,third,engineer,B,primary,no
28,third,singer,AB,master,no
72,third,salesman,A,master,no
68,female,chef,O,university,no
58,male,student,O,master,no
26,third,scientest,AB,university,no
1,male,salesman,B,doctor,no
24,third,singer,A,master,no
42,female,chef,AB,university,yes
73,third,salesman,B,master,no
49,third,singer,O,doctor,no
37,male,singer,A,junior high,no
28,female,student,O,senior high,yes
31,male,engineer,AB,doctor,yes
45,female,engineer,AB,senior high,no
70,third,programmer,O,senior high,no
27,female,programmer,A,senior high,no
50,third,engineer,A,doctor,yes
44,male,scientest,A,master,yes
70,male,neet,O,doctor,no
50,male,neet,AB,junior high,no
76,female,scientest,B,doctor,no
6,female,student,A,senior high,no
51,third,engineer,B,junior high,no
47,male,chef,O,doctor,yes
52,third,engineer,O,doctor,no
60,third,chef,AB,university,no
45,male,salesman,A,junior high,no
26,third,chef,AB,senior high,yes
53,third,singer,A,senior high,no
3,female,chef,O,university,no
92,third,chef,O,junior high,no
34,female,chef,B,doctor,yes
81,male,singer,B,university,no
41,male,salesman,A,doctor,no
41,male,chef,AB,junior high,yes
96,female,neet,B,master,no
13,third,salesman,A,master,no
34,female,student,O,junior high,yes
94,female,chef,A,university,no
7,female,neet,AB,master,no
44,third,singer,B,junior high,no
6,female,teacher,AB,university,no
86,female,salesman,AB,primary,no
37,male,singer,A,master,no
94,male,student,B,junior high,no
80,male,programmer,AB,junior high,no
96,third,student,A,senior high,no
55,third,teacher,A,junior high,no
93,male,scientest,O,doctor,no
70,male,scientest,AB,junior high,no
75,female,engineer,A,doctor,no
98,male,programmer,B,doctor,no
20,third,singer,B,primary,no
22,third,neet,O,university,yes
51,female,chef,O,doctor,no
1,female,chef,O,university,no
73,female,teacher,A,junior high,no
0,female,salesman,O,university,no
57,female,student,B,senior high,no
17,female,scientest,O,junior high,yes
78,female,programmer,O,doctor,no
8,male,scientest,O,senior high,no
87,male,neet,AB,junior high,no
70,third,neet,A,junior high,no
