Age,Gender,Weight,Education,Choosed
80,male,62,primary,no
16,female,46,university,no
16,third,64,junior high,no
70,female,92,doctor,no
48,third,35,senior high,no
45,male,61,master,no
58,third,88,junior high,no
49,male,86,senior high,no
15,third,70,doctor,no
44,third,78,doctor,yes
71,male,83,university,no
37,male,77,doctor,no
23,third,39,master,no
74,female,83,junior high,no
36,male,42,doctor,yes
61,female,67,master,no
19,male,69,university,yes
76,female,73,senior high,no
36,male,81,junior high,no
88,male,61,senior high,no
44,male,52,doctor,no
31,third,81,university,yes
4,third,41,primary,no
33,female,77,junior high,no
69,male,85,senior high,no
6,female,85,primary,no
70,female,82,primary,no
65,female,76,doctor,no
4,male,72,doctor,no
34,third,98,junior high,no
99,male,69,primary,no
53,third,87,primary,no
78,male,38,master,no
11,female,71,university,no
62,third,42,university,no
37,male,84,senior high,no
1,male,93,university,no
56,female,66,master,no
0,male,68,university,no
65,third,70,primary,no
70,third,49,university,no
77,third,65,primary,no
18,male,43,junior high,no
48,female,76,master,yes
19,female,79,master,yes
86,male,79,senior high,no
35,male,65,master,no
82,male,46,university,no
49,male,89,doctor,no
38,female,99,senior high,yes
75,third,85,primary,no
88,male,83,university,no
14,female,89,master,no
11,female,81,master,no
24,female,62,senior high,no
42,third,98,senior high,no
46,male,75,university,no
82,third,81,university,no
52,female,35,university,no
21,male,83,university,yes
67,male,36,primary,no
61,female,78,master,no
74,third,62,primary,no
43,female,91,master,no
26,third,90,senior high,yes
18,male,59,doctor,no
63,male,54,master,no
33,male,78,university,no
40,male,81,university,no
67,third,51,primary,no
19,female,42,primary,no
74,female,86,university,no
13,female,73,senior high,no
67,third,86,senior high,no
60,male,62,junior high,no
28,female,96,university,yes
49,male,95,junior high,no
48,third,83,primary,no
87,male,99,junior high,no
17,male,43,senior high,no
87,male,80,doctor,no
31,female,90,primary,yes
44,male,43,senior high,no
15,male,58,primary,no
29,male,45,doctor,no
7,female,49,senior high,no
58,male,87,master,no
44,third,54,primary,no
82,third,96,doctor,no
22,male,46,junior high,yes
44,female,64,master,no
21,male,91,master,no
55,female,88,primary,no
61,third,76,senior high,no
13,third,44,master,no
3,third,52,primary,no
29,third,71,senior high,no
19,female,89,junior high,no
99,third,80,university,no
52,female,43,master,no
56,female,42,senior high,no
50,male,55,doctor,yes
2,male,40,primary,no
20,female,88,senior high,yes
19,female,88,university,no
70,male,37,primary,no
19,male,49,primary,yes
16,male,57,primary,no
3,third,35,doctor,no
34,third,83,university,no
92,male,40,doctor,no
76,female,64,junior high,no
89,third,60,junior high,no
26,male,96,primary,no
95,third,73,junior high,no
25,third,69,doctor,yes
47,male,58,doctor,yes
75,third,74,university,no
76,third,43,primary,no
50,male,73,senior high,no
48,male,95,master,no
34,female,43,doctor,no
74,male,90,senior high,no
71,third,93,master,no
74,female,97,master,no
28,third,53,senior high,no
91,female,40,primary,no
32,male,54,university,no
0,third,42,master,no
76,male,61,junior high,no
82,female,93,doctor,no
38,third,81,senior high,no
18,female,59,university,no
48,male,38,senior high,yes
18,male,88,primary,yes
29,female,60,master,yes
19,male,77,master,no
91,female,89,primary,no
84,third,63,master,no
95,male,53,senior high,no
55,male,85,doctor,no
32,third,82,senior high,yes
54,male,91,master,no
79,female,84,junior high,no
87,male,69,junior high,no
70,female,82,junior high,no
71,male,66,junior high,no
74,third,59,junior high,no
13,female,65,primary,no
19,female,89,senior high,no
48,third,88,senior high,no
56,third,49,master,no
65,third,41,primary,no
91,male,36,primary,no
1,third,70,junior high,no
92,third,98,master,no
63,female,45,junior high,no
22,male,93,university,yes
90,third,72,junior high,no
76,third,58,university,no
40,male,45,senior high,yes
6,male,63,university,no
57,third,88,junior high,no
86,male,45,doctor,no
9,third,85,master,no
97,male,68,master,no
0,third,76,master,no
22,female,79,doctor,yes
59,third,48,doctor,no
51,female,64,master,no
66,female,49,primary,no
9,third,58,doctor,no
83,male,67,senior high,no
7,third,83,master,no
21,third,86,master,no
71,male,55,junior high,no
22,male,93,senior high,yes
67,female,95,senior high,no
72,female,61,master,no
77,third,35,master,no
23,third,78,senior high,no
34,third,48,primary,no
2,female,99,primary,no
81,male,35,senior high,no
22,third,39,master,yes
15,third,97,primary,no
6,male,89,university,no
65,female,91,primary,no
5,female,63,doctor,no
30,third,96,master,no
91,male,98,doctor,no
73,male,80,master,no
34,male,58,primary,no
47,male,87,primary,no
88,female,98,senior high,no
57,female,64,master,no
69,male,45,master,no
73,male,59,doctor,no
93,third,70,master,no
87,third,47,doctor,no
21,female,93,doctor,yes
0,female,42,master,no
7,female,42,master,no
75,male,69,doctor,no
83,female,36,master,no
38,third,37,master,yes
71,male,82,junior high,no
5,male,82,junior high,no
53,third,91,junior high,no
68,female,51,master,no
47,third,70,university,no
58,male,66,doctor,no
17,male,62,master,yes
35,third,75,master,yes
73,male,80,junior high,no
80,third,74,master,no
23,third,63,doctor,yes
57,female,53,university,no
68,male,57,university,no
35,male,56,doctor,yes
28,female,38,junior high,no
38,third,89,junior high,no
53,third,87,doctor,no
33,third,55,university,no
55,female,51,doctor,no
14,third,69,junior high,no
65,male,73,doctor,no
32,female,85,primary,no
54,male,58,primary,no
91,third,71,doctor,no
80,third,67,master,no
88,third,75,junior high,no
32,third,78,doctor,yes
4,male,97,senior high,no
91,female,87,senior high,no
13,male,52,primary,no
43,third,87,primary,no
10,third,68,master,no
76,female,96,senior high,no
28,female,50,senior high,no
76,third,65,senior high,no
66,male,93,primary,no
67,female,92,senior high,no
37,third,38,doctor,no
51,third,53,primary,no
52,female,58,junior high,no
82,female,76,doctor,no
51,female,97,doctor,no
34,male,86,junior high,yes
6,male,41,senior high,no
51,third,94,senior high,no
64,third,48,senior high,no
94,male,91,doctor,no
44,third,84,doctor,yes
26,third,36,senior high,no
56,male,94,university,no
61,male,83,master,no
0,male,36,primary,no
72,third,57,senior high,no
60,male,78,university,no
77,female,85,doctor,no
86,female,35,doctor,no
16,female,98,junior high,no
0,female,97,primary,no
9,male,90,doctor,no
3,female,90,junior high,no
37,female,82,senior high,no
8,third,96,junior high,no
1,female,65,primary,no
14,female,81,doctor,no
21,third,75,junior high,yes
96,third,76,senior high,no
97,male,47,master,no
62,female,35,master,no
35,third,85,master,yes
91,third,54,senior high,no
90,third,54,doctor,no
95,male,78,senior high,no
24,third,98,senior high,no
6,male,53,doctor,no
80,female,87,senior high,no
48,female,99,senior high,no
63,female,43,university,no
44,female,92,senior high,no
45,male,92,doctor,yes
57,male,91,primary,no
33,third,75,master,no
60,male,67,doctor,no
88,third,85,master,no
69,female,64,university,no
43,female,78,senior high,no
47,male,71,university,yes
12,third,43,university,no
61,female,79,university,no
29,female,75,senior high,yes
36,male,50,university,no
14,male,48,junior high,no
94,male,66,senior high,no
33,third,53,university,no
5,male,73,university,no
53,third,99,primary,no
14,male,82,junior high,no
84,female,51,master,no
8,female,93,university,no
82,male,54,senior high,no
14,third,44,primary,no
3,female,54,primary,no
35,third,37,junior high,yes
33,third,40,junior high,no
65,female,37,primary,no
21,female,86,master,no
18,female,62,senior high,no
24,third,70,senior high,no
71,male,73,master,no
17,female,89,doctor,no
50,third,98,junior high,no
58,female,40,primary,no
64,female,75,senior high,no
50,third,47,junior high,no
11,female,91,university,no
36,female,63,senior high,no
29,third,38,doctor,no
83,third,80,primary,no
32,male,80,doctor,yes
26,third,94,primary,no
93,male,87,master,no
89,female,84,primary,no
88,male,84,master,no
19,third,83,university,yes
90,third,72,junior high,no
0,female,51,university,no
28,male,64,senior high,yes
13,third,57,doctor,no
36,female,79,primary,no
73,third,98,junior high,no
87,third,82,doctor,no
66,female,98,doctor,no
92,female,77,university,no
59,female,47,doctor,no
80,male,47,primary,no
38,third,83,master,yes
75,female,36,primary,no
12,male,80,master,no
82,female,88,doctor,no
94,third,83,university,no
45,third,86,university,no
67,female,51,master,no
68,third,79,senior high,no
39,male,99,primary,no
85,male,62,doctor,no
17,third,75,primary,yes
77,female,84,primary,no
12,male,89,junior high,no
54,male,54,primary,no
47,male,98,primary,no
89,male,52,senior high,no
32,third,59,primary,no
2,female,75,junior high,no
72,female,76,junior high,no
93,third,61,doctor,no
94,female,64,senior high,no
94,female,41,doctor,no
33,female,84,doctor,no
64,female,76,master,no
61,female,61,master,no
42,third,91,university,no
79,female,51,university,no
32,male,50,doctor,yes
57,third,68,university,no
67,third,71,senior high,no
80,third,99,master,no
12,female,67,master,no
37,third,66,primary,yes
75,female,68,master,no
24,third,49,primary,no
96,third,50,doctor,no
34,female,70,university,no
94,third,81,junior high,no
82,third,91,primary,no
33,male,83,junior high,no
39,female,72,master,no
12,female,59,university,no
21,male,96,university,yes
72,third,51,master,no
53,female,40,university,no
0,third,67,senior high,no
11,male,71,doctor,no
51,female,98,doctor,no
25,male,91,master,yes
3,female,68,university,no
44,third,95,doctor,no
90,male,35,master,no
28,female,41,doctor,yes
35,third,93,primary,yes
45,female,56,doctor,yes
71,male,42,senior high,no
77,female,79,doctor,no
33,male,35,junior high,no
89,third,77,senior high,no
69,male,47,primary,no
51,female,84,senior high,no
41,male,83,master,no
2,male,44,junior high,no
19,male,70,doctor,no
82,male,48,junior high,no
47,male,72,doctor,yes
66,female,96,university,no
45,female,96,senior high,no
37,male,82,junior high,no
44,female,82,senior high,no
43,female,64,doctor,yes
56,female,81,university,no
0,female,88,senior high,no
77,third,95,master,no
99,third,78,senior high,no
33,male,64,junior high,no
6,female,50,senior high,no
99,female,88,primary,no
37,third,81,primary,no
3,third,53,senior high,no
45,male,65,university,no
97,male,82,doctor,no
83,male,63,primary,no
87,third,80,master,no
37,female,43,primary,yes
21,female,42,doctor,no
39,third,75,junior high,yes
67,male,36,master,no
11,male,35,primary,yes
63,female,82,master,no
56,female,71,university,no
10,third,71,master,no
27,male,54,primary,no
47,third,41,senior high,no
88,third,79,primary,no
16,female,60,master,no
17,female,98,doctor,no
55,female,40,doctor,no
16,male,42,doctor,no
38,female,99,doctor,no
53,third,47,doctor,no
68,male,90,university,no
67,female,52,primary,no
8,third,52,primary,no
33,male,78,master,yes
32,male,99,master,no
90,third,81,senior high,no
9,male,36,doctor,yes
87,female,89,junior high,no
55,third,48,university,no
34,third,52,university,no
0,female,52,primary,no
69,female,85,junior high,no
16,female,73,master,no
18,third,54,primary,no
54,male,64,junior high,no
34,third,40,master,yes
47,male,88,university,no
15,third,46,primary,no
33,female,76,university,yes
70,male,68,doctor,no
71,female,77,master,no
12,female,45,primary,yes
9,third,69,senior high,no
98,female,61,senior high,no
47,third,79,junior high,no
39,male,42,primary,yes
81,male,64,primary,no
55,third,58,master,no
53,female,85,university,no
28,female,67,senior high,no
93,third,99,junior high,no
30,male,74,junior high,yes
87,male,95,university,no
32,third,78,master,yes
33,male,38,junior high,yes
65,third,40,master,no
6,female,66,master,no
31,female,41,primary,no
74,male,49,junior high,no
46,female,88,primary,no
88,male,57,master,no
17,female,41,primary,yes
76,third,39,primary,no
94,male,51,master,no
36,female,98,doctor,no
56,third,88,university,no
25,female,69,primary,no
9,male,56,doctor,no
65,third,96,doctor,no
9,male,41,master,yes
36,female,73,master,no
54,male,97,doctor,no
87,male,97,junior high,no
5,male,67,junior high,no
30,male,58,master,no
8,third,58,master,no
1,third,82,senior high,no
25,third,84,junior high,yes
47,female,37,doctor,no
72,third,75,university,no
44,female,88,junior high,no
89,third,38,primary,no
82,male,88,master,no
69,male,39,master,no
2,male,57,senior high,no
26,male,51,junior high,yes
97,third,60,junior high,no
49,female,78,doctor,yes
31,third,98,junior high,no
46,male,90,primary,no
19,female,66,junior high,no
18,female,40,doctor,yes
28,male,94,master,yes
48,third,65,senior high,no
30,third,51,senior high,yes
6,third,52,university,no
39,third,87,master,no
47,male,57,doctor,yes
23,male,82,junior high,no
24,female,97,doctor,yes
79,third,91,primary,no
68,third,57,senior high,no
7,male,96,master,no
13,female,73,master,no
44,female,84,doctor,no
28,female,95,senior high,no
11,female,75,master,no
88,female,72,junior high,no
11,female,76,university,no
88,female,41,university,no
41,female,94,primary,no
73,female,69,senior high,no
78,third,49,junior high,no
4,male,78,doctor,no
43,female,39,junior high,no
53,third,88,senior high,no
3,male,45,primary,no
6,male,54,university,no
68,male,88,senior high,no
7,female,52,doctor,no
67,female,76,doctor,no
36,third,55,master,no
72,male,80,primary,no
6,female,43,junior high,no
74,male,35,primary,no
95,third,37,master,no
36,male,74,junior high,yes
41,male,70,master,yes
69,third,59,university,no
25,third,41,doctor,no
27,male,81,senior high,no
46,third,42,university,no
93,third,56,junior high,no
20,third,39,senior high,yes
56,third,86,master,no
2,female,72,university,no
29,male,45,doctor,yes
7,third,45,senior high,no
13,male,70,primary,no
65,female,66,university,no
6,third,94,primary,no
28,third,66,master,no
72,third,94,master,no
68,female,83,university,no
58,male,53,master,no
26,third,60,university,no
1,male,82,doctor,no
24,third,52,master,no
42,female,63,university,yes
73,third,41,master,no
49,third,98,doctor,no
37,male,54,junior high,no
28,female,92,senior high,yes
31,male,49,doctor,yes
45,female,64,senior high,no
70,third,40,senior high,no
27,female,39,senior high,no
50,third,82,doctor,yes
44,male,89,master,yes
70,male,65,doctor,no
50,male,73,junior high,no
76,female,94,doctor,no
6,female,55,senior high,no
51,third,90,junior high,no
47,male,85,doctor,yes
52,third,40,doctor,no
60,third,69,university,no
45,male,43,junior high,no
26,third,92,senior high,yes
53,third,91,senior high,no
3,female,36,university,no
92,third,50,junior high,no
34,female,74,doctor,yes
81,male,81,university,no
41,male,56,doctor,no
41,male,68,junior high,yes
96,female,52,master,no
13,third,75,master,no
34,female,94,junior high,yes
94,female,79,university,no
7,female,58,master,no
44,third,54,junior high,no
6,female,68,university,no
86,female,48,primary,no
37,male,77,master,no
94,male,86,junior high,no
80,male,47,junior high,no
96,third,61,senior high,no
55,third,74,junior high,no
93,male,89,doctor,no
70,male,65,junior high,no
75,female,47,doctor,no
98,male,36,doctor,no
20,third,76,primary,no
22,third,61,university,yes
51,female,90,doctor,no
1,female,71,university,no
73,female,51,junior high,no
0,female,79,university,no
57,female,86,senior high,no
17,female,82,junior high,yes
78,female,36,doctor,no
8,male,59,senior high,no
87,male,63,junior high,no
70,third,73,junior high,no
48,female,62,junior high,no
9,third,86,doctor,no
14,male,63,university,no
15,female,74,junior high,no
29,third,94,senior high,no
42,third,87,doctor,no
47,female,73,university,no
36,third,55,primary,yes
38,third,81,master,no
86,male,96,doctor,no
76,male,71,junior high,no
14,female,88,doctor,no
18,male,59,primary,yes
82,female,95,senior high,no
42,female,96,university,no
29,male,55,junior high,no
96,third,57,doctor,no
66,third,41,primary,no
0,male,48,senior high,no
45,third,66,junior high,yes
76,third,54,university,no
60,male,55,university,no
62,female,72,university,no
92,third,59,doctor,no
20,male,72,university,yes
33,third,61,senior high,no
75,third,95,primary,no
84,third,40,doctor,no
62,third,40,primary,no
30,third,61,university,no
80,female,62,junior high,no
69,male,72,university,no
60,third,41,primary,no
68,female,53,primary,no
63,female,97,junior high,no
9,male,69,master,no
67,male,61,junior high,no
51,female,45,university,no
13,female,40,senior high,yes
13,female,42,junior high,yes
73,female,50,master,no
59,male,45,senior high,no
65,female,96,doctor,no
10,female,65,primary,no
0,female,47,primary,no
78,third,71,master,no
38,third,68,master,yes
92,third,63,primary,no
7,male,89,senior high,no
70,male,51,senior high,no
61,third,76,master,no
72,third,94,senior high,no
7,male,94,junior high,no
8,third,47,senior high,no
67,male,37,junior high,no
32,male,43,university,no
34,male,73,primary,yes
25,male,67,junior high,yes
25,male,66,primary,no
96,third,38,primary,no
50,male,75,junior high,no
33,female,92,primary,yes
88,third,36,primary,no
68,male,50,doctor,no
65,third,56,doctor,no
47,female,43,university,no
29,male,76,primary,yes
51,male,88,primary,no
75,female,73,junior high,no
25,male,66,senior high,no
82,male,43,junior high,no
33,female,79,primary,yes
53,female,49,junior high,no
5,female,57,doctor,no
1,third,36,senior high,no
76,third,47,master,no
46,male,73,senior high,no
50,female,46,university,no
51,male,75,university,no
64,third,90,senior high,no
34,third,95,senior high,no
6,third,39,doctor,no
62,male,82,junior high,no
11,third,52,primary,no
44,male,46,university,no
11,male,49,master,yes
27,female,49,university,yes
64,female,35,junior high,no
10,male,55,primary,no
2,male,88,primary,no
76,third,43,master,no
24,third,73,senior high,no
58,female,93,primary,no
58,third,88,university,no
30,third,66,master,yes
86,third,81,senior high,no
84,male,54,senior high,no
64,third,55,junior high,no
76,male,51,senior high,no
87,male,38,junior high,no
74,female,94,university,no
61,female,82,university,no
9,third,60,university,no
36,third,37,university,no
28,third,61,primary,no
30,third,89,senior high,yes
12,male,86,university,no
96,third,58,university,no
88,male,39,junior high,no
73,male,88,primary,no
61,female,86,master,no
7,female,68,master,no
58,female,64,master,no
72,third,98,doctor,no
44,male,61,senior high,no
89,female,44,master,no
35,third,51,university,no
4,third,71,junior high,no
78,female,60,master,no
80,third,39,senior high,no
7,male,66,junior high,no
29,male,52,doctor,yes
4,male,99,senior high,no
92,male,39,university,no
30,third,89,master,no
41,female,50,doctor,yes
28,male,85,university,no
66,male,85,doctor,no
82,male,37,senior high,no
73,male,51,primary,no
53,third,71,doctor,no
20,male,37,university,no
51,male,86,primary,no
23,male,57,junior high,no
65,female,72,master,no
45,male,89,junior high,no
35,male,61,university,no
41,third,77,senior high,no
67,third,54,university,no
18,female,39,primary,no
9,third,64,junior high,no
70,male,62,junior high,no
39,male,49,university,no
72,male,70,university,no
31,male,39,university,yes
67,male,65,junior high,no
62,female,43,university,no
56,third,61,master,no
93,third,77,doctor,no
62,third,91,junior high,no
40,third,45,doctor,yes
72,female,81,master,no
97,female,58,senior high,no
69,female,71,master,no
39,third,72,junior high,no
90,third,79,junior high,no
73,female,63,junior high,no
45,female,68,master,no
17,male,80,primary,no
63,female,97,junior high,no
43,male,54,primary,no
62,male,78,senior high,no
47,female,52,junior high,no
72,female,94,primary,no
81,female,44,senior high,no
94,female,57,junior high,no
69,third,44,doctor,no
20,female,39,master,no
90,male,90,senior high,no
85,third,80,university,no
82,third,74,university,no
51,third,87,doctor,no
53,female,46,senior high,no
12,male,58,junior high,no
10,third,61,junior high,no
10,third,64,primary,no
14,female,56,university,no
66,male,92,university,no
7,female,94,doctor,no
32,female,86,primary,no
0,third,36,junior high,no
34,female,51,doctor,no
60,male,75,university,no
90,male,84,doctor,no
4,third,38,university,no
38,male,51,master,no
75,third,75,doctor,no
54,third,48,master,no
58,female,71,doctor,no
82,female,55,doctor,no
54,male,98,primary,no
92,female,80,senior high,no
34,third,55,primary,yes
26,male,61,university,no
6,male,35,doctor,no
82,male,74,junior high,no
25,female,97,doctor,no
22,female,55,junior high,yes
36,female,78,junior high,yes
80,male,96,master,no
50,third,77,senior high,no
54,male,97,master,no
51,female,39,senior high,no
9,male,87,university,no
74,third,84,doctor,no
94,female,91,senior high,no
39,third,60,master,yes
36,male,91,master,no
8,female,37,master,no
61,male,58,university,no
98,third,79,junior high,no
87,female,69,doctor,no
4,male,36,senior high,no
78,female,62,junior high,no
97,male,68,senior high,no
47,male,57,senior high,no
39,male,39,university,no
50,female,65,doctor,no
2,male,52,primary,no
19,third,47,primary,yes
55,third,81,primary,no
78,female,62,primary,no
72,male,54,primary,no
84,female,49,primary,no
83,third,52,primary,no
48,female,87,master,no
6,third,77,master,no
51,male,62,senior high,no
81,female,58,university,no
96,third,48,senior high,no
57,male,91,doctor,no
58,male,97,doctor,no
33,female,52,primary,yes
97,third,65,doctor,no
52,female,58,senior high,no
52,third,62,university,no
42,male,45,primary,no
53,male,42,university,no
45,male,45,primary,no
1,male,84,senior high,no
10,female,69,senior high,no
2,female,98,senior high,no
37,male,79,junior high,no
77,third,66,master,no
14,female,64,senior high,no
55,third,91,university,no
63,female,60,master,no
29,third,48,university,no
52,third,69,senior high,no
61,third,97,master,no
32,female,75,doctor,no
55,male,72,doctor,no
74,female,66,master,no
81,female,93,primary,no
81,third,66,university,no
10,third,85,primary,no
85,third,47,senior high,no
9,third,78,junior high,no
46,female,50,primary,no
5,third,35,master,no
80,third,47,primary,no
65,third,67,senior high,no
70,female,59,primary,no
36,female,70,doctor,no
65,third,73,doctor,no
14,third,95,master,no
48,third,92,junior high,no
6,male,35,senior high,no
37,female,41,junior high,yes
89,third,57,university,no
31,female,76,junior high,no
3,male,62,doctor,no
90,third,63,junior high,no
42,third,63,primary,no
91,third,96,master,no
51,female,50,junior high,no
37,third,42,doctor,no
14,third,41,primary,no
96,third,77,primary,no
78,female,44,junior high,no
91,third,92,doctor,no
97,male,65,university,no
22,third,66,primary,no
46,female,66,university,no
14,male,55,doctor,no
40,third,71,junior high,no
7,female,76,doctor,no
72,third,48,master,no
97,third,41,master,no
96,female,64,primary,no
93,female,77,senior high,no
19,female,94,doctor,no
22,female,84,senior high,no
22,male,96,doctor,no
47,male,86,primary,no
25,male,65,senior high,no
40,female,66,doctor,no
18,male,60,junior high,yes
34,third,88,primary,yes
49,female,46,primary,no
2,male,95,primary,no
35,third,92,senior high,no
21,third,98,master,no
27,male,49,master,no
6,male,71,primary,no
68,third,56,university,no
99,third,54,primary,no
14,male,36,doctor,no
43,third,64,master,yes
8,male,72,master,no
36,male,82,doctor,no
96,female,57,junior high,no
34,female,44,junior high,yes
53,male,62,junior high,no
24,third,35,senior high,no
28,female,43,primary,yes
70,third,37,master,no
33,male,54,university,yes
34,third,77,primary,no
63,third,58,master,no
81,male,44,university,no
23,third,73,senior high,yes
30,female,46,doctor,no
9,third,92,doctor,no
78,male,39,university,no
28,male,99,master,yes
92,male,81,primary,no
30,male,55,university,no
34,female,88,junior high,yes
66,male,70,master,no
87,third,67,senior high,no
61,male,50,master,no
99,male,35,primary,no
91,male,35,university,no
24,third,38,primary,yes
65,third,73,primary,no
8,female,65,university,no
28,female,95,university,no
43,female,40,junior high,no
11,female,62,doctor,no
9,male,93,doctor,no
77,male,83,master,no
53,female,43,master,no
20,third,97,junior high,no
39,male,79,primary,no
99,third,77,junior high,no
91,male,89,senior high,no
20,female,60,junior high,no
30,female,58,master,yes
20,third,59,university,yes
26,third,97,primary,no
20,third,46,university,no
55,third,46,university,no
4,female,81,senior high,no
85,third,53,university,no
87,male,51,senior high,no
56,female,93,master,no
34,female,39,master,yes
96,third,38,senior high,no
82,female,70,university,no
61,third,36,master,no
86,male,86,doctor,no
71,female,86,junior high,no
29,female,88,junior high,no
97,male,61,junior high,no
62,female,43,doctor,no
5,female,64,junior high,no
94,female,71,primary,no
59,third,78,master,no
1,third,93,master,no
7,third,59,primary,no
32,female,94,junior high,no
75,female,96,doctor,no
13,female,73,primary,no
88,male,39,senior high,no
70,female,98,primary,no
49,third,83,master,no
77,female,83,doctor,no
94,male,48,doctor,no
35,female,75,senior high,yes
87,female,72,university,no
60,male,50,master,no
79,male,37,senior high,no
17,male,42,master,no
32,third,50,primary,no
40,third,52,master,no
40,third,36,junior high,no
81,male,54,junior high,no
26,third,58,university,yes
47,female,52,master,no
89,female,60,primary,no
51,male,58,doctor,no
36,female,42,doctor,yes
89,female,68,primary,no
31,female,84,primary,no
50,female,64,doctor,no
67,male,78,junior high,no
85,third,36,doctor,no
9,third,35,doctor,no
34,male,52,university,yes
68,third,76,junior high,no
78,third,72,junior high,no
19,male,47,university,no
95,female,81,master,no
18,male,84,doctor,no
16,male,62,doctor,no
71,female,64,university,no
58,female,72,master,no
26,female,66,university,yes
95,third,88,doctor,no
42,female,91,doctor,yes
7,female,39,master,no
12,male,54,master,no
14,male,71,master,no
3,third,84,master,no
85,male,52,university,no
5,third,87,master,no
42,third,75,university,no
93,third,39,university,no
32,male,70,primary,yes
14,third,61,junior high,no
64,third,55,senior high,no
47,male,67,junior high,no
36,male,36,senior high,yes
30,male,93,primary,no
17,male,41,primary,no
0,third,37,master,no
8,female,65,master,no
59,female,84,primary,no
83,third,47,senior high,no
89,third,68,doctor,no
67,male,41,junior high,no
68,female,58,doctor,no
99,male,37,senior high,no
68,third,76,junior high,no
21,female,44,primary,no
94,female,68,master,no
69,female,75,senior high,no
35,female,50,master,yes
2,female,56,primary,no
65,female,41,senior high,no
86,male,85,doctor,no
49,female,93,junior high,no
78,male,90,junior high,no
52,female,52,senior high,no
35,male,59,junior high,no
70,male,75,master,no
50,female,65,primary,no
33,male,87,university,no
27,female,76,university,no
10,third,81,doctor,no
77,male,79,doctor,no
89,third,63,senior high,no
14,male,68,master,no
28,third,43,master,no
19,male,39,senior high,no
83,male,83,primary,no
52,male,97,university,no
65,male,67,primary,no
34,third,58,university,yes
99,third,53,university,no
19,female,43,senior high,no
1,third,65,university,no
94,third,63,university,no
63,male,35,university,no
80,male,75,master,no
42,third,99,junior high,no
59,male,60,senior high,no
20,male,83,junior high,no
41,male,50,master,no
22,female,61,senior high,yes
81,female,87,university,no
23,female,57,junior high,yes
20,third,53,master,yes
61,female,59,university,no
7,third,51,senior high,no
51,female,36,doctor,no
35,female,55,primary,no
32,third,94,senior high,no
92,male,80,primary,no
34,third,87,senior high,no
48,third,76,senior high,no
11,female,85,university,no
10,third,62,master,no
22,male,64,primary,no
76,male,65,senior high,no
0,third,52,junior high,no
12,female,36,master,yes
28,male,67,doctor,no
56,third,61,primary,no
26,female,50,doctor,no
63,female,83,doctor,no
1,third,68,master,no
91,female,96,junior high,no
64,female,59,primary,no
33,male,69,doctor,yes
96,female,65,primary,no
93,third,66,senior high,no
58,male,95,senior high,no
43,male,70,master,yes
65,third,52,doctor,no
54,female,64,junior high,no
75,male,63,junior high,no
91,third,51,university,no
98,male,52,doctor,no
99,third,71,master,no
3,male,99,junior high,no
38,female,77,senior high,no
13,female,53,master,no
75,female,91,senior high,no
21,female,80,university,yes
60,female,60,doctor,no
75,male,50,senior high,no
44,male,73,junior high,no
71,male,53,primary,no
39,third,77,junior high,yes
43,third,67,junior high,no
21,third,60,junior high,no
59,male,39,senior high,no
81,third,79,university,no
70,female,62,master,no
86,female,84,primary,no
50,third,96,senior high,no
20,female,41,university,yes
54,third,71,senior high,no
73,male,70,university,no
65,male,91,primary,no
23,male,72,primary,no
37,male,58,junior high,yes
83,male,42,junior high,no
82,third,42,university,no
42,third,87,doctor,yes
48,third,72,primary,no
50,third,74,junior high,no
39,third,98,senior high,yes
96,third,64,university,no
65,third,98,master,no
62,third,88,university,no
84,third,79,junior high,no
85,third,79,master,no
54,third,64,master,no
58,female,60,university,no
97,female,39,master,no
33,third,97,master,yes
59,female,49,doctor,no
35,third,70,senior high,no
61,third,97,junior high,no
25,third,35,master,no
41,male,80,primary,no
82,male,57,senior high,no
44,female,42,senior high,yes
59,female,76,master,no
25,male,59,primary,yes
78,male,92,doctor,no
78,third,55,doctor,no
22,female,81,master,yes
71,male,49,university,no
18,male,54,master,yes
49,female,84,senior high,yes
32,third,46,university,yes
5,female,90,senior high,no
17,female,63,university,no
27,female,40,primary,no
93,male,52,master,no
74,female,35,senior high,no
65,third,81,primary,no
49,male,51,master,no
52,female,85,university,no
78,third,88,senior high,no
72,male,72,doctor,no
35,male,77,primary,no
83,male,39,doctor,no
95,male,39,doctor,no
28,female,95,junior high,no
3,third,60,doctor,no
13,male,76,primary,no
49,male,86,university,no
55,male,85,senior high,no
69,third,85,junior high,no
59,female,68,senior high,no
54,third,46,university,no
81,female,63,doctor,no
34,third,83,junior high,yes
31,third,60,primary,yes
44,third,73,university,no
51,female,83,doctor,no
6,third,39,senior high,no
60,male,82,master,no
2,female,90,doctor,no
97,male,89,primary,no
64,female,65,master,no
84,third,77,primary,no
87,female,76,master,no
12,female,99,primary,no
22,female,98,primary,no
58,third,90,doctor,no
68,male,80,senior high,no
9,third,82,senior high,no
67,male,64,junior high,no
4,third,80,master,no
59,female,62,university,no
7,female,75,junior high,no
44,third,96,doctor,yes
58,female,40,senior high,no
34,third,51,junior high,no
36,female,71,doctor,yes
16,female,67,senior high,no
78,female,60,master,no
77,male,72,master,no
76,third,59,primary,no
79,third,67,junior high,no
